Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.636623,32.081547,25.457796,30.379112,27.980326,101399500
2012-02-01,30.815451,32.439198,29.871244,31.201717,28.737978,83816400
2012-03-01,31.287554,33.104435,29.964235,31.838341,29.324331,85938100
2012-04-01,31.838341,32.296139,28.004292,30.171675,27.876925,81820700
2012-05-01,30.064377,30.951359,27.496424,29.084406,26.872356,108200200
2012-06-01,28.040058,29.649500,26.437769,28.068670,25.933868,89462000
2012-07-01,28.276108,28.497854,25.264664,27.389128,25.400148,70120600
2012-08-01,27.703863,29.306152,26.144491,26.580830,24.650547,111796700
2012-09-01,26.444921,28.712446,26.194563,27.503576,25.506285,104979100
2012-10-01,27.539341,28.354792,25.307583,25.743919,23.961243,101065700
2012-11-01,25.779686,27.596567,25.357655,27.389128,25.492523,114975200
2012-12-01,27.610872,29.856939,26.959942,29.284693,27.256830,95458300
2013-01-01,30.164520,32.582260,29.434908,32.031475,29.915680,95924200
2013-02-01,32.246067,32.660946,28.748211,29.670958,27.711084,102912600
2013-03-01,29.456366,31.130186,29.134478,30.021460,28.038439,92826700
2013-04-01,29.921316,32.038628,28.841202,29.642345,27.795147,116118700
2013-05-01,29.628040,33.955650,29.499285,32.510731,30.484791,130312200
2013-06-01,32.653790,33.226036,29.935623,30.586552,28.680517,95831800
2013-07-01,30.793991,33.547924,30.557940,31.995708,30.119148,73880200
2013-08-01,32.553650,34.570816,32.417740,33.361946,31.405258,70062400
2013-09-01,33.648067,38.247498,33.347641,36.659515,34.509422,91098200
2013-10-01,36.266094,38.082977,35.329041,36.309013,34.289909,71996300
2013-11-01,36.423462,39.871246,35.650928,38.319027,36.188145,73141300
2013-12-01,38.247498,41.444920,37.596565,40.908440,38.633568,59294500
2014-01-01,40.844063,43.791130,40.164520,41.595135,39.408642,73378200
2014-02-01,41.595135,43.247498,39.248928,40.722462,38.581829,99903700
2014-03-01,40.143063,42.432045,38.783978,40.000000,37.897354,71465000
2014-04-01,40.200287,40.944206,37.167381,38.655220,36.623264,59031200
2014-05-01,38.583691,41.044350,38.383404,40.729614,38.719330,64034100
2014-06-01,40.743919,42.618027,40.271816,41.087269,39.059334,42404800
2014-07-01,41.301861,41.909870,39.442059,40.121601,38.263454,55219400
2014-08-01,39.892704,42.246067,38.762516,40.886982,38.993385,54267300
2014-09-01,40.937054,42.489269,40.000000,40.758224,38.870590,50612000
2014-10-01,40.665237,40.886982,35.622318,39.542202,37.833599,83418700
2014-11-01,39.900002,42.990002,39.490002,42.740002,40.893230,56373700
2014-12-01,42.689999,42.730000,38.090000,40.939999,39.171009,48770200
2015-01-01,41.180000,41.310001,37.680000,37.770000,36.137985,53067700
2015-02-01,37.900002,42.490002,37.709999,42.209999,40.485020,52385100
2015-03-01,42.340000,42.740002,40.369999,41.549999,39.852001,44501800
2015-04-01,41.459999,43.590000,40.720001,41.369999,39.777084,47251000
2015-05-01,41.410000,42.930000,40.820000,41.189999,39.604019,44051900
2015-06-01,41.430000,41.430000,38.480000,38.580002,37.094505,58978100
2015-07-01,38.889999,41.139999,38.610001,40.950001,39.471802,54238300
2015-08-01,40.919998,41.349998,33.570000,36.310001,34.999302,56289900
2015-09-01,35.299999,36.990002,33.240002,34.330002,33.090775,47082800
2015-10-01,34.320000,38.099998,33.119999,37.759998,36.502617,52916300
2015-11-01,37.869999,42.200001,36.500000,41.820000,40.427410,74662700
2015-12-01,42.160000,42.480000,39.900002,41.810001,40.417755,59276500
2016-01-01,41.060001,41.189999,36.009998,37.650002,36.495804,50734500
2016-02-01,37.369999,38.189999,34.150002,37.349998,36.205002,53142400
2016-03-01,37.630001,40.580002,37.610001,39.849998,38.628357,37070700
2016-04-01,39.560001,42.000000,39.169998,40.919998,39.665558,34706600
2016-05-01,41.200001,46.000000,40.389999,45.889999,44.611935,53543300
2016-06-01,45.750000,46.680000,41.980000,44.360001,43.124557,52011000
2016-07-01,44.360001,48.180000,43.360001,48.110001,46.893341,34708800
2016-08-01,48.110001,48.630001,46.090000,46.980000,45.791920,45177500
2016-09-01,47.029999,47.389999,44.470001,47.090000,45.899139,38860600
2016-10-01,46.820000,48.150002,43.110001,43.570000,42.573647,37259900
2016-11-01,43.730000,47.799999,43.139999,43.980000,42.974274,53247600
2016-12-01,44.080002,46.919998,42.919998,45.560001,44.518143,33903200
2017-01-01,45.930000,49.480000,45.740002,48.970001,47.988720,45134900
2017-02-01,48.930000,51.939999,48.470001,51.299999,50.272026,39130400
2017-03-01,51.619999,54.820000,50.860001,52.869999,51.810566,40890100
2017-04-01,52.900002,55.509998,52.259998,55.049999,54.080765,32351000
2017-05-01,55.500000,60.810001,55.360001,60.340000,59.277630,50926000
2017-06-01,60.009998,61.150002,58.119999,59.310001,58.265759,42761500
2017-07-01,59.590000,61.840000,59.070000,59.790001,58.868126,32314200
2017-08-01,60.040001,64.830002,58.220001,64.720001,63.722118,43415800
2017-09-01,64.900002,66.449997,63.720001,64.199997,63.210129,28129800
2017-10-01,64.290001,68.519997,64.209999,68.029999,66.981079,31472500
2017-11-01,68.199997,70.930000,66.250000,68.739998,67.819565,57093300
2017-12-01,69.190002,70.000000,65.599998,66.970001,66.073273,36036200
2018-01-01,67.419998,75.000000,67.339996,73.430000,72.607170,38538800
2018-02-01,73.180000,74.989998,65.029999,68.589996,67.821396,62904900
2018-03-01,68.470001,71.529999,65.809998,66.900002,66.150345,48720500
2018-04-01,66.650002,70.290001,63.380001,65.739998,65.003342,54743900
2018-05-01,65.629997,70.449997,60.700001,61.919998,61.362812,73162100
2018-06-01,62.470001,66.750000,60.419998,61.840000,61.283531,64342400
2018-07-01,61.360001,66.830002,60.790001,66.040001,65.445740,37941900
2018-08-01,65.839996,68.150002,64.220001,67.540001,67.093903,56324900
2018-09-01,67.339996,71.459999,66.760002,70.540001,70.074089,35878100
2018-10-01,70.680000,72.370003,61.009998,64.790001,64.362061,65097000
2018-11-01,65.070000,72.650002,62.400002,72.349998,72.024261,62405400
2018-12-01,73.330002,75.110001,62.220001,67.459999,67.156281,50474000
2019-01-01,66.500000,76.309998,62.000000,76.050003,75.894836,44194500
2019-02-01,76.160004,79.839996,74.760002,79.440002,79.277916,35941700
2019-03-01,80.000000,82.269997,77.400002,80.379997,80.215996,32804200
