Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,53.919998,57.799999,51.470001,57.340000,48.375965,97148100
2012-02-01,57.990002,60.000000,56.450001,59.540001,50.232040,55918000
2012-03-01,59.810001,65.889999,59.070000,64.500000,54.416634,79315200
2012-04-01,64.629997,65.660004,61.770000,64.949997,54.796295,63944800
2012-05-01,64.849998,65.639999,56.209999,57.099998,48.693970,90845100
2012-06-01,56.349998,60.320000,54.939999,60.090000,51.243790,88963400
2012-07-01,59.790001,61.119999,56.230000,60.299999,51.422867,61528000
2012-08-01,60.439999,61.980000,58.689999,61.599998,52.531490,49672900
2012-09-01,61.599998,70.650002,60.689999,70.029999,59.720467,64113100
2012-10-01,69.989998,71.790001,66.220001,67.410004,57.486168,72324100
2012-11-01,67.419998,69.250000,64.300003,67.919998,58.595272,55847900
2012-12-01,68.139999,71.500000,65.199997,66.500000,57.370224,69320100
2013-01-01,67.589996,72.870003,67.550003,71.889999,62.020226,57769100
2013-02-01,72.489998,75.970001,71.580002,74.360001,64.151108,46725400
2013-03-01,74.129997,78.459999,72.419998,75.970001,65.540085,52750300
2013-04-01,76.070000,81.449997,74.190002,81.440002,70.259125,65806700
2013-05-01,81.440002,84.220001,78.739998,82.110001,71.598106,60586600
2013-06-01,82.480003,83.300003,69.000000,71.959999,62.747520,77034300
2013-07-01,72.139999,76.620003,71.389999,73.809998,64.360687,78276600
2013-08-01,74.209999,74.970001,70.500000,72.250000,63.000397,66314900
2013-09-01,72.720001,78.339996,72.360001,73.639999,64.212448,70562800
2013-10-01,73.540001,75.260002,69.779999,73.500000,64.090370,69020600
2013-11-01,73.889999,79.449997,72.330002,77.470001,68.447571,61371800
2013-12-01,77.419998,83.449997,73.790001,82.220001,72.644356,75326700
2014-01-01,81.500000,85.879997,78.820000,79.879997,70.576874,70394800
2014-02-01,80.019997,84.750000,77.419998,83.349998,73.642761,47342400
2014-03-01,82.559998,84.690002,76.250000,79.720001,70.435539,69509700
2014-04-01,79.599998,80.389999,76.360001,80.220001,70.877289,71963300
2014-05-01,80.180000,81.489998,77.709999,81.449997,72.829163,42588900
2014-06-01,81.099998,84.559998,79.769997,80.839996,72.283722,60237800
2014-07-01,81.089996,81.690002,78.849998,79.279999,70.888840,50873500
2014-08-01,78.849998,81.989998,76.870003,81.059998,72.480431,42921000
2014-09-01,80.949997,82.160004,77.559998,81.320000,72.712929,67907500
2014-10-01,81.180000,81.419998,73.980003,81.120003,72.534096,75168600
2014-11-01,81.029999,86.489998,80.669998,86.330002,78.240387,43764800
2014-12-01,85.879997,91.940002,81.660004,89.309998,80.941147,62619800
