Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,12.030000,13.150000,11.850000,12.760000,10.295172,109505500
2012-02-01,12.840000,14.010000,12.680000,13.560000,10.940636,83139800
2012-03-01,13.460000,13.720000,12.750000,13.070000,10.545289,106842000
2012-04-01,13.000000,13.250000,11.970000,12.520000,10.101532,102754700
2012-05-01,12.480000,12.800000,11.660000,12.090000,9.754597,137113800
2012-06-01,11.880000,12.880000,11.640000,12.830000,10.351652,107504100
2012-07-01,12.940000,12.940000,11.650000,12.060000,9.730391,119275700
2012-08-01,12.120000,12.340000,11.320000,11.390000,9.189812,115967900
2012-09-01,11.360000,11.600000,10.830000,10.970000,8.850943,125913600
2012-10-01,10.960000,11.250000,10.340000,10.450000,8.431390,99865200
2012-11-01,10.490000,10.800000,9.520000,10.670000,8.641973,140350700
2012-12-01,10.760000,11.080000,10.410000,10.700000,8.666268,89392500
2013-01-01,10.890000,11.360000,10.660000,10.840000,8.779664,134687000
2013-02-01,10.930000,11.800000,10.800000,11.620000,9.446722,110608400
2013-03-01,11.560000,12.730000,11.520000,12.570000,10.219044,122002100
2013-04-01,12.570000,13.940000,12.360000,13.860000,11.267778,127288300
2013-05-01,13.860000,14.000000,12.070000,12.200000,9.947786,134043200
2013-06-01,12.210000,12.610000,11.170000,11.990000,9.776555,112291200
2013-07-01,12.110000,12.900000,11.620000,12.440000,10.143480,84568100
2013-08-01,12.530000,13.380000,12.380000,12.710000,10.397175,84208800
2013-09-01,12.870000,13.770000,12.550000,13.290000,10.871633,84767100
2013-10-01,13.330000,14.490000,13.160000,14.090000,11.526059,80178200
2013-11-01,14.080000,15.300000,13.610000,14.570000,11.952145,109967800
2013-12-01,14.570000,15.540000,13.490000,14.510000,11.902929,168918200
2014-01-01,14.510000,14.800000,13.420000,14.060000,11.533781,120461400
2014-02-01,14.060000,14.940000,13.570000,13.650000,11.238314,103676800
2014-03-01,13.580000,14.440000,13.530000,14.280000,11.757004,102973600
2014-04-01,14.330000,14.640000,14.010000,14.450000,11.896967,104476400
2014-05-01,14.460000,14.770000,13.420000,14.100000,11.649396,107821400
2014-06-01,14.090000,15.650000,13.960000,15.550000,12.847385,129681600
2014-07-01,15.570000,15.640000,14.580000,14.610000,12.070759,90038300
2014-08-01,14.520000,15.210000,14.010000,15.180000,12.583356,71515200
2014-09-01,15.170000,15.210000,14.050000,14.180000,11.754413,74229400
2014-10-01,14.190000,14.450000,12.380000,14.070000,11.663231,125977700
2014-11-01,14.150000,14.250000,13.010000,13.870000,11.540474,123102900
2014-12-01,13.800000,14.490000,12.780000,13.770000,11.457269,132381400
2015-01-01,13.860000,13.870000,12.170000,12.220000,10.167600,118931400
2015-02-01,12.240000,13.010000,11.530000,12.970000,10.879083,133819500
2015-03-01,12.910000,13.020000,11.830000,12.850000,10.778428,137865400
2015-04-01,12.860000,13.670000,12.640000,13.250000,11.113944,103745000
2015-05-01,13.240000,13.840000,13.050000,13.600000,11.407519,156488700
