Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,80.129509,85.319145,79.185936,81.433861,65.894539,23809100
2012-02-01,82.321922,85.513412,81.887138,83.478264,67.548805,17069900
2012-03-01,83.876038,85.550415,81.544868,84.921371,68.716537,21446900
2012-04-01,84.949120,85.837189,75.467163,79.084183,64.482758,31757300
2012-05-01,78.464386,80.342278,71.766884,73.117485,59.617702,27639500
2012-06-01,71.951897,75.596672,70.407028,74.680855,60.892410,31991600
2012-07-01,73.959297,75.855690,71.424606,74.403328,61.214733,25554600
2012-08-01,74.773361,78.788162,73.441261,76.392227,62.851070,19371000
2012-09-01,76.281219,79.398705,75.078629,76.503235,62.942402,17934600
2012-10-01,76.345978,79.509712,71.026825,71.720627,59.502464,28153900
2012-11-01,72.220169,77.095284,71.230339,76.725258,63.654507,33126800
2012-12-01,76.965775,79.842735,75.078629,77.724327,64.483383,20374700
2013-01-01,79.056427,83.246994,78.667900,80.878815,67.652428,22219200
2013-02-01,81.544868,82.451431,77.844589,79.870491,66.809006,20078600
2013-03-01,79.417206,83.570770,78.926918,80.592041,67.412529,20251700
2013-04-01,80.194267,80.777061,77.742828,80.444031,67.881310,25886900
2013-05-01,80.194267,88.945419,79.213692,87.335800,73.696815,30233500
2013-06-01,87.317299,89.842735,84.468086,84.708603,71.479904,39418200
2013-07-01,84.653099,101.739128,83.367256,100.499535,85.487358,69189800
2013-08-01,101.285843,102.682701,92.284920,94.486588,80.372581,34064300
2013-09-01,95.559669,106.151711,94.384827,98.584641,83.858490,23573400
2013-10-01,97.798332,103.561516,94.569839,100.841812,86.382431,30835800
2013-11-01,100.786308,103.246994,99.380203,100.675301,86.239792,19829700
2013-12-01,100.786308,105.448662,97.816833,103.404259,88.577454,20829000
2014-01-01,103.200737,104.736359,96.031456,97.261795,83.883331,25966100
2014-02-01,97.567070,113.080482,95.032379,112.229416,96.792145,33683900
2014-03-01,111.554115,115.078629,108.492134,110.120262,94.973106,27242100
2014-04-01,110.018501,113.709526,105.716927,108.714157,94.423988,26166500
2014-05-01,108.760406,111.794632,107.576317,110.980576,96.392502,15491600
2014-06-01,111.008324,121.628120,110.379280,118.982422,103.342514,32919700
2014-07-01,118.686401,126.651245,117.724327,122.062904,106.707535,28386100
2014-08-01,121.609619,125.374657,120.888069,123.228493,107.726486,25037000
