Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,20.723736,21.276264,20.404669,20.754864,16.016552,116691400
2012-02-01,20.817122,21.073931,20.311283,20.428015,15.946198,94844700
2012-03-01,20.428015,20.817122,20.194553,20.435797,15.952273,78911700
2012-04-01,20.451363,20.910505,19.844358,20.093386,15.684980,129155500
2012-05-01,20.093386,20.249027,19.447472,19.571985,15.462306,106551000
2012-06-01,19.424124,20.178988,18.824903,20.178988,15.941849,106615600
2012-07-01,20.116732,20.171206,18.396887,19.214008,15.179494,135805000
2012-08-01,19.252918,19.758755,18.731518,19.540855,15.640295,84278700
2012-09-01,19.688717,21.595331,19.688717,21.470818,17.185017,113692200
2012-10-01,21.556419,22.412451,21.486382,21.665369,17.340727,89628200
2012-11-01,21.719845,23.322958,21.385214,23.237354,18.981386,104300200
2012-12-01,23.276264,24.217899,22.396887,22.957199,18.752544,96143000
2013-01-01,23.322958,25.680933,23.151751,25.439690,20.780354,114322700
2013-02-01,25.610895,26.754864,25.509727,26.544746,21.898623,99097200
2013-03-01,26.482491,27.945526,26.319067,27.867704,22.990023,72364000
2013-04-01,27.883268,28.256809,26.560310,27.525291,22.707541,101472000
2013-05-01,27.494164,28.186769,26.217899,26.217899,21.826611,82798900
2013-06-01,26.202335,27.657587,25.447472,27.182878,22.629961,105366000
2013-07-01,27.237354,28.894941,27.159533,28.178988,23.459230,75370300
2013-08-01,28.396887,29.011673,26.241245,26.319067,22.104109,66114800
2013-09-01,26.575876,26.653696,23.245136,23.610895,19.829649,164869700
2013-10-01,23.571985,25.136187,23.338522,24.754864,20.790413,102097700
2013-11-01,24.785992,25.844358,24.482491,25.673151,21.778917,77955700
2013-12-01,25.680933,26.396887,24.147860,26.225681,22.247633,81652100
2014-01-01,26.194553,26.599222,24.474709,24.739300,20.986719,72100500
2014-02-01,24.708172,24.739300,21.859922,22.101168,18.934256,127297500
2014-03-01,22.038910,24.147860,22.000000,24.147860,20.687672,98328100
2014-04-01,24.132296,24.575876,23.618677,23.743191,20.340986,64008900
2014-05-01,23.680933,25.159533,23.400778,25.136187,21.759872,55282600
2014-06-01,25.143969,25.564203,22.256809,23.097277,19.994833,162500300
2014-07-01,23.136187,24.319067,23.050583,23.447472,20.297987,136194100
2014-08-01,23.439690,25.151751,23.268482,25.058365,21.919069,73396900
2014-09-01,25.050583,26.420233,24.645914,25.712063,22.490868,85662800
2014-10-01,25.719845,26.957199,25.221790,26.731518,23.382610,108945100
2014-11-01,26.630350,28.466927,26.513618,28.420233,25.094656,63327900
2014-12-01,28.287937,29.151751,27.291828,28.233463,24.929741,76923800
2015-01-01,28.186769,28.933851,27.167315,27.571985,24.345667,60662600
2015-02-01,27.564203,28.568094,26.031128,27.221790,24.248947,57702000
2015-03-01,27.221790,28.887159,26.031128,28.428015,25.323439,58848400
2015-04-01,28.412451,29.891050,27.968872,28.132296,25.060013,54586200
2015-05-01,28.093386,30.381323,28.077822,30.046692,26.997547,46730400
2015-06-01,30.233463,34.482491,28.988327,34.023346,30.570650,106009700
2015-07-01,34.163425,35.400780,33.688717,34.287937,30.808392,75994700
2015-08-01,34.249027,35.392998,31.377432,32.435799,29.360893,58669600
2015-09-01,31.891050,33.665371,30.381323,31.525291,28.536701,98765800
2015-10-01,31.501945,33.136189,31.159533,31.556419,28.564875,80752800
2015-11-01,31.984436,32.513618,30.015564,31.852140,29.062981,73777100
2015-12-01,32.000000,33.392998,30.326849,32.809338,29.936361,79178500
2016-01-01,32.443581,32.754864,29.548637,32.404671,29.567125,78480600
2016-02-01,32.311283,33.486382,29.758755,32.731518,30.110237,57566500
2016-03-01,32.949417,35.182880,32.747082,34.723736,31.942913,59813400
2016-04-01,34.498055,36.295719,34.225681,34.677044,31.899958,62463600
2016-05-01,34.723736,36.295719,34.202335,35.564201,32.953434,47321000
2016-06-01,35.540855,37.400780,35.260700,37.206226,34.474907,69678200
2016-07-01,37.284046,37.984436,35.642025,36.389107,33.717773,56843200
2016-08-01,36.342411,36.778210,35.431908,36.272373,33.842670,52856400
2016-09-01,36.116730,36.856030,33.081711,36.661480,34.205711,77288700
2016-10-01,36.451363,37.984436,36.178989,37.494164,34.982624,59841900
2016-11-01,37.478600,38.023346,33.610001,36.689999,34.462730,86821800
2016-12-01,36.380001,39.970001,35.959999,38.439999,36.106491,75422600
2017-01-01,39.709999,39.910000,38.160000,39.090000,36.717030,56874700
2017-02-01,38.970001,41.389999,38.770000,41.209999,38.906731,58844100
2017-03-01,41.360001,41.680000,40.009998,40.340000,38.085377,81362700
2017-04-01,40.410000,41.040001,38.639999,38.779999,36.612556,49549000
2017-05-01,38.840000,39.139999,37.200001,38.540001,36.571949,55087100
2017-06-01,40.040001,40.240002,35.639999,35.759998,33.933907,101835600
2017-07-01,35.669998,35.849998,32.930000,34.240002,32.491531,102603300
2017-08-01,34.279999,35.299999,32.160000,32.459999,30.997126,82364400
2017-09-01,32.590000,35.070000,32.330002,33.740002,32.219452,83159400
2017-10-01,33.750000,34.700001,33.150002,34.160000,32.620514,73904700
2017-11-01,34.259998,37.619999,33.209999,37.330002,35.873928,54396400
2017-12-01,37.450001,39.209999,36.639999,37.669998,36.200668,73298000
2018-01-01,37.680000,39.080002,36.549999,38.000000,36.517796,69504400
2018-02-01,37.900002,38.099998,34.750000,36.130001,34.913441,67824700
2018-03-01,36.060001,38.320000,34.799999,36.880001,35.638187,71904300
2018-04-01,36.799999,37.689999,35.529999,37.070000,35.821789,53450700
2018-05-01,37.000000,38.200001,35.660000,37.060001,36.016716,61021200
2018-06-01,37.160000,39.430000,35.139999,35.730000,34.724155,115085000
2018-07-01,35.410000,37.480000,34.520000,36.709999,35.676563,112912100
2018-08-01,36.680000,37.820000,36.110001,36.750000,35.920132,98412800
2018-09-01,36.860001,38.430000,32.820000,33.970001,33.202908,101075500
2018-10-01,34.020000,37.599998,33.119999,35.599998,34.796097,196007900
2018-11-01,35.750000,35.869999,31.860001,32.340000,31.797148,143011100
2018-12-01,32.270000,32.799999,20.219999,21.360001,21.001455,167671200
2019-01-01,21.139999,22.580000,20.799999,21.639999,21.276754,171242100
2019-02-01,21.719999,24.559999,21.260000,23.370001,23.209373,169709300
2019-03-01,23.420000,27.870001,22.150000,27.740000,27.549337,189181700
