Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,41.230000,44.490002,40.619999,43.029999,35.540997,45235300
2012-02-01,43.230000,44.020000,40.930000,41.549999,34.318588,51581100
2012-03-01,41.549999,43.389999,40.549999,43.110001,35.607075,52572100
2012-04-01,43.080002,43.299999,40.439999,42.270000,35.087448,53000000
2012-05-01,42.139999,43.520000,40.610001,41.380001,34.348679,48892700
2012-06-01,40.990002,42.990002,40.189999,42.000000,34.863327,43521500
2012-07-01,42.000000,43.830002,41.619999,43.090000,35.978222,57519900
2012-08-01,43.340000,43.380001,38.849998,39.549999,33.022480,64909400
2012-09-01,39.599998,39.880001,36.910000,38.970001,32.538204,78740800
2012-10-01,39.080002,42.130001,39.029999,41.130001,34.551147,56535000
2012-11-01,41.020000,41.680000,38.759998,40.450001,33.979908,52902400
2012-12-01,40.610001,42.740002,40.220001,41.180000,34.593147,39596500
2013-01-01,41.509998,45.230000,41.060001,43.810001,37.048874,53399500
2013-02-01,44.130001,46.869999,43.520000,46.209999,39.078484,54970400
2013-03-01,46.169998,47.230000,41.419998,41.619999,35.196850,90699800
2013-04-01,41.689999,45.919998,41.650002,44.220001,37.641010,75511400
2013-05-01,44.220001,48.400002,43.900002,46.959999,39.973354,64821800
2013-06-01,47.070000,48.990002,45.590000,47.200001,40.177650,56808100
2013-07-01,47.540001,51.090000,46.520000,50.090000,42.908482,41071700
2013-08-01,50.730000,52.490002,49.860001,50.279999,43.071239,39708400
2013-09-01,50.820000,53.919998,49.650002,52.150002,44.673130,37566200
2013-10-01,52.290001,59.099998,52.049999,58.660000,50.542004,71840100
2013-11-01,58.340000,65.449997,58.220001,64.599998,55.659950,69363000
2013-12-01,64.360001,67.750000,62.549999,66.809998,57.564125,54828600
2014-01-01,66.449997,69.510002,65.110001,68.019997,58.871902,56091100
2014-02-01,67.959999,72.570000,64.779999,71.529999,61.909863,46348100
2014-03-01,71.070000,74.400002,68.949997,69.980003,60.568310,42165000
2014-04-01,70.300003,72.150002,65.529999,69.510002,60.425896,43482800
2014-05-01,66.769997,71.269997,63.060001,70.629997,61.399525,50876900
2014-06-01,70.709999,71.540001,67.269997,68.559998,59.600044,42766700
2014-07-01,68.790001,73.750000,68.790001,71.650002,62.595909,40737700
2014-08-01,71.629997,73.769997,68.540001,73.699997,64.386848,37840200
2014-09-01,73.720001,77.739998,73.309998,74.919998,65.452675,36122900
2014-10-01,75.019997,79.129997,71.720001,78.480003,68.874504,55271700
2014-11-01,78.660004,82.680000,77.980003,82.190002,72.130455,33283300
2014-12-01,81.809998,83.400002,79.029999,80.730003,70.849152,31752500
2015-01-01,81.180000,87.330002,78.410004,83.190002,73.317505,38753000
2015-02-01,81.370003,89.430000,81.320000,87.989998,77.547874,33850700
2015-03-01,87.989998,91.589996,85.940002,90.269997,79.557274,38450700
2015-04-01,90.209999,91.910004,83.849998,84.339996,74.614693,37480900
2015-05-01,84.529999,89.629997,84.089996,88.169998,78.003052,41191100
2015-06-01,88.330002,90.739998,83.570000,83.650002,74.004250,59983600
2015-07-01,84.290001,87.370003,80.050003,84.980003,75.520622,56469600
2015-08-01,84.559998,86.639999,74.760002,82.269997,73.112274,57525600
2015-09-01,80.459999,85.779999,76.110001,76.820000,68.268906,47656200
2015-10-01,77.029999,83.540001,75.519997,82.199997,73.418480,55014600
2015-11-01,86.260002,88.690002,84.800003,86.849998,77.571716,39006000
2015-12-01,87.389999,91.230003,85.339996,89.269997,79.733208,36212400
2016-01-01,87.730003,89.970001,77.779999,81.370003,72.988083,53086500
2016-02-01,76.500000,83.570000,74.730003,81.699997,73.284088,44970100
2016-03-01,82.519997,84.500000,79.209999,81.949997,73.508331,37255500
2016-04-01,81.680000,87.849998,76.540001,78.459999,70.712303,42956300
2016-05-01,77.500000,79.839996,75.500000,78.949997,71.153900,59084000
2016-06-01,78.580002,80.519997,73.250000,78.010002,70.306725,54773000
2016-07-01,77.919998,83.739998,77.629997,83.599998,75.795807,43327700
2016-08-01,83.209999,85.519997,78.760002,79.669998,72.232674,41110200
2016-09-01,79.900002,81.470001,74.410004,77.699997,70.446587,55101300
2016-10-01,77.400002,77.540001,63.259998,68.690002,62.636967,53289700
2016-11-01,68.529999,72.820000,62.700001,71.010002,64.752533,84033700
2016-12-01,70.940002,74.320000,68.599998,71.970001,65.627937,54591700
2017-01-01,71.989998,75.970001,71.900002,74.959999,69.209435,46844300
2017-02-01,74.430000,82.620003,73.790001,81.370003,75.127693,42571400
2017-03-01,82.180000,84.879997,80.769997,81.550003,75.293884,41975200
2017-04-01,81.730003,82.800003,71.290001,72.589996,67.389938,53108500
2017-05-01,71.489998,74.309998,71.099998,74.290001,68.968163,46330100
2017-06-01,74.220001,80.370003,73.239998,77.919998,72.338120,48063900
2017-07-01,78.089996,78.889999,75.760002,77.260002,72.147270,29985400
2017-08-01,77.720001,77.940002,64.059998,67.459999,62.995785,54632600
2017-09-01,67.690002,69.989998,65.949997,66.919998,62.491520,41362800
2017-10-01,67.220001,69.339996,60.689999,61.900002,58.205608,68115000
2017-11-01,60.810001,62.910000,54.660000,59.189999,55.657345,85382700
2017-12-01,58.950001,63.790001,57.400002,61.270000,57.613209,64755300
2018-01-01,61.700001,75.750000,61.619999,71.790001,68.010994,66741500
2018-02-01,70.610001,71.059998,62.400002,69.209999,66.065384,59845800
2018-03-01,69.269997,73.230003,60.759998,62.680000,59.832088,61411700
2018-04-01,63.250000,65.989998,59.540001,64.169998,61.710506,54034500
2018-05-01,63.669998,66.449997,50.790001,52.090000,50.093510,90683100
2018-06-01,53.020000,55.080002,48.279999,48.830002,46.958462,61651400
2018-07-01,48.900002,51.630001,48.139999,49.950001,48.494091,78592000
2018-08-01,49.959999,52.950001,48.290001,52.189999,50.668800,81462300
2018-09-01,52.000000,55.480000,50.790001,54.000000,52.426048,61502400
2018-10-01,54.110001,55.630001,48.910000,50.599998,49.561813,82823000
2018-11-01,50.599998,58.310001,50.540001,54.830002,53.705029,83329500
2018-12-01,55.000000,56.520000,42.169998,44.599998,43.684917,72345900
2019-01-01,44.119999,50.630001,43.820000,49.970001,49.473324,63271500
2019-02-01,49.169998,56.880001,48.310001,54.340000,53.799889,63680300
2019-03-01,54.660000,54.970001,47.040001,48.150002,47.671413,72217900
