Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,34.255001,37.555000,33.139999,36.345001,36.345001,154449800
2012-02-01,36.360001,38.044998,35.755001,36.660000,36.660000,116186200
2012-03-01,36.779999,39.415001,35.650002,38.759998,38.759998,110704000
2012-04-01,38.785000,40.209999,36.165001,36.465000,36.465000,132506000
2012-05-01,36.490002,36.654999,33.785000,34.125000,34.125000,140163600
2012-06-01,33.720001,34.840000,29.264999,32.080002,32.080002,210418600
2012-07-01,32.334999,35.709999,30.945000,34.230000,34.230000,131286200
2012-08-01,34.645000,36.264999,33.435001,36.020000,36.020000,119867000
2012-09-01,35.695000,39.314999,35.330002,38.200001,38.200001,94544600
2012-10-01,38.485001,40.619999,36.599998,36.674999,36.674999,102800400
2012-11-01,37.014999,39.904999,35.615002,39.294998,39.294998,119899600
2012-12-01,39.375000,41.389999,38.610001,39.235001,39.235001,118817800
2013-01-01,40.060001,50.060001,39.875000,49.480000,49.480000,197672600
2013-02-01,49.970001,52.570000,48.389999,51.634998,51.634998,127649200
2013-03-01,51.625000,58.474998,51.250000,57.955002,57.955002,127276600
2013-04-01,58.255001,64.260002,57.259998,59.035000,59.035000,141760000
2013-05-01,58.959999,65.910004,57.025002,61.825001,61.825001,136941200
2013-06-01,62.060001,62.360001,55.264999,58.490002,58.490002,122555200
2013-07-01,59.650002,74.489998,59.075001,73.430000,73.430000,121100800
2013-08-01,74.089996,74.959999,65.760002,69.989998,69.989998,95576600
2013-09-01,70.885002,78.019997,70.709999,77.070000,77.070000,110978600
2013-10-01,77.349998,80.820000,71.565002,74.245003,74.245003,129970200
2013-11-01,74.635002,82.870003,71.050003,80.885002,80.885002,115882400
2013-12-01,80.934998,86.900002,78.589996,84.485001,84.485001,100747800
2014-01-01,84.504997,87.330002,73.915001,75.964996,75.964996,149068400
2014-02-01,75.904999,83.629997,73.885002,80.375000,80.375000,120668600
2014-03-01,79.525002,82.605003,69.504997,69.800003,69.800003,172668000
2014-04-01,71.000000,74.845001,66.849998,73.504997,73.504997,174663200
2014-05-01,73.625000,77.940002,71.315002,76.514999,76.514999,104454200
2014-06-01,76.285004,87.370003,76.029999,85.879997,85.879997,100570500
2014-07-01,86.449997,90.500000,82.900002,87.150002,87.150002,107957000
2014-08-01,86.610001,96.150002,84.849998,95.019997,95.019997,80329400
2014-09-01,95.500000,96.500000,88.220001,94.779999,94.779999,89705600
2014-10-01,95.239998,109.250000,83.160004,107.089996,107.089996,142809200
2014-11-01,106.529999,114.500000,102.129997,113.690002,113.690002,76292200
2014-12-01,113.709999,119.839996,103.690002,111.860001,111.860001,128650100
2015-01-01,112.879997,124.599998,109.459999,119.160004,119.160004,110666000
2015-02-01,119.570000,125.449997,112.779999,121.529999,121.529999,101442000
2015-03-01,122.589996,129.059998,114.019997,115.279999,115.279999,128348400
2015-04-01,114.879997,120.720001,107.019997,108.059998,108.059998,118597300
2015-05-01,108.059998,117.720001,106.449997,114.440002,114.440002,85958400
2015-06-01,115.010002,121.470001,109.040001,115.739998,115.739998,91970100
2015-07-01,117.040001,140.720001,115.419998,131.250000,131.250000,120219900
2015-08-01,131.850006,133.589996,92.980003,118.080002,118.080002,101908100
2015-09-01,114.620003,126.980003,103.269997,108.169998,108.169998,123219400
2015-10-01,110.430000,128.389999,107.510002,122.709999,122.709999,117418600
2015-11-01,123.940002,127.970001,105.669998,109.449997,109.449997,94724300
2015-12-01,110.269997,123.220001,106.000000,119.760002,119.760002,99084600
2016-01-01,116.769997,119.589996,95.099998,100.320000,100.320000,149132700
2016-02-01,99.690002,106.419998,93.050003,100.830002,100.830002,132149800
2016-03-01,101.830002,106.139999,94.389999,100.089996,100.089996,122937400
2016-04-01,99.589996,111.900002,98.809998,103.410004,103.410004,102954900
2016-05-01,103.250000,107.440002,99.029999,105.519997,105.519997,76752000
2016-06-01,104.480003,108.500000,94.419998,98.629997,98.629997,104977200
2016-07-01,98.529999,112.430000,98.250000,112.190002,112.190002,92973400
2016-08-01,111.690002,117.900002,106.300003,106.739998,106.739998,92486100
2016-09-01,107.040001,111.139999,102.279999,104.529999,104.529999,81430200
2016-10-01,104.150002,106.360001,96.930000,102.180000,102.180000,85245000
2016-11-01,102.000000,127.000000,100.919998,118.510002,118.510002,120551400
2016-12-01,119.739998,119.949997,110.050003,115.750000,115.750000,84993700
2017-01-01,116.500000,122.389999,111.059998,116.150002,116.150002,97647400
2017-02-01,116.110001,124.559998,114.510002,123.510002,123.510002,74885600
2017-03-01,124.790001,127.639999,121.209999,124.430000,124.430000,84250200
2017-04-01,124.919998,126.660004,121.709999,124.050003,124.050003,60391100
2017-05-01,124.089996,124.730003,113.629997,114.410004,114.410004,78217600
2017-06-01,114.510002,135.179993,114.080002,129.869995,129.869995,109343400
2017-07-01,130.610001,139.000000,130.139999,135.410004,135.410004,68712500
2017-08-01,135.630005,139.000000,126.860001,138.929993,138.929993,72152000
2017-09-01,139.000000,146.130005,137.750000,145.820007,145.820007,70015500
2017-10-01,146.199997,147.169998,94.550003,100.970001,100.970001,240812200
2017-11-01,101.889999,106.129997,97.730003,100.830002,100.830002,141564000
2017-12-01,100.500000,110.809998,100.080002,104.360001,104.360001,112662300
2018-01-01,105.290001,109.980003,99.989998,101.160004,101.160004,178370700
2018-02-01,100.540001,101.209999,87.110001,87.120003,87.120003,151978700
2018-03-01,87.389999,93.570000,84.949997,89.209999,89.209999,164843000
2018-04-01,88.800003,92.959999,84.250000,87.099998,87.099998,124678600
2018-05-01,87.080002,88.879997,74.129997,78.680000,78.680000,171337100
2018-06-01,78.889999,80.699997,76.279999,79.419998,79.419998,138877600
2018-07-01,78.750000,90.519997,78.150002,90.089996,90.089996,126618700
2018-08-01,89.860001,95.300003,88.570000,94.449997,94.449997,106400300
2018-09-01,93.949997,94.000000,86.330002,89.489998,89.489998,76230200
2018-10-01,90.180000,92.680000,70.089996,71.599998,71.599998,129497700
2018-11-01,72.000000,76.400002,66.620003,72.220001,72.220001,146501400
2018-12-01,73.879997,74.879997,58.590000,64.089996,64.089996,140091000
2019-01-01,63.189999,88.800003,63.189999,88.459999,88.459999,320402700
2019-02-01,88.510002,91.570000,82.260002,83.120003,83.120003,197637400
2019-03-01,83.910004,94.709999,83.910004,94.339996,94.339996,224780600
