Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,71.919998,73.279999,67.980003,72.139999,71.909302,7435200
2012-02-01,72.660004,80.919998,72.410004,79.480003,79.259598,7187100
2012-03-01,79.660004,83.849998,76.500000,81.709999,81.483406,10244600
2012-04-01,81.339996,88.739998,80.160004,88.169998,87.925491,8893200
2012-05-01,88.000000,89.309998,84.360001,85.180000,84.943787,9355500
2012-06-01,83.970001,84.379997,75.410004,79.760002,79.538811,15380000
2012-07-01,79.629997,80.959999,72.440002,75.260002,75.051300,10440400
2012-08-01,75.580002,84.720001,71.400002,83.849998,83.650009,8153900
2012-09-01,83.839996,95.919998,83.029999,94.459999,94.234673,10446600
2012-10-01,94.959999,100.919998,93.320000,95.980003,95.751053,7865100
2012-11-01,95.889999,98.860001,88.800003,94.940002,94.713524,7545500
2012-12-01,94.900002,97.470001,90.750000,92.480003,92.259415,8640400
2013-01-01,93.750000,102.470001,93.459999,101.349998,101.108231,6843700
2013-02-01,102.040001,106.750000,100.239998,106.059998,105.839256,4608600
2013-03-01,105.680000,109.820000,102.720001,107.879997,107.655487,6946100
2013-04-01,107.800003,110.849998,104.239998,110.400002,110.170242,5906500
2013-05-01,110.400002,116.790001,105.709999,113.010002,112.774811,8179400
2013-06-01,113.000000,124.080002,110.330002,119.050003,118.802254,7506800
2013-07-01,119.639999,129.059998,119.230003,127.349998,127.084976,5578400
2013-08-01,128.470001,133.529999,127.480003,130.610001,130.369019,4396500
2013-09-01,131.789993,135.410004,125.879997,129.690002,129.450714,5953700
2013-10-01,130.000000,132.149994,124.000000,129.210007,128.971603,7892700
2013-11-01,129.440002,134.470001,125.480003,131.740005,131.496902,4439100
2013-12-01,131.639999,135.000000,118.580002,123.839996,123.611496,13513800
2014-01-01,123.250000,131.520004,120.160004,124.279999,124.050690,10866500
2014-02-01,123.290001,131.199997,116.949997,128.210007,128.003128,8078800
2014-03-01,127.870003,145.339996,127.550003,137.360001,137.138321,12023600
2014-04-01,136.919998,139.380005,123.489998,131.910004,131.697159,9406700
2014-05-01,132.119995,136.589996,127.019997,129.020004,128.811813,7364400
2014-06-01,129.649994,137.250000,127.620003,135.529999,135.311295,9780500
