Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,66.330002,66.330002,62.610001,63.930000,46.718483,66801400
2012-02-01,64.080002,64.830002,62.400002,62.759998,45.863472,95219100
2012-03-01,62.730000,64.440002,62.009998,63.029999,46.240009,63539900
2012-04-01,63.000000,64.500000,60.570000,64.290001,47.164375,93107200
2012-05-01,64.230003,66.269997,63.840000,65.940002,48.374847,112170800
2012-06-01,65.610001,70.199997,65.550003,69.180000,50.947601,113998900
2012-07-01,70.349998,71.129997,64.519997,67.779999,49.916565,129111100
2012-08-01,67.970001,69.169998,64.580002,64.779999,47.707222,99305900
2012-09-01,64.699997,65.209999,63.029999,64.790001,48.255867,70391600
2012-10-01,65.010002,65.900002,63.880001,65.690002,48.926189,55104400
2012-11-01,65.639999,65.860001,59.630001,63.820000,47.533401,98516900
2012-12-01,64.089996,65.660004,62.599998,63.799999,48.112045,68570400
2013-01-01,64.559998,68.919998,64.440002,68.739998,51.837345,55455100
2013-02-01,68.970001,70.300003,67.779999,69.250000,52.221935,70846100
2013-03-01,68.410004,72.680000,68.050003,72.589996,55.349907,47203900
2013-04-01,72.559998,75.419998,71.250000,75.199997,57.340019,52934000
2013-05-01,75.000000,75.459999,66.169998,66.930000,51.034153,86749700
2013-06-01,66.959999,68.959999,64.620003,67.500000,52.020893,65130300
2013-07-01,67.900002,71.910004,66.500000,71.000000,54.718266,52162000
2013-08-01,71.330002,72.010002,65.330002,65.599998,50.556599,74398200
2013-09-01,65.889999,68.639999,64.160004,66.779999,52.039154,56848600
2013-10-01,67.449997,73.059998,66.050003,71.730003,55.896500,58630600
2013-11-01,71.959999,73.529999,69.739998,69.959999,54.517208,75366600
2013-12-01,70.129997,70.540001,67.919998,69.010002,54.368195,54472000
2014-01-01,69.199997,70.680000,67.050003,70.620003,55.636600,70414700
2014-02-01,70.680000,72.669998,69.180000,70.879997,55.841438,60207800
2014-03-01,70.589996,71.360001,68.099998,71.220001,56.729908,70161000
2014-04-01,71.389999,75.129997,70.110001,74.489998,59.334614,60337900
2014-05-01,74.599998,74.779999,69.730003,71.080002,56.618401,56014300
2014-06-01,70.949997,74.389999,68.809998,74.190002,59.745422,58531500
2014-07-01,74.199997,74.480003,70.809998,72.129997,58.086494,55979700
2014-08-01,72.239998,74.000000,69.480003,73.989998,59.584351,59977600
2014-09-01,74.019997,75.209999,72.949997,74.769997,60.890659,66332200
2014-10-01,75.050003,82.680000,74.330002,82.150002,66.900726,84098400
2014-11-01,82.230003,83.900002,78.510002,80.900002,65.882767,68856000
2014-12-01,80.389999,87.290001,80.160004,83.540001,68.693390,74847400
2015-01-01,83.540001,89.970001,82.610001,87.139999,71.653595,59369100
2015-02-01,87.000000,87.290001,77.790001,78.550003,64.590210,76104200
2015-03-01,78.480003,78.480003,73.629997,76.779999,63.736710,89010000
2015-04-01,76.940002,79.879997,76.160004,77.570000,64.392487,62380100
2015-05-01,77.709999,78.849998,74.040001,75.730003,62.865067,67592700
2015-06-01,76.260002,76.360001,70.410004,70.620003,59.240402,91617300
2015-07-01,70.800003,75.709999,70.239998,74.220001,62.260296,69538200
2015-08-01,74.300003,77.529999,70.150002,70.910004,59.483677,82702900
2015-09-01,70.260002,72.019997,67.269997,71.940002,61.016289,67281100
2015-10-01,71.989998,75.290001,70.000000,71.470001,60.617661,65273500
2015-11-01,71.400002,72.550003,65.650002,67.760002,57.471008,71817500
2015-12-01,68.050003,72.750000,65.500000,71.389999,62.053673,73346900
2016-01-01,70.930000,75.410004,70.160004,75.300003,65.452332,59404700
2016-02-01,75.180000,80.099998,73.790001,74.279999,64.565712,90712800
2016-03-01,74.660004,80.709999,72.480003,80.680000,70.869469,87054800
2016-04-01,80.480003,81.389999,76.209999,78.779999,69.200523,55343800
2016-05-01,78.830002,81.279999,75.720001,78.230003,68.717407,63982200
2016-06-01,78.250000,85.790001,77.959999,85.790001,76.148239,71027900
2016-07-01,85.910004,87.309998,84.150002,85.589996,75.970711,60138800
2016-08-01,85.400002,86.000000,79.150002,79.660004,70.707169,69807700
2016-09-01,79.660004,87.750000,77.900002,80.040001,71.768677,59921600
2016-10-01,79.779999,80.489998,75.809998,80.019997,71.750740,62723000
2016-11-01,80.040001,80.050003,73.230003,73.769997,66.146606,80586700
2016-12-01,73.500000,78.239998,72.339996,77.620003,70.391396,68427800
