Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,24.510000,26.350000,23.799999,26.320000,20.523209,17814500
2012-02-01,26.430000,27.629999,25.910000,26.370001,20.562191,18003900
2012-03-01,26.410000,28.920000,26.170000,28.790001,22.449205,15665200
2012-04-01,28.700001,30.650000,27.450001,30.350000,23.844234,30945600
2012-05-01,30.500000,30.820000,27.639999,28.360001,22.280809,22115100
2012-06-01,27.760000,30.670000,27.549999,30.600000,24.040644,31158700
2012-07-01,30.799999,34.250000,30.209999,32.740002,25.902678,17535700
2012-08-01,32.830002,34.259998,32.580002,34.110001,26.986572,15564800
2012-09-01,34.230000,35.169998,33.009998,33.250000,26.306171,11766600
2012-10-01,33.299999,34.570000,32.590000,34.490002,27.448248,12006900
2012-11-01,34.500000,36.509998,33.930000,35.150002,27.973495,18381800
2012-12-01,35.279999,36.560001,34.810001,36.389999,28.960325,12576400
2013-01-01,36.810001,40.049999,36.639999,39.840000,31.933199,26481600
2013-02-01,39.959999,40.970001,36.500000,37.439999,30.009516,19437300
2013-03-01,37.389999,39.610001,36.889999,39.270000,31.476320,15974800
2013-04-01,39.240002,43.580002,38.869999,43.580002,35.156830,15575600
2013-05-01,43.480000,45.290001,41.799999,41.889999,33.793480,12900700
2013-06-01,41.990002,43.889999,40.220001,41.930000,33.825745,20490200
2013-07-01,42.180000,44.790001,41.599998,42.049999,34.247871,16321200
2013-08-01,42.330002,44.000000,40.599998,41.230000,33.580013,12297500
2013-09-01,41.490002,47.110001,39.980000,45.750000,37.261360,16724500
2013-10-01,45.880001,49.290001,45.400002,45.990002,37.800701,17707600
2013-11-01,46.250000,46.799999,40.669998,41.919998,34.455421,23527000
2013-12-01,42.070000,42.779999,40.320000,42.130001,34.628048,17258900
2014-01-01,42.090000,45.889999,41.480000,45.660000,37.889458,16282300
2014-02-01,45.689999,49.230000,44.310001,49.099998,40.744030,17559300
2014-03-01,48.759998,50.099998,47.119999,48.509998,40.254436,15141800
2014-04-01,48.770000,52.990002,47.570000,52.330002,43.779915,17996400
2014-05-01,52.439999,52.799999,50.680000,52.349998,43.796646,11670300
2014-06-01,52.410000,54.439999,52.049999,53.250000,44.549595,17882000
2014-07-01,53.430000,54.029999,51.349998,51.730000,43.661659,12526400
2014-08-01,51.740002,54.869999,51.490002,52.700001,44.480370,13076600
2014-09-01,52.720001,54.500000,50.110001,51.570000,43.526615,15106300
2014-10-01,51.509998,58.189999,51.099998,58.160000,49.526558,16459000
