Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,24.290001,26.820000,23.480000,26.240000,22.322094,36378400
2012-02-01,26.469999,29.440001,26.290001,29.170000,24.979542,32666400
2012-03-01,29.219999,32.270000,28.809999,31.049999,26.589470,53372000
2012-04-01,31.110001,31.820000,29.660000,30.590000,26.195551,34479800
2012-05-01,30.610001,33.290001,27.860001,31.740000,27.343647,70943200
2012-06-01,30.370001,32.189999,28.430000,30.580000,26.344320,49006600
2012-07-01,30.450001,34.000000,30.450001,33.020000,28.446354,41392300
2012-08-01,33.290001,35.810001,32.509998,34.570000,29.952219,39879900
2012-09-01,34.580002,37.650002,34.459999,35.500000,30.757994,37520600
2012-10-01,35.660000,36.430000,32.779999,33.500000,29.025156,33913700
2012-11-01,33.490002,35.959999,31.129999,35.840000,31.212002,51264500
2012-12-01,36.090000,36.090000,31.070000,32.119999,27.972364,44457200
2013-01-01,32.669998,34.840000,31.120001,34.349998,29.914400,50416600
2013-02-01,34.599998,35.029999,32.840000,34.189999,29.933304,33608100
2013-03-01,34.090000,35.639999,31.299999,34.240002,29.977076,72294500
2013-04-01,34.200001,34.869999,31.360001,34.869999,30.528646,54087200
2013-05-01,34.889999,36.990002,32.610001,34.320000,30.228617,64089700
2013-06-01,34.270000,36.029999,33.529999,35.130001,30.942051,49669100
2013-07-01,35.490002,37.700001,35.230000,36.130001,31.822840,35716000
2013-08-01,36.419998,37.849998,32.080002,32.200001,28.517998,55178300
2013-09-01,32.509998,34.330002,31.910000,33.939999,30.059029,37816400
2013-10-01,33.889999,35.209999,32.130001,34.700001,30.732126,35584000
2013-11-01,34.820000,39.220001,34.090000,38.889999,34.654121,47422900
2013-12-01,38.799999,41.630001,38.310001,41.439999,36.926376,33740000
2014-01-01,41.360001,41.730000,37.459999,38.599998,34.395706,36613400
2014-02-01,38.470001,42.119999,36.650002,41.709999,37.349785,27419400
2014-03-01,41.299999,47.230000,41.250000,46.980000,42.068882,50744000
2014-04-01,47.259998,48.709999,43.770000,46.529999,41.665916,28671400
2014-05-01,46.750000,49.630001,46.200001,48.180000,43.357800,25127600
2014-06-01,48.250000,51.000000,47.500000,50.720001,45.643559,28073200
2014-07-01,50.730000,52.070000,47.110001,47.529999,42.772846,30965700
2014-08-01,47.580002,56.529999,47.500000,56.110001,50.719334,37322300
2014-09-01,56.290001,58.400002,55.349998,55.650002,50.303528,38641300
2014-10-01,55.570000,56.759998,51.619999,56.009998,50.628941,42351600
2014-11-01,56.009998,59.189999,52.029999,57.290001,51.998253,64384100
2014-12-01,57.500000,57.880001,52.700001,56.180000,50.990776,48132300
2015-01-01,56.430000,57.619999,51.119999,53.220001,48.304192,44690700
2015-02-01,53.360001,56.389999,52.119999,56.169998,51.184116,33631600
2015-03-01,56.209999,63.660000,55.770000,63.000000,57.407848,54584900
2015-04-01,62.880001,63.320000,59.009998,59.450001,54.172966,32994800
2015-05-01,59.610001,65.800003,59.520000,63.200001,57.827724,43864300
2015-06-01,63.320000,67.790001,61.310001,67.010002,61.313866,35426500
