Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,20.730000,24.495001,20.674999,24.430000,22.010292,363599200
2012-02-01,24.525000,28.250000,21.905001,22.770000,20.514711,577325000
2012-03-01,22.950001,24.490000,22.400000,24.430000,22.010292,272482800
2012-04-01,24.355000,27.375000,22.665001,26.010000,23.433804,359008200
2012-05-01,25.975000,26.530001,24.465000,24.975000,22.501316,276041400
2012-06-01,24.700001,25.680000,24.120001,25.639999,23.100451,200757800
2012-07-01,25.594999,28.020000,24.799999,27.165001,24.474405,219132000
2012-08-01,27.225000,29.420000,26.750000,28.844999,25.988003,272655000
2012-09-01,28.754999,34.040001,28.510000,33.165001,29.880119,331178800
2012-10-01,33.744999,35.195000,32.200001,33.590000,30.263031,320868800
2012-11-01,33.849998,38.139999,32.070000,37.500000,33.785755,343803000
2012-12-01,37.485001,38.560001,35.680000,36.724998,33.087517,191862600
2013-01-01,37.154999,40.389999,36.935001,39.450001,35.542614,190845200
2013-02-01,40.169998,43.349998,39.480000,42.720001,38.488731,186853800
2013-03-01,42.630001,49.480000,42.380001,48.939999,44.092667,208620200
2013-04-01,49.009998,55.160000,46.529999,50.639999,45.624287,280485700
2013-05-01,50.450001,58.060001,49.860001,54.480000,49.083942,275088500
2013-06-01,54.560001,54.639999,46.700001,51.270000,46.191883,220422900
2013-07-01,51.970001,64.040001,51.419998,61.400002,55.318546,216196700
2013-08-01,62.049999,62.200001,55.959999,60.270000,54.300465,146884600
2013-09-01,60.900002,64.739998,59.419998,62.869999,56.642948,122144700
2013-10-01,63.020000,73.199997,58.810001,71.180000,64.129868,218274500
2013-11-01,71.389999,75.430000,65.529999,74.809998,67.400322,200443200
2013-12-01,74.839996,76.110001,69.050003,75.099998,67.661613,241963200
2014-01-01,75.209999,84.400002,72.529999,80.650002,72.661888,232733500
2014-02-01,81.769997,84.879997,75.699997,82.790001,74.589958,236144400
2014-03-01,82.790001,83.440002,67.629997,70.860001,63.841568,341995300
2014-04-01,73.339996,78.669998,63.500000,78.489998,70.715836,472552600
2014-05-01,78.620003,83.699997,76.629997,81.209999,73.166435,241716800
2014-06-01,81.320000,84.449997,78.500000,82.910004,74.698059,209249200
2014-07-01,83.370003,94.339996,83.320000,91.550003,82.482300,288650900
2014-08-01,91.000000,108.769997,90.690002,107.559998,96.906540,270333000
2014-09-01,108.169998,110.639999,97.540001,106.449997,95.906494,316970400
2014-10-01,106.989998,116.830002,91.730003,112.000000,100.906807,358589600
2014-11-01,112.309998,112.800003,98.370003,100.320000,90.383644,302452800
2014-12-01,100.000000,109.489998,85.949997,94.260002,84.923874,440734100
2015-01-01,95.139999,107.769997,93.180000,104.830002,94.446960,301596500
2015-02-01,106.099998,107.309998,95.809998,103.529999,93.275703,271940800
2015-03-01,104.300003,104.449997,98.070000,98.129997,88.410576,237939400
2015-04-01,98.160004,105.750000,95.379997,100.510002,90.554840,218678800
2015-05-01,103.199997,113.430000,99.660004,112.269997,101.150047,241173700
2015-06-01,113.169998,123.370003,112.519997,117.080002,105.483635,233807200
2015-07-01,118.110001,119.720001,108.000000,117.860001,106.571045,235286200
2015-08-01,118.500000,120.370003,86.000000,105.070000,95.006111,230679600
2015-09-01,102.220001,113.309998,93.190002,98.190002,88.785095,255105200
2015-10-01,98.540001,111.110001,94.370003,108.129997,98.157997,273271600
2015-11-01,108.760002,109.949997,101.639999,105.959999,96.188141,151261900
2015-12-01,106.349998,107.379997,98.660004,101.190002,91.858047,184906400
2016-01-01,99.769997,100.680000,82.330002,83.000000,75.670845,265967500
2016-02-01,82.320000,91.500000,81.889999,87.250000,79.545547,281941900
2016-03-01,87.900002,94.309998,86.849998,91.860001,83.748466,257423500
2016-04-01,91.339996,103.099998,87.800003,88.209999,80.808380,232790900
2016-05-01,88.699997,89.449997,81.279999,87.059998,79.754860,195992500
2016-06-01,87.230003,88.239998,77.919998,83.419998,76.420288,197759600
2016-07-01,83.150002,88.849998,79.370003,79.470001,73.211472,235444800
2016-08-01,79.809998,82.099998,77.580002,78.379997,72.207321,228671700
2016-09-01,78.430000,82.070000,76.669998,79.120003,72.889046,208150100
2016-10-01,78.629997,78.970001,72.209999,73.629997,68.242271,187664400
2016-11-01,73.629997,80.000000,71.389999,73.699997,68.307167,212875200
2016-12-01,73.970001,76.320000,70.830002,71.610001,66.370094,196593100
2017-01-01,72.339996,76.980003,69.779999,72.449997,67.580948,202186200
2017-02-01,72.720001,73.300003,65.379997,70.480003,65.743355,257102100
2017-03-01,70.820000,70.989998,66.800003,67.919998,63.355396,192628300
2017-04-01,67.849998,68.959999,65.699997,68.550003,64.435074,143867000
2017-05-01,68.540001,69.160004,63.880001,64.489998,60.618786,170965900
2017-06-01,65.010002,72.169998,63.759998,70.779999,66.531204,343743500
2017-07-01,71.110001,76.489998,68.540001,70.860001,67.142311,163385600
2017-08-01,76.349998,84.129997,71.820000,83.709999,79.318130,626013600
2017-09-01,83.360001,86.269997,79.209999,82.559998,78.228470,211942400
2017-10-01,81.209999,84.230003,72.760002,74.959999,71.471336,320785200
2017-11-01,74.690002,75.849998,70.050003,74.779999,71.299713,155043200
2017-12-01,74.440002,77.150002,71.610001,71.639999,68.305847,214844000
2018-01-01,72.190002,89.540001,71.720001,83.800003,80.446182,196585700
2018-02-01,83.199997,84.580002,76.019997,78.730003,75.579079,175970400
2018-03-01,78.940002,82.720001,72.730003,75.389999,72.372749,153503500
2018-04-01,74.930000,76.250000,71.870003,72.230003,69.830017,121787500
2018-05-01,72.290001,72.830002,64.269997,67.400002,65.160507,188682900
2018-06-01,67.620003,72.279999,67.519997,70.839996,68.486198,151172000
2018-07-01,70.699997,79.040001,70.300003,77.830002,75.850403,140811100
2018-08-01,77.500000,78.620003,71.900002,75.730003,73.803825,139282400
2018-09-01,75.360001,77.239998,71.489998,77.209999,75.246170,116209500
2018-10-01,77.320000,79.610001,66.500000,68.180000,66.961845,169253500
2018-11-01,68.199997,72.800003,65.809998,71.940002,70.654671,143885000
2018-12-01,72.739998,72.900002,60.320000,62.549999,61.432434,168064000
2019-01-01,61.759998,70.320000,61.500000,70.010002,69.339188,164264500
2019-02-01,70.000000,70.500000,63.959999,65.019997,64.396988,140624600
2019-03-01,65.620003,66.470001,61.959999,65.010002,64.387093,156256700
