Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,191.289993,204.619995,184.369995,190.740005,166.264206,9230600
2012-02-01,191.839996,212.000000,191.830002,207.729996,181.074066,6082100
2012-03-01,208.009995,221.839996,204.669998,214.809998,187.860107,7186100
2012-04-01,214.649994,221.000000,199.539993,207.820007,181.747040,12426500
2012-05-01,208.429993,209.979996,185.729996,193.649994,169.354843,13416700
2012-06-01,189.869995,191.660004,172.500000,191.240005,167.912979,18877800
2012-07-01,190.690002,211.360001,176.500000,204.830002,179.845291,14968900
2012-08-01,205.809998,209.970001,197.160004,205.960007,180.837463,7601200
2012-09-01,206.130005,211.309998,200.970001,208.369995,183.665131,9424900
2012-10-01,208.899994,218.229996,196.199997,201.410004,177.530334,13935500
2012-11-01,201.830002,204.580002,184.779999,194.020004,171.016510,17642100
2012-12-01,194.690002,202.429993,186.589996,202.369995,179.081955,9728900
2013-01-01,205.389999,219.289993,201.490005,217.820007,192.754028,18900900
2013-02-01,219.360001,231.020004,215.089996,226.460007,200.399765,7744200
2013-03-01,225.429993,233.949997,218.289993,224.979996,199.823822,6756400
2013-04-01,224.399994,249.539993,216.639999,246.470001,218.910919,9826900
2013-05-01,246.240005,269.170013,240.809998,257.440002,228.654297,6794800
2013-06-01,257.230011,261.000000,247.399994,252.179993,224.810287,5793700
2013-07-01,253.470001,267.290009,250.970001,262.140015,233.689362,6333100
2013-08-01,265.299988,270.470001,245.009995,247.350006,220.504532,4545500
2013-09-01,249.389999,276.380005,248.869995,261.709991,234.139755,7036700
2013-10-01,261.769989,274.369995,251.210007,268.970001,240.634933,9392700
2013-11-01,269.459991,273.000000,252.550003,257.920013,230.749069,6984400
2013-12-01,257.910004,260.000000,246.860001,255.419998,229.305313,7834300
2014-01-01,254.699997,267.489990,232.259995,234.479996,210.506226,11533800
2014-02-01,234.500000,255.679993,228.190002,255.020004,228.946213,11748400
2014-03-01,253.160004,259.380005,243.990005,252.660004,227.744904,9793100
2014-04-01,253.949997,259.339996,245.229996,254.399994,229.313324,9959600
2014-05-01,255.240005,259.339996,248.330002,258.369995,232.891846,6423600
2014-06-01,258.739990,269.690002,252.979996,254.270004,230.181488,7962000
2014-07-01,255.000000,256.420013,234.800003,235.149994,212.872818,10908700
2014-08-01,233.820007,250.660004,231.210007,246.199997,222.875977,8017100
2014-09-01,246.970001,254.750000,244.679993,251.649994,228.858627,7680700
2014-10-01,251.419998,258.190002,223.919998,246.800003,224.447891,15120400
2014-11-01,246.800003,255.080002,241.979996,245.679993,223.429306,7408900
2014-12-01,244.910004,261.570007,239.699997,254.889999,232.798325,10670700
2015-01-01,256.019989,256.970001,229.039993,235.839996,215.399414,10825400
2015-02-01,233.750000,245.240005,230.509995,236.910004,216.376663,13307700
2015-03-01,236.910004,241.470001,228.149994,235.809998,216.349030,14136400
2015-04-01,234.880005,252.869995,228.050003,248.429993,227.927505,15100000
2015-05-01,249.020004,251.899994,239.690002,240.330002,220.495987,8962800
2015-06-01,240.839996,246.000000,234.279999,236.649994,218.156845,10853800
2015-07-01,238.500000,240.000000,221.669998,228.710007,210.837296,15804100
2015-08-01,227.289993,231.009995,194.419998,223.440002,205.979141,12632600
2015-09-01,219.679993,227.199997,208.100006,215.009995,199.234573,14714000
2015-10-01,214.009995,233.000000,198.940002,210.000000,194.592163,22240100
2015-11-01,210.029999,213.970001,192.500000,200.539993,185.826248,13979600
2015-12-01,200.089996,207.669998,189.600006,202.589996,188.774338,16131200
2016-01-01,199.550003,203.429993,176.850006,196.690002,183.276718,18251300
2016-02-01,195.360001,224.179993,189.570007,216.899994,202.108459,17963600
2016-03-01,219.009995,234.770004,214.080002,233.429993,218.806442,14134300
2016-04-01,230.380005,239.949997,226.309998,234.520004,219.828171,13903600
2016-05-01,234.770004,235.710007,219.380005,228.350006,214.044693,9988100
2016-06-01,227.869995,231.240005,212.639999,227.250000,214.154068,12191700
2016-07-01,226.759995,233.250000,214.789993,218.850006,206.238144,12775600
2016-08-01,218.470001,235.529999,215.160004,230.660004,217.367569,9049100
2016-09-01,230.929993,231.089996,214.550003,224.839996,213.078995,11529700
2016-10-01,223.690002,228.440002,201.940002,208.119995,197.233582,12922000
2016-11-01,208.830002,234.210007,202.059998,230.570007,218.509277,14361500
2016-12-01,231.690002,240.740005,230.419998,239.619995,228.403061,14787300
2017-01-01,233.419998,262.709991,229.050003,252.570007,240.746887,15727400
2017-02-01,253.220001,259.000000,246.279999,247.960007,236.352661,9380100
2017-03-01,248.570007,252.979996,230.580002,232.759995,222.933197,13800700
2017-04-01,232.740005,234.660004,190.380005,192.699997,184.564453,27316200
2017-05-01,193.100006,193.470001,169.750000,172.279999,165.006592,21174400
2017-06-01,171.910004,182.899994,168.580002,180.529999,174.068619,20388500
2017-07-01,181.729996,185.820007,160.289993,166.740005,160.772171,26093400
2017-08-01,167.470001,172.490005,155.000000,162.570007,156.751434,17762100
2017-09-01,162.559998,183.070007,159.240005,179.750000,174.662521,15825900
2017-10-01,179.750000,213.750000,166.460007,197.699997,192.104477,30864600
2017-11-01,199.750000,222.410004,191.389999,221.309998,215.046234,19988300
2017-12-01,221.070007,240.490005,215.000000,236.250000,230.998230,14952300
2018-01-01,237.050003,298.149994,223.250000,269.660004,263.665527,28934200
2018-02-01,267.029999,274.000000,247.169998,261.549988,255.735809,16778200
2018-03-01,260.970001,292.470001,248.750000,282.269989,277.368134,17398500
2018-04-01,281.029999,309.799988,270.230011,281.350006,276.464111,21359900
2018-05-01,279.929993,317.510010,272.329987,308.989990,303.624084,14121700
2018-06-01,309.809998,322.339996,303.410004,308.399994,304.423615,11896400
2018-07-01,307.130005,348.140015,292.920013,346.559998,342.091614,18599300
2018-08-01,346.059998,372.059998,337.309998,354.070007,349.504791,11655300
2018-09-01,355.200012,361.959991,345.440002,357.410004,354.171417,10668200
2018-10-01,357.250000,361.170013,265.000000,283.970001,281.396912,24629200
2018-11-01,284.820007,315.570007,277.809998,314.040009,311.194427,11055000
2018-12-01,317.899994,321.070007,266.079987,282.359985,281.092865,10457800
2019-01-01,278.890015,308.920013,266.329987,295.390015,294.064423,14409500
2019-02-01,295.540009,316.890015,291.390015,304.769989,303.402313,6809100
2019-03-01,308.739990,310.049988,286.579987,300.929993,300.929993,7714100
