Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,5.642500,6.275000,5.490000,6.150000,5.005477,85872000
2012-02-01,6.217500,7.292500,6.067500,7.182500,5.845827,116208000
2012-03-01,7.222500,7.477500,6.835000,7.385000,6.010643,76369200
2012-04-01,7.375000,7.625000,6.632500,7.055000,5.742056,115074400
2012-05-01,7.052500,7.252500,6.160000,6.965000,5.668805,92030000
2012-06-01,6.795000,7.337500,6.595000,6.932500,5.642353,65915200
2012-07-01,7.002500,7.705000,6.935000,7.505000,6.108310,71132800
2012-08-01,7.625000,8.255000,7.625000,8.107500,6.598685,82752000
2012-09-01,8.115000,8.500000,7.867500,7.970000,6.486773,47604800
2012-10-01,7.995000,8.490000,7.792500,8.367500,6.810298,53709200
2012-11-01,8.375000,9.260000,8.135000,9.025000,7.345434,67198000
2012-12-01,9.060000,9.147500,8.685000,8.955000,7.288463,64183200
2013-01-01,9.110000,9.700000,8.777500,9.370000,7.626232,78270400
2013-02-01,9.432500,10.185000,9.312500,9.910000,8.065737,87125200
2013-03-01,9.897500,11.420000,9.707500,11.390000,9.270308,89726800
2013-04-01,11.377500,12.540000,10.977500,12.540000,10.206292,143271200
2013-05-01,12.497500,12.932500,12.150000,12.465000,10.145247,69693200
2013-06-01,12.462500,13.220000,12.087500,12.855000,10.628152,57650400
2013-07-01,12.917500,16.400000,12.882500,15.865000,13.116734,79172000
2013-08-01,16.014999,16.245001,14.792500,14.870000,12.294098,60463200
2013-09-01,15.047500,16.184999,14.807500,15.577500,13.046326,56461600
2013-10-01,15.630000,17.337500,14.532500,17.030001,14.262812,68477200
2013-11-01,17.115000,17.700001,16.512501,17.525000,14.677380,48769600
2013-12-01,17.512501,17.950001,16.745001,17.567499,14.889313,46454400
2014-01-01,17.455000,18.625000,15.890000,17.785000,15.073651,68226000
2014-02-01,17.764999,18.972500,16.850000,18.320000,15.527087,52914800
2014-03-01,18.132500,19.200001,18.045000,19.120001,16.478519,55820400
2014-04-01,19.184999,20.535000,18.025000,20.522499,17.687258,87692800
2014-05-01,20.445000,21.264999,20.127501,21.207500,18.277624,59097200
2014-06-01,21.200001,24.745001,20.777500,24.610001,21.523623,69940800
2014-07-01,24.584999,26.655001,23.897499,24.427500,21.364008,55964800
2014-08-01,24.797501,26.350000,24.182501,25.670000,22.450686,40183200
2014-09-01,25.692499,27.405001,25.672501,26.860001,23.784842,72916800
2014-10-01,26.792500,28.100000,24.924999,26.402500,23.379721,90236800
2014-11-01,26.469999,29.012501,26.312500,28.930000,25.617857,64998800
2014-12-01,28.892500,28.942499,26.917500,27.905001,24.984484,47521200
2015-01-01,28.084999,29.567499,26.275000,27.844999,24.930765,16670300
2015-02-01,27.967501,32.297501,27.504999,31.885000,28.547939,13346200
2015-03-01,31.980000,34.799999,31.757500,33.509998,30.428930,125297300
2015-04-01,33.529999,34.770000,30.780001,31.080000,28.222355,64665900
2015-05-01,31.139999,32.529999,30.420000,31.860001,28.930639,49980000
2015-06-01,31.889999,34.779999,31.760000,33.320000,30.351761,53318400
2015-07-01,33.669998,34.669998,29.469999,31.030001,28.265760,66606800
2015-08-01,30.790001,31.139999,26.320000,30.110001,27.427711,112550400
2015-09-01,29.480000,31.230000,27.830000,28.940001,26.450432,66682400
2015-10-01,28.940001,32.009998,25.920000,31.940001,29.192360,104433700
2015-11-01,31.889999,33.240002,29.719999,30.670000,28.031609,51436400
2015-12-01,30.930000,31.590000,28.410000,29.430000,26.984247,51173000
2016-01-01,28.920000,31.200001,27.190001,30.570000,28.029505,74653800
2016-02-01,30.200001,31.360001,23.250000,28.490000,26.122366,122389600
2016-03-01,28.620001,30.000000,27.660000,28.340000,26.099487,58313700
2016-04-01,28.160000,30.420000,26.610001,29.030001,26.734934,78168900
2016-05-01,29.090000,29.389999,26.530001,27.070000,24.929888,63909000
2016-06-01,27.400000,28.250000,24.959999,25.129999,23.238075,86853300
2016-07-01,25.350000,27.450001,24.709999,26.660000,24.652887,69300500
2016-08-01,26.719999,28.240000,24.139999,26.540001,24.541924,92525500
2016-09-01,26.530001,26.760000,25.030001,25.250000,23.443642,69370000
2016-10-01,25.160000,27.070000,23.660000,25.700001,23.861450,98762500
2016-11-01,25.660000,26.049999,23.209999,23.230000,21.568150,103963800
2016-12-01,23.250000,23.780001,21.400000,21.570000,20.117561,172444000
2017-01-01,21.900000,23.980000,21.580000,23.709999,22.113459,111698300
2017-02-01,23.730000,23.740000,18.910000,20.010000,18.662607,197597200
2017-03-01,20.120001,21.100000,19.760000,20.760000,19.506668,101610100
2017-04-01,20.790001,22.379999,20.040001,21.809999,20.493279,75102300
2017-05-01,21.870001,22.790001,20.180000,20.650000,19.403311,106056700
2017-06-01,20.799999,23.320000,20.690001,23.160000,21.909281,94585700
2017-07-01,23.160000,23.719999,22.379999,22.920000,21.682240,66205200
2017-08-01,22.889999,24.799999,22.830000,24.260000,22.949877,98545600
