Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,62.099998,62.380001,60.520000,61.080002,51.513912,18827500
2012-02-01,61.000000,61.919998,59.320000,60.700001,51.193436,32466200
2012-03-01,60.770000,61.599998,59.430000,61.330002,52.050720,21086800
2012-04-01,61.330002,67.129997,59.509998,67.010002,56.871330,31096200
2012-05-01,67.000000,69.459999,66.510002,66.860001,56.744022,29965300
2012-06-01,66.110001,72.029999,65.430000,72.029999,61.475826,28825500
2012-07-01,71.970001,72.970001,70.059998,71.739998,61.228340,19194900
2012-08-01,72.000000,73.160004,70.720001,71.820000,61.296619,20263800
2012-09-01,71.970001,73.419998,69.849998,70.889999,60.821808,15129600
2012-10-01,71.029999,72.000000,68.089996,68.849998,59.071541,17534500
2012-11-01,68.879997,73.290001,68.230003,73.269997,62.863773,18910400
2012-12-01,73.279999,74.709999,70.949997,72.220001,62.323448,15475800
2013-01-01,72.860001,79.959999,72.540001,79.449997,68.562698,22579200
2013-02-01,80.000000,83.669998,78.449997,83.339996,71.919647,23439000
2013-03-01,83.000000,87.620003,82.570000,87.529999,75.929909,18791200
2013-04-01,87.349998,91.989998,84.839996,89.160004,77.343887,26464900
2013-05-01,88.919998,91.300003,87.320000,89.110001,77.300529,25154700
2013-06-01,89.010002,90.120003,85.139999,89.279999,77.817520,24255500
2013-07-01,89.419998,95.419998,88.750000,94.870003,82.689796,18751900
2013-08-01,95.480003,98.000000,90.239998,91.949997,80.144714,16449400
2013-09-01,92.779999,94.320000,89.279999,92.500000,81.036728,13591400
2013-10-01,92.269997,101.370003,90.550003,99.239998,86.941437,15962900
2013-11-01,99.349998,99.989998,94.510002,96.889999,84.882683,13291100
2013-12-01,96.739998,97.849998,93.150002,97.230003,85.617775,12066000
2014-01-01,97.180000,99.980003,95.180000,99.400002,87.528610,20000600
2014-02-01,98.970001,108.690002,97.660004,105.820000,93.181885,27067600
2014-03-01,105.309998,107.540001,102.510002,104.400002,92.347305,19169300
2014-04-01,103.750000,104.680000,95.110001,96.239998,85.129356,27125200
2014-05-01,96.029999,98.290001,95.339996,97.339996,86.102356,21888500
2014-06-01,97.330002,100.160004,95.930000,97.370003,86.559708,18775400
2014-07-01,97.739998,97.739998,88.099998,88.150002,78.363335,29009200
