Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,49.730000,49.959999,45.200001,45.990002,35.150013,85867200
2012-02-01,46.299999,52.680000,45.470001,49.680000,37.970268,88616800
2012-03-01,49.189999,51.500000,47.400002,50.029999,38.237762,74621300
2012-04-01,50.820000,52.240002,48.740002,50.130001,38.569214,79611600
2012-05-01,49.959999,51.700001,45.799999,45.820000,35.253170,112085700
2012-06-01,44.840000,45.520000,42.720001,45.490002,34.999271,85586600
2012-07-01,45.700001,50.290001,44.020000,49.720001,38.529587,70230200
2012-08-01,50.000000,53.740002,49.310001,52.200001,40.451412,71014700
2012-09-01,52.220001,54.160000,50.470001,51.220001,39.934143,50249300
2012-10-01,51.340000,53.930000,50.060001,53.279999,41.540245,70725900
2012-11-01,54.730000,55.250000,44.180000,44.650002,34.811802,83881300
2012-12-01,44.470001,45.209999,42.040001,42.980000,33.509758,70734800
2013-01-01,43.450001,46.349998,41.349998,46.290001,36.350956,71765800
2013-02-01,46.419998,48.240002,44.570000,46.099998,36.201740,58758600
2013-03-01,46.000000,49.340000,45.759998,46.130001,36.225307,49214700
2013-04-01,46.110001,49.299999,45.330002,47.060001,37.234921,46048700
2013-05-01,46.980000,52.939999,46.549999,51.410000,40.676735,70372000
2013-06-01,51.389999,53.209999,49.389999,50.509998,39.964634,45033100
2013-07-01,50.860001,54.029999,50.770000,52.980000,42.203239,37231600
2013-08-01,53.400002,54.520000,49.570000,51.310001,40.872940,56128500
2013-09-01,51.700001,53.320000,50.500000,51.750000,41.223431,45003200
2013-10-01,51.619999,57.490002,50.599998,56.799999,45.550507,57589600
2013-11-01,56.919998,59.000000,53.029999,55.279999,44.331554,69697300
2013-12-01,55.110001,56.889999,53.619999,56.750000,45.510410,47052800
2014-01-01,56.759998,57.529999,49.799999,50.630001,40.863979,68078100
2014-02-01,50.630001,57.330002,48.680000,56.189999,45.351501,58290500
2014-03-01,55.599998,57.250000,54.099998,56.799999,45.843849,55162800
2014-04-01,56.910000,58.200001,53.110001,54.790001,44.534786,47754700
2014-05-01,54.889999,56.230000,51.830002,54.439999,44.250290,56605400
2014-06-01,54.660000,54.810001,51.880001,52.680000,42.819721,42077700
2014-07-01,52.709999,54.200001,50.900002,53.540001,43.834160,52791500
2014-08-01,53.349998,59.900002,53.070000,58.790001,48.132431,59647700
2014-09-01,58.990002,63.540001,58.470001,61.029999,49.966358,63432400
2014-10-01,60.889999,61.900002,53.860001,54.220001,44.681561,80931500
2014-11-01,54.279999,59.880001,54.009998,59.619999,49.131588,47960400
2014-12-01,59.389999,62.020000,55.869999,61.040001,50.301788,61816700
2015-01-01,61.150002,62.200001,58.000000,59.720001,49.552685,47444800
