Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,23.500000,23.730000,21.290001,21.459999,16.718836,36590300
2012-02-01,21.719999,23.469999,21.260000,22.629999,17.630350,39789800
2012-03-01,22.740000,23.370001,21.900000,23.010000,17.926399,42664600
2012-04-01,22.920000,23.980000,21.709999,21.770000,17.171135,40709500
2012-05-01,21.750000,22.299999,19.750000,20.790001,16.398159,40076100
2012-06-01,20.389999,21.129999,19.260000,21.129999,16.666334,49613200
2012-07-01,21.190001,23.309999,20.500000,23.180000,18.531788,46289000
2012-08-01,23.270000,23.990000,22.730000,23.740000,18.979494,33426900
2012-09-01,23.799999,25.240000,23.570000,25.049999,20.026802,28202500
2012-10-01,25.049999,26.950001,24.350000,26.530001,21.463245,29775500
2012-11-01,26.690001,27.850000,25.930000,27.850000,22.531157,26356900
2012-12-01,27.750000,27.889999,26.120001,27.219999,22.021471,28595700
2013-01-01,27.620001,29.920000,27.250000,29.440001,24.074453,24709500
2013-02-01,29.680000,30.879999,28.950001,30.580000,25.006678,28623900
2013-03-01,30.459999,33.799999,30.219999,33.779999,27.623470,20640600
2013-04-01,33.779999,34.070000,31.570000,32.240002,26.601364,25379000
2013-05-01,32.160000,34.279999,31.570000,32.000000,26.403334,22146500
2013-06-01,32.060001,32.939999,29.590000,31.090000,25.652487,27140900
2013-07-01,31.240000,32.520000,29.950001,31.410000,26.154514,19783400
2013-08-01,31.770000,32.029999,28.830000,28.920000,24.081137,19096300
2013-09-01,29.290001,31.320000,28.590000,30.150000,25.105337,24158100
2013-10-01,30.110001,30.500000,28.000000,29.740000,25.011908,25730600
2013-11-01,29.770000,30.549999,28.930000,30.209999,25.407185,17186500
2013-12-01,30.160000,31.330000,28.790001,30.940001,26.021128,22287800
2014-01-01,30.870001,30.940001,29.309999,30.020000,25.505548,24446600
2014-02-01,30.020000,32.250000,28.900000,32.049999,27.230270,17036700
2014-03-01,31.670000,32.750000,31.010000,32.639999,27.731544,17857200
2014-04-01,32.599998,33.849998,31.540001,32.860001,28.182091,19209600
2014-05-01,32.840000,34.060001,32.160000,33.919998,29.091190,18673900
2014-06-01,33.910000,34.799999,33.139999,34.279999,29.399946,17356200
2014-07-01,34.299999,34.490002,32.529999,32.799999,28.380688,20624300
2014-08-01,32.599998,35.209999,32.570000,35.090000,30.362137,14287600
2014-09-01,35.060001,35.939999,34.820000,34.919998,30.215052,17821100
2014-10-01,34.810001,39.709999,32.639999,39.380001,34.374466,29391700
2014-11-01,39.349998,42.470001,39.299999,42.090000,36.740002,19233300
2014-12-01,41.889999,43.150002,39.380001,42.610001,37.193901,24116700
2015-01-01,42.639999,45.790001,41.360001,42.630001,37.491695,30924100
2015-02-01,42.750000,45.700001,42.040001,45.049999,39.619999,18324300
2015-03-01,45.500000,46.950001,43.939999,46.090000,40.534657,24944200
2015-04-01,46.000000,46.139999,42.340000,42.470001,37.613190,16022600
2015-05-01,42.529999,47.919998,42.529999,47.279999,41.873108,20461100
2015-06-01,47.410000,49.950001,46.820000,48.680000,43.113010,22100200
2015-07-01,49.270000,51.279999,47.259998,47.810001,42.610611,19541000
2015-08-01,47.740002,51.009998,39.580002,44.419998,39.589272,26458700
