Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,19.734512,22.723698,19.233038,21.130777,20.520849,141937400
2012-02-01,21.376598,23.942970,21.130777,22.989183,22.366285,118209100
2012-03-01,23.126844,27.807276,21.828909,26.725664,26.001528,157525700
2012-04-01,26.509340,28.239922,23.893805,27.276302,26.537251,129858100
2012-05-01,27.286137,29.616520,24.975418,26.833824,26.148039,167741200
2012-06-01,25.791544,30.412979,23.087513,30.393314,29.616549,182282300
2012-07-01,30.619469,31.366764,28.466076,28.721731,27.987698,120784300
2012-08-01,28.908554,32.300884,28.033432,31.887905,31.112738,98412100
2012-09-01,31.858408,37.630283,31.632252,34.188789,33.357689,112128100
2012-10-01,34.680431,38.593903,33.824974,36.843658,35.948025,110387200
2012-11-01,37.000984,38.672565,33.353001,37.404129,36.535271,122487000
2012-12-01,37.669617,39.213371,34.916420,38.023598,37.140362,83845100
2013-01-01,39.282204,42.497543,38.800392,40.845623,39.896832,91405700
2013-02-01,41.150444,41.563423,35.998032,37.944935,37.098877,78310000
2013-03-01,37.797443,43.166176,37.148476,40.786629,39.877213,82087600
2013-04-01,40.688297,42.182892,36.145527,40.530975,39.627258,105522100
2013-05-01,40.117992,43.657818,38.603737,38.662735,37.841003,86469000
2013-06-01,38.918388,39.301868,32.802361,35.437561,34.684376,174790000
2013-07-01,35.693214,37.236973,31.415930,33.303833,32.596001,149227500
2013-08-01,33.746311,34.473942,30.383480,31.278269,30.650230,118670600
2013-09-01,31.602753,37.207474,30.570305,34.808258,34.109337,124069600
2013-10-01,34.749264,37.158310,32.114059,34.955753,34.253887,117635400
2013-11-01,35.063915,35.998032,31.612587,35.162243,34.498314,113131200
2013-12-01,35.221237,39.242870,33.520157,38.898724,38.164246,92565200
2014-01-01,38.505409,40.157326,35.801376,39.488693,38.743073,92708600
2014-02-01,39.331367,43.657818,38.092430,43.146511,42.378529,91195100
2014-03-01,42.654869,43.559490,37.708946,38.957718,38.264297,108169300
2014-04-01,38.967552,40.924286,36.696167,37.944935,37.269543,71071700
2014-05-01,37.728615,40.580139,36.833824,40.216324,39.542587,71527200
2014-06-01,40.186825,41.779743,39.341198,41.278271,40.586746,60753100
2014-07-01,41.199608,41.956734,35.457226,35.624386,35.027576,61873900
2014-08-01,35.830875,38.908554,35.142574,38.525074,37.917217,56526400
2014-09-01,38.692230,41.268436,37.472961,38.180923,37.578499,68071900
2014-10-01,38.171093,43.510326,36.873158,42.359882,41.691521,87436800
2014-11-01,42.635201,47.197639,41.750244,46.450344,45.765968,61761800
2014-12-01,46.460178,46.460178,40.609634,44.060963,43.411785,65758400
2015-01-01,44.237953,47.708946,40.560471,44.159290,43.508671,110798800
2015-02-01,44.257622,50.648968,43.156342,49.370697,48.687408,63214500
2015-03-01,49.370697,51.297935,47.266472,50.943954,50.238903,71822000
2015-04-01,51.012783,52.772861,44.739429,45.034416,44.411160,69948000
2015-05-01,44.955753,49.301868,44.011799,45.850540,45.253868,56763200
2015-06-01,46.086529,51.622417,45.014748,50.186825,49.533718,67145600
2015-07-01,50.727631,53.058014,49.223206,52.153393,51.474705,60435500
2015-08-01,52.114059,55.103245,45.998032,50.049164,49.437138,61738600
2015-09-01,49.085545,53.323502,45.457226,47.325466,46.746742,65929000
2015-10-01,47.286137,51.622417,46.479843,49.233040,48.630989,53865900
2015-11-01,49.193707,51.307770,46.479843,50.353981,49.778351,44801400
2015-12-01,50.560471,51.612587,45.919373,48.092430,47.542641,66662100
2016-01-01,47.345131,47.482792,38.348083,41.445427,40.971630,75747600
2016-02-01,41.130775,42.104229,36.519173,41.238937,40.808392,54881200
2016-03-01,41.661751,47.895771,41.661751,47.551624,47.055176,54483900
2016-04-01,47.079647,48.141594,43.647984,44.552605,44.087463,42483600
2016-05-01,44.818092,45.545723,42.212391,44.808258,44.378593,45141000
2016-06-01,44.808258,47.374630,42.389381,45.329399,44.894741,61684200
2016-07-01,45.231071,48.770893,44.631268,46.017700,45.576443,43704100
2016-08-01,45.929203,47.630283,44.473942,46.509342,46.103836,42039700
2016-09-01,46.578171,46.804325,41.317600,41.632252,41.269260,57768200
2016-10-01,41.386429,41.937069,39.606686,40.993118,40.635712,49247200
2016-11-01,41.002949,43.706982,39.016716,41.828907,41.504089,51072600
2016-12-01,41.887905,45.486725,41.130775,42.212391,41.884586,64567100
2017-01-01,42.674534,46.794495,41.524090,43.903637,43.562706,50772500
2017-02-01,43.992134,48.180923,43.303833,47.974434,47.643688,43129200
2017-03-01,48.328419,52.890854,48.269421,50.334316,49.987305,69270200
2017-04-01,50.393314,52.114059,49.056046,49.655849,49.313511,43224100
2017-05-01,49.882008,52.428711,48.515240,50.452312,50.144394,36477500
2017-06-01,50.501476,54.818092,50.147491,52.428711,52.108727,50410200
2017-07-01,52.340218,53.697147,50.678467,51.563423,51.248722,38844400
2017-08-01,51.681416,53.942970,49.587021,50.894787,50.621887,29337900
2017-09-01,51.042282,52.664700,48.692230,51.917404,51.639015,44451700
2017-10-01,52.182892,57.974434,51.622417,54.739429,54.445908,75586200
2017-11-01,55.152409,63.150002,53.529991,62.779999,62.488785,87823700
2017-12-01,62.840000,64.419998,60.669998,63.240002,62.946655,59003700
2018-01-01,63.930000,72.169998,62.450001,62.660000,62.369339,96368200
2018-02-01,62.200001,63.520000,55.939999,56.580002,56.349358,128132800
2018-03-01,56.840000,61.520000,55.919998,58.939999,58.699734,75777000
2018-04-01,58.709999,64.900002,52.849998,52.889999,52.674393,116530500
2018-05-01,52.810001,55.130001,50.000000,51.740002,51.566963,74374700
2018-06-01,52.000000,54.820000,48.709999,52.500000,52.324417,95961700
2018-07-01,52.000000,55.770000,50.540001,52.270000,52.095192,70574900
2018-08-01,52.439999,53.980000,49.740002,51.669998,51.535122,58426300
2018-09-01,51.630001,53.299999,46.599998,46.689999,46.568119,72054200
2018-10-01,47.000000,48.000000,38.790001,42.980000,42.867805,151951100
2018-11-01,43.049999,44.730000,38.230000,42.730000,42.658070,93685300
2018-12-01,43.450001,43.849998,37.290001,39.150002,39.084095,80782000
2019-01-01,38.560001,47.959999,38.430000,47.419998,47.340176,99324600
2019-02-01,47.320000,50.500000,45.459999,47.980000,47.943157,62489500
2019-03-01,48.340000,53.279999,44.840000,49.090000,49.052303,90717900
