Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,87.209999,92.370003,85.580002,91.389999,91.389999,14130100
2012-02-01,92.190002,93.300003,86.900002,89.889999,89.889999,18276200
2012-03-01,89.919998,92.139999,87.910004,91.540001,91.540001,18441600
2012-04-01,91.650002,94.330002,86.410004,87.889999,87.889999,17931700
2012-05-01,87.620003,89.309998,83.230003,83.279999,83.279999,15183800
2012-06-01,82.459999,94.150002,81.559998,92.610001,92.610001,18007400
2012-07-01,93.599998,95.300003,83.500000,84.089996,84.089996,21664500
2012-08-01,87.260002,89.489998,85.470001,87.949997,87.949997,18507600
2012-09-01,87.680000,92.610001,86.879997,92.470001,92.470001,10838200
2012-10-01,92.760002,94.300003,84.360001,84.730003,84.730003,16134600
2012-11-01,85.010002,87.320000,82.150002,84.589996,84.589996,15827100
2012-12-01,84.589996,88.940002,82.980003,86.620003,86.620003,12563600
2013-01-01,87.440002,90.709999,85.800003,89.500000,89.500000,22716000
2013-02-01,90.040001,91.839996,87.730003,88.599998,88.599998,15819800
2013-03-01,88.330002,90.889999,87.650002,90.199997,90.199997,14477200
2013-04-01,89.790001,95.919998,89.680000,93.360001,93.360001,20655400
2013-05-01,93.180000,101.690002,91.250000,99.489998,99.489998,18950600
2013-06-01,99.800003,101.489998,97.739998,100.099998,100.099998,13101800
2013-07-01,100.330002,101.029999,95.360001,96.739998,96.739998,18716700
2013-08-01,97.260002,99.160004,95.500000,95.720001,95.720001,11053200
2013-09-01,96.139999,101.919998,95.629997,99.139999,99.139999,11114900
2013-10-01,99.230003,104.370003,98.349998,100.900002,100.900002,16463700
2013-11-01,100.919998,108.000000,100.150002,101.849998,101.849998,13722400
2013-12-01,101.580002,101.610001,87.010002,91.370003,91.370003,28748500
2014-01-01,91.370003,93.489998,88.589996,89.830002,89.830002,21423300
2014-02-01,90.000000,94.699997,87.250000,93.540001,93.540001,22066200
2014-03-01,93.080002,102.000000,92.500000,98.209999,98.209999,25151000
2014-04-01,100.160004,102.970001,95.120003,98.699997,98.699997,24831300
2014-05-01,98.639999,102.910004,97.309998,102.580002,102.580002,15795000
2014-06-01,102.720001,105.379997,99.370003,102.400002,102.400002,17944700
2014-07-01,103.150002,107.419998,101.639999,103.690002,103.690002,15819000
2014-08-01,103.330002,107.669998,101.839996,107.230003,107.230003,10264400
2014-09-01,107.250000,108.769997,101.550003,101.750000,101.750000,9974200
2014-10-01,101.879997,109.470001,95.610001,109.290001,109.290001,16727400
2014-11-01,104.790001,105.139999,98.540001,104.639999,104.639999,35944000
2014-12-01,104.639999,109.839996,99.889999,107.900002,107.900002,29074300
2015-01-01,109.690002,119.209999,108.730003,114.779999,114.779999,31606700
2015-02-01,113.320000,124.570000,112.750000,123.029999,123.029999,29377900
2015-03-01,123.029999,131.190002,120.089996,126.089996,126.089996,20499500
2015-04-01,125.879997,129.330002,118.730003,119.559998,119.559998,20363100
2015-05-01,119.699997,125.449997,116.000000,117.949997,117.949997,26184800
