Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,64.928726,68.145393,63.901310,67.924545,57.099396,15771400
2012-02-01,68.241417,68.404648,66.647484,67.454048,56.703888,13176900
2012-03-01,67.982162,69.288033,64.631065,67.953354,57.550243,16740400
2012-04-01,67.482857,71.813354,64.429420,70.613106,59.802811,16671600
2012-05-01,70.699524,71.237236,63.814892,65.476036,55.452198,16505300
2012-06-01,64.736687,71.102814,64.170166,71.064400,60.633827,14404800
2012-07-01,71.131615,71.760002,67.010002,70.889999,60.485027,15160100
2012-08-01,71.160004,71.160004,68.000000,70.239998,59.930439,12416700
2012-09-01,70.120003,73.610001,68.839996,71.709999,61.629395,9168800
2012-10-01,71.959999,75.000000,71.730003,73.800003,64.270805,9014900
2012-11-01,73.940002,77.699997,71.910004,76.849998,66.926987,15681300
2012-12-01,77.050003,77.910004,74.629997,76.620003,67.188965,14587500
2013-01-01,78.110001,79.800003,75.790001,75.919998,66.575119,14105900
2013-02-01,76.389999,78.599998,74.279999,76.269997,66.882034,16049000
2013-03-01,76.139999,81.599998,75.209999,80.919998,71.477692,11457100
2013-04-01,80.919998,83.989998,79.629997,81.250000,71.769203,14454800
2013-05-01,80.980003,87.959999,80.809998,85.089996,75.161095,11052700
2013-06-01,85.290001,87.379997,82.599998,85.739998,76.232826,9339800
2013-07-01,86.580002,93.910004,84.500000,93.150002,82.821159,13616500
2013-08-01,94.000000,94.320000,90.070000,90.330002,80.313850,10326600
2013-09-01,91.000000,96.709999,90.160004,94.500000,84.523521,8502700
2013-10-01,94.500000,100.889999,91.480003,100.449997,89.845352,12995300
2013-11-01,100.589996,103.870003,100.099998,103.459999,92.537598,10531300
2013-12-01,103.459999,108.690002,100.580002,106.860001,96.097473,11794600
2014-01-01,106.070000,111.589996,102.839996,111.070000,99.883446,13704600
2014-02-01,110.250000,117.470001,106.669998,115.400002,103.777374,17987500
2014-03-01,114.889999,118.800003,113.779999,118.150002,106.812668,18153300
2014-04-01,118.500000,120.669998,113.389999,115.370003,104.299423,16649000
2014-05-01,115.000000,121.430000,113.010002,121.169998,109.542870,25963300
2014-06-01,121.089996,127.269997,120.519997,120.750000,109.721329,17351600
2014-07-01,120.889999,123.059998,99.330002,104.959999,95.373489,15420500
2014-08-01,104.959999,110.620003,101.190002,109.949997,99.907738,20666100
2014-09-01,110.199997,119.529999,109.620003,118.919998,109.297821,19483500
2014-10-01,118.400002,122.879997,105.139999,121.459999,111.632309,32443000
2014-11-01,121.300003,125.519997,116.900002,124.599998,114.518242,17124500
2014-12-01,124.300003,129.259995,119.500000,126.209999,116.594772,18268300
2015-01-01,126.989998,129.479996,120.550003,123.120003,113.740189,15897100
2015-02-01,123.339996,132.919998,121.709999,129.429993,119.569443,10919800
2015-03-01,129.320007,131.279999,123.400002,125.790001,116.785896,12940900
2015-04-01,124.919998,127.339996,113.739998,114.910004,106.684700,9715700
2015-05-01,115.000000,122.139999,112.720001,117.809998,109.377098,12536000
2015-06-01,117.900002,119.139999,113.010002,113.379997,105.845184,10786900
