Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,22.275000,22.285000,20.930000,21.195000,13.674407,27191800
2012-02-01,21.260000,22.000000,21.004999,21.320000,14.047574,22026400
2012-03-01,21.309999,21.879999,21.049999,21.660000,14.271600,24046600
2012-04-01,21.555000,22.690001,21.000000,22.620001,14.904140,32094000
2012-05-01,22.655001,22.834999,21.500000,21.844999,14.687239,34313000
2012-06-01,21.695000,23.000000,21.575001,22.785000,15.319241,19735000
2012-07-01,22.684999,23.825001,22.590000,23.355000,15.702473,15993200
2012-08-01,23.415001,23.750000,22.040001,22.040001,15.107769,19539200
2012-09-01,22.014999,22.690001,21.475000,21.695000,14.871276,17813200
2012-10-01,21.695000,22.830000,21.530001,22.350000,15.320259,16752400
2012-11-01,22.360001,22.540001,21.105000,22.410000,15.838757,22983200
2012-12-01,22.415001,22.615000,21.570000,21.955000,15.517178,15618200
2013-01-01,21.870001,23.075001,21.865000,22.920000,16.199213,20721400
2013-02-01,22.965000,24.139999,22.865000,23.844999,17.206747,18020000
2013-03-01,23.775000,25.115000,23.545000,25.090000,18.105152,16466800
2013-04-01,25.035000,26.760000,24.719999,26.754999,19.306623,20041400
2013-05-01,26.625000,26.750000,24.430000,24.629999,18.097862,19361600
2013-06-01,24.695000,25.315001,23.395000,25.209999,18.524042,16554800
2013-07-01,25.250000,27.090000,24.570000,26.485001,19.460899,19110400
2013-08-01,26.670000,26.975000,24.745001,24.805000,18.551552,17382400
2013-09-01,24.990000,25.309999,24.084999,24.775000,18.529118,25972400
2013-10-01,24.840000,26.500000,24.415001,26.110001,19.527557,22406200
2013-11-01,26.160000,26.844999,25.514999,25.750000,19.607927,20710600
2013-12-01,25.809999,26.360001,25.160000,25.799999,19.646000,19017200
2014-01-01,25.805000,26.094999,25.000000,25.980000,19.783066,21820200
2014-02-01,26.025000,27.225000,25.190001,27.120001,21.071335,17788800
2014-03-01,26.985001,28.495001,26.495001,28.405001,22.069735,20585200
2014-04-01,28.440001,29.395000,27.735001,29.240000,22.718500,26262400
2014-05-01,29.325001,30.059999,28.045000,29.150000,23.048742,20179200
2014-06-01,29.084999,30.440001,28.275000,30.430000,24.060835,17739600
2014-07-01,30.424999,30.445000,28.250000,28.250000,22.337120,22480400
2014-08-01,28.209999,29.254999,27.520000,29.245001,23.524986,23642200
2014-09-01,29.240000,29.680000,27.344999,27.705000,22.286194,27788400
2014-10-01,27.719999,31.150000,27.690001,30.955000,24.900528,26663400
2014-11-01,30.955000,31.865000,30.674999,31.434999,25.716516,19311400
2014-12-01,31.330000,34.889999,30.969999,33.209999,27.168617,24550800
2015-01-01,33.340000,35.400002,32.650002,34.305000,28.064428,12726600
2015-02-01,34.380001,34.674999,31.445000,31.799999,26.430342,12745500
2015-03-01,31.725000,31.959999,29.959999,31.500000,26.180994,18114900
2015-04-01,31.485001,32.070000,30.100000,30.235001,25.129601,15388700
2015-05-01,30.165001,31.190001,29.639999,30.650000,25.932320,11722200
2015-06-01,30.700001,30.820000,28.530001,28.860001,24.417841,16323900
2015-07-01,28.945000,31.035000,28.795000,30.754999,26.021160,12045700
2015-08-01,30.750000,31.469999,27.760000,28.334999,24.417307,18986600
2015-09-01,28.055000,29.320000,27.135000,29.245001,25.201488,16858100
2015-10-01,29.280001,30.834999,28.590000,29.510000,25.429848,21569200
2015-11-01,29.535000,30.580000,28.070000,30.094999,26.415192,23248100
2015-12-01,30.305000,32.125000,29.065001,31.225000,27.407026,25656300
2016-01-01,31.260000,32.674999,30.375000,32.669998,28.675343,15759000
2016-02-01,32.485001,35.125000,32.380001,33.974998,30.388441,22619800
2016-03-01,34.134998,37.174999,33.259998,37.139999,33.219337,14408300
2016-04-01,37.060001,37.590000,34.075001,35.259998,31.537794,15529900
2016-05-01,35.250000,37.209999,35.084999,37.049999,33.712505,19070700
2016-06-01,36.970001,40.240002,36.919998,39.700001,36.123798,76673000
2016-07-01,39.980000,40.990002,39.070000,40.250000,36.624245,31439100
2016-08-01,40.139999,40.580002,37.689999,37.950001,34.786327,35338500
2016-09-01,37.959999,40.599998,37.090000,38.310001,35.116314,25628100
2016-10-01,38.330002,38.330002,36.310001,38.049999,34.877987,28948400
2016-11-01,38.020000,38.669998,34.880001,35.919998,33.185646,32012800
2016-12-01,35.689999,38.340000,35.259998,37.889999,35.005684,17695600
2017-01-01,37.939999,38.290001,36.560001,37.650002,34.783958,19838700
2017-02-01,37.369999,39.639999,36.799999,39.480000,36.788265,23146200
2017-03-01,38.950001,40.320000,38.240002,39.610001,36.909409,30380900
2017-04-01,39.630001,40.220001,39.209999,39.320000,36.639179,23229300
2017-05-01,39.400002,41.709999,38.950001,41.470001,38.949238,38654100
2017-06-01,41.459999,42.189999,40.160000,40.169998,37.728260,23740000
2017-07-01,40.310001,41.660000,39.360001,40.529999,38.066380,17756100
2017-08-01,40.529999,43.230000,40.500000,42.740002,40.453838,23735700
2017-09-01,42.840000,43.689999,41.160000,41.570000,39.346416,21845700
2017-10-01,41.209999,43.970001,41.049999,43.259998,40.946018,29233900
2017-11-01,43.240002,45.549999,42.880001,45.110001,43.006718,30667100
2017-12-01,45.259998,45.380001,42.180000,42.610001,40.623276,25228400
2018-01-01,42.619999,42.720001,39.070000,39.750000,37.896629,38060900
2018-02-01,39.740002,39.900002,36.840000,38.650002,37.162209,41627300
2018-03-01,38.709999,41.040001,37.849998,40.860001,39.287144,41456900
2018-04-01,40.950001,43.270000,40.340000,42.950001,41.296688,35510000
