Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,28.309999,31.490000,27.730000,31.000000,23.812801,69314300
2012-02-01,30.440001,32.790001,30.320000,32.439999,24.918943,81873100
2012-03-01,32.619999,34.619999,32.189999,33.660000,26.105558,46658400
2012-04-01,33.619999,34.560001,30.549999,33.599998,26.059025,74332100
2012-05-01,33.669998,34.070000,30.580000,31.129999,24.143379,76502500
2012-06-01,30.750000,32.770000,30.150000,32.439999,25.412434,47254400
2012-07-01,32.560001,35.500000,30.740000,35.169998,27.551025,68907100
2012-08-01,35.150002,35.880001,34.150002,35.139999,27.527527,37975700
2012-09-01,35.119999,36.250000,34.580002,35.470001,28.029776,44273500
2012-10-01,35.700001,37.959999,35.070000,36.779999,29.064997,46496100
2012-11-01,37.000000,37.590000,34.849998,37.509998,29.641861,36102400
2012-12-01,37.750000,37.930000,35.549999,36.619999,29.183920,39444500
2013-01-01,37.180000,38.480000,35.470001,37.630001,29.988838,62142200
2013-02-01,37.009998,41.310001,36.750000,40.750000,32.475281,58261400
2013-03-01,40.590000,43.990002,40.180000,43.770000,35.189526,45361500
2013-04-01,43.730000,45.720001,41.910000,45.660000,36.709011,58851600
2013-05-01,45.700001,48.480000,44.660000,44.750000,35.977406,35424700
2013-06-01,44.700001,45.790001,43.779999,45.310001,36.713902,38477900
2013-07-01,45.459999,47.410000,41.900002,42.029999,34.056164,65301700
2013-08-01,42.250000,43.139999,40.040001,40.500000,32.816444,47468100
2013-09-01,41.000000,43.900002,40.400002,41.880001,34.229931,38583100
2013-10-01,41.799999,45.180000,40.000000,44.380001,36.273262,68776000
2013-11-01,44.650002,46.500000,43.790001,46.270000,37.818016,40929900
2013-12-01,46.110001,47.939999,44.240002,47.580002,39.197437,42057000
2014-01-01,47.570000,47.720001,37.189999,37.840000,31.173420,88552500
2014-02-01,37.410000,37.520000,34.980000,37.310001,30.736790,102209400
2014-03-01,37.459999,40.150002,36.840000,40.110001,33.389679,76675600
2014-04-01,40.119999,40.790001,36.799999,39.220001,32.648808,87545100
2014-05-01,39.549999,39.799999,38.040001,38.830002,32.324146,44000400
2014-06-01,38.869999,39.549999,38.279999,38.970001,32.763821,41913300
2014-07-01,38.970001,40.000000,35.090000,35.419998,29.779171,78388500
2014-08-01,35.400002,35.980000,34.400002,34.490002,28.997280,50830900
2014-09-01,34.529999,35.150002,29.959999,30.650000,26.051756,72771200
2014-10-01,30.620001,32.169998,28.670000,31.070000,26.408745,124141600
2014-11-01,31.170000,31.910000,30.650000,31.549999,26.816730,59671500
2014-12-01,31.360001,31.530001,28.900000,30.950001,26.628487,108470200
2015-01-01,31.160000,31.250000,24.879999,26.900000,23.143986,138611800
2015-02-01,27.059999,28.450001,25.160000,26.320000,22.644968,92587900
2015-03-01,26.510000,27.129999,22.440001,22.850000,19.933731,119481200
