Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,79.489998,83.279999,74.050003,82.510002,75.559593,10860900
2012-02-01,82.790001,90.570000,82.110001,85.870003,78.636566,14601500
2012-03-01,86.589996,89.839996,83.620003,85.629997,78.775833,9448500
2012-04-01,85.629997,86.089996,80.519997,82.879997,76.245964,9645100
2012-05-01,81.589996,83.550003,63.639999,67.470001,62.069427,16116700
2012-06-01,66.959999,79.540001,64.540001,78.820000,72.929962,10552100
2012-07-01,79.449997,84.300003,74.419998,75.139999,69.524963,9702600
2012-08-01,74.989998,79.269997,71.930000,76.379997,70.672287,8232500
2012-09-01,76.239998,93.709999,74.230003,82.870003,77.078766,11153400
2012-10-01,83.279999,87.339996,80.440002,82.309998,76.557877,6968600
2012-11-01,82.000000,92.269997,80.419998,90.000000,83.710472,10296100
2012-12-01,91.010002,95.930000,88.839996,94.279999,88.102013,7308200
2013-01-01,98.110001,101.860001,96.750000,98.730003,92.260445,6426100
2013-02-01,99.510002,102.930000,93.989998,97.129997,90.765266,7028100
2013-03-01,96.150002,106.570000,95.980003,102.019997,95.736153,10141300
2013-04-01,101.959999,102.720001,93.029999,100.989998,94.769600,7042700
2013-05-01,100.660004,113.650002,98.830002,109.029999,102.314392,9641600
2013-06-01,108.970001,110.849998,97.139999,98.419998,92.696777,6701200
2013-07-01,99.300003,106.980003,95.639999,99.599998,93.808136,7785400
2013-08-01,101.690002,103.750000,94.440002,96.050003,90.464600,6757100
2013-09-01,96.779999,100.500000,94.250000,98.169998,92.847000,7432100
2013-10-01,98.400002,100.570000,94.010002,98.089996,92.771332,7025700
2013-11-01,99.849998,106.480003,96.239998,96.559998,91.324295,10516900
2013-12-01,96.360001,101.290001,94.690002,99.940002,94.907654,10435900
2014-01-01,99.540001,115.000000,98.629997,109.010002,103.520943,19676400
2014-02-01,108.400002,123.690002,104.050003,121.980003,115.837868,13671500
2014-03-01,120.650002,128.949997,120.300003,128.350006,122.299774,11515100
2014-04-01,128.759995,130.000000,115.489998,124.330002,118.469269,20776300
2014-05-01,124.129997,129.139999,115.559998,122.800003,117.011398,10349600
2014-06-01,122.769997,136.360001,120.440002,132.050003,126.233749,14713000
2014-07-01,133.300003,134.639999,123.660004,124.230003,118.758202,41165900
2014-08-01,124.000000,131.839996,123.639999,130.960007,125.191734,13021000
2014-09-01,131.089996,133.020004,126.860001,128.940002,123.640900,15851200
