Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,29.959999,32.880001,29.920000,31.389999,27.218336,148031400
2012-02-01,31.629999,35.490002,31.129999,33.889999,29.386093,140486300
2012-03-01,34.029999,34.700001,31.020000,31.700001,27.628433,121632100
2012-04-01,31.610001,32.439999,28.690001,29.340000,25.571550,114161900
2012-05-01,29.520000,30.540001,23.870001,24.910000,21.710548,196124900
2012-06-01,24.250000,25.730000,23.170000,25.570000,22.431437,159195000
2012-07-01,25.559999,27.190001,23.930000,26.469999,23.220966,144495800
2012-08-01,26.790001,28.040001,25.510000,27.820000,24.405260,152032400
2012-09-01,27.750000,31.209999,27.080000,29.570000,26.101522,143584600
2012-10-01,29.709999,31.590000,28.629999,30.059999,26.534044,133872400
2012-11-01,30.059999,31.930000,29.230000,30.850000,27.231384,159802200
2012-12-01,31.040001,31.559999,29.600000,30.660000,27.213579,103153200
2013-01-01,31.430000,34.250000,31.030001,33.610001,29.831974,93868700
2013-02-01,33.889999,35.860001,32.200001,33.500000,29.734339,116161400
2013-03-01,33.299999,35.270000,32.090000,33.720001,30.074282,92270900
2013-04-01,33.820000,34.119999,29.469999,32.669998,29.137802,110613000
2013-05-01,32.299999,36.680000,31.780001,34.389999,30.671843,114826200
2013-06-01,34.610001,36.470001,33.150002,34.580002,30.994202,103504400
2013-07-01,34.709999,37.770000,34.400002,36.360001,32.589619,78093200
2013-08-01,36.759998,37.869999,32.540001,34.430000,30.859758,131161300
2013-09-01,34.860001,36.669998,34.470001,34.880001,31.437441,121812500
2013-10-01,34.950001,36.369999,33.820000,35.259998,31.779934,112353100
2013-11-01,35.340000,38.180000,34.900002,36.040001,32.482944,109867300
2013-12-01,36.020000,37.000000,34.169998,35.299999,31.981424,117005900
2014-01-01,35.250000,35.330002,32.400002,32.790001,29.707394,95105900
2014-02-01,32.779999,34.330002,31.570000,33.500000,30.350643,130919500
2014-03-01,33.380001,35.639999,32.619999,35.520000,32.365582,122413000
2014-04-01,35.720001,36.990002,34.790001,36.150002,32.939629,135729600
2014-05-01,36.230000,36.779999,35.349998,36.660000,33.404331,127259500
2014-06-01,36.750000,40.220001,36.279999,39.919998,36.568630,136644400
2014-07-01,40.049999,40.740002,38.720001,38.750000,35.496861,104391500
2014-08-01,38.700001,41.740002,37.900002,41.689999,38.190037,117474400
2014-09-01,41.700001,41.919998,37.310001,37.590000,34.620560,107320300
2014-10-01,37.590000,38.040001,31.350000,35.400002,32.603565,157652000
2014-11-01,35.560001,35.779999,28.549999,28.920000,26.635456,143424900
2014-12-01,28.520000,31.010000,24.280001,28.290001,26.225412,222836500
2015-01-01,28.059999,28.799999,24.809999,26.600000,24.658747,158042300
2015-02-01,27.059999,29.670000,26.860001,27.860001,25.826796,151513700
2015-03-01,27.860001,28.040001,25.070000,26.110001,24.382420,138185100
2015-04-01,26.299999,31.450001,26.230000,31.100000,29.042259,147632900
2015-05-01,31.110001,31.530001,26.990000,27.190001,25.390961,140555700
2015-06-01,27.230000,27.770000,25.790001,26.540001,24.973436,138372200
2015-07-01,26.590000,26.610001,20.440001,21.010000,19.769852,194611300
2015-08-01,20.700001,21.219999,14.030000,17.290001,16.269432,320199400
2015-09-01,16.719999,17.590000,14.590000,15.400000,14.668018,336769600
2015-10-01,15.790000,20.440001,15.000000,18.379999,17.506372,283047900
2015-11-01,18.170000,20.090000,16.680000,17.510000,16.677731,207569900
2015-12-01,17.570000,17.690001,12.110000,12.590000,12.026666,286188200
2016-01-01,12.560000,13.000000,7.080000,9.730000,9.294635,496444300
2016-02-01,9.380000,10.280000,6.520000,8.210000,7.842647,640109900
2016-03-01,8.210000,11.880000,7.560000,11.140000,10.717446,1066472400
2016-04-01,10.750000,15.150000,10.320000,14.090000,13.555553,539763700
2016-05-01,14.020000,14.080000,11.280000,13.070000,12.574242,415022800
2016-06-01,12.880000,15.450000,12.220000,15.010000,14.499596,445056200
2016-07-01,14.880000,15.840000,13.060000,13.640000,13.176183,344953300
2016-08-01,13.420000,16.850000,12.470000,15.020000,14.509256,407932300
2016-09-01,14.960000,16.900000,13.800000,15.810000,15.324447,385380700
2016-10-01,15.890000,16.400000,13.140000,13.180000,12.775219,287368000
2016-11-01,13.370000,18.549999,12.360000,18.059999,17.505344,448004900
2016-12-01,19.120001,19.280001,17.209999,17.309999,16.834909,294192600
2017-01-01,17.740000,18.270000,16.280001,16.750000,16.290281,179118900
2017-02-01,17.030001,17.360001,15.590000,16.000000,15.560863,249656100
2017-03-01,16.160000,16.650000,14.300000,15.800000,15.413957,338908500
2017-04-01,15.810000,16.900000,14.630000,14.870000,14.506680,251495600
2017-05-01,14.870000,15.120000,12.750000,13.020000,12.701882,302966100
2017-06-01,13.050000,13.410000,11.200000,11.850000,11.600945,343501000
2017-07-01,11.970000,12.660000,11.220000,12.230000,11.972959,298449500
2017-08-01,12.230000,13.110000,10.550000,11.120000,10.886288,330567600
2017-09-01,11.140000,13.950000,11.030000,13.560000,13.329998,267749300
2017-10-01,13.200000,14.340000,13.080000,14.220000,13.978803,227041800
2017-11-01,14.370000,16.590000,14.350000,14.840000,14.588286,307974800
2017-12-01,15.000000,17.350000,14.380000,16.930000,16.696522,233931000
2018-01-01,17.110001,19.520000,17.040001,18.190001,17.939146,231496000
2018-02-01,18.250000,18.520000,14.510000,14.520000,14.319759,300320900
2018-03-01,14.550000,16.420000,14.270000,16.129999,15.958538,251184500
2018-04-01,16.010000,18.660000,15.220000,18.250000,18.056005,285825300
2018-05-01,18.139999,22.120001,17.980000,21.430000,21.202202,289618800
2018-06-01,21.410000,21.840000,19.709999,20.860001,20.686550,269554200
2018-07-01,20.650000,22.740000,19.410000,21.120001,20.944389,227704300
2018-08-01,20.820000,22.030001,18.980000,21.510000,21.331146,233007300
2018-09-01,21.680000,23.670000,19.830000,23.280001,23.144060,186500000
2018-10-01,23.430000,24.200001,17.770000,18.990000,18.879108,295078400
2018-11-01,19.030001,19.309999,15.490000,16.690001,16.592541,298650500
2018-12-01,17.620001,17.840000,12.570000,14.340000,14.298021,296992600
2019-01-01,13.900000,16.420000,13.860000,15.790000,15.743776,232336000
2019-02-01,15.880000,17.330000,14.830000,16.600000,16.551405,266854900
2019-03-01,16.680000,17.790001,16.030001,16.709999,16.709999,238556600
