Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,15.760000,18.879999,15.430000,18.650000,16.400459,518774900
2012-02-01,19.190001,20.700001,18.200001,18.540001,16.348646,474076600
2012-03-01,18.740000,21.190001,17.240000,19.639999,17.318624,602498500
2012-04-01,19.639999,20.049999,16.629999,17.280001,15.237572,531176000
2012-05-01,17.230000,17.680000,12.810000,13.360000,11.815365,699975400
2012-06-01,12.970000,14.610000,12.260000,14.590000,12.903154,602625100
2012-07-01,14.610000,15.210000,12.290000,13.660000,12.080681,515490500
2012-08-01,13.730000,15.340000,12.980000,15.000000,13.316975,388590100
2012-09-01,15.290000,18.500000,15.130000,16.740000,14.861742,510560900
2012-10-01,16.940001,18.570000,16.730000,17.379999,15.429932,441619400
2012-11-01,17.410000,18.240000,15.950000,16.870001,15.065441,383097100
2012-12-01,17.010000,19.450001,16.350000,19.120001,17.074757,345139100
2013-01-01,20.160000,23.030001,19.320000,22.850000,20.405766,553471400
2013-02-01,23.040001,24.469999,21.780001,22.549999,20.137852,378248600
2013-03-01,22.389999,23.660000,21.780001,21.980000,19.671877,374171500
2013-04-01,21.990000,22.629999,20.160000,22.150000,19.824024,469632500
2013-05-01,22.110001,26.420000,21.540001,25.900000,23.234440,366420400
2013-06-01,26.059999,27.170000,23.920000,24.430000,21.915731,436196100
2013-07-01,24.639999,27.980000,23.830000,27.209999,24.409624,365586700
2013-08-01,27.570000,28.020000,25.250000,25.760000,23.150644,225055100
2013-09-01,26.219999,29.500000,25.950001,26.950001,24.220102,288068100
2013-10-01,26.950001,29.969999,26.410000,28.730000,25.819799,313420500
2013-11-01,28.889999,31.799999,28.690001,31.299999,28.178101,223654500
2013-12-01,31.520000,31.850000,30.040001,31.360001,28.232115,219393800
2014-01-01,31.330000,33.520000,29.280001,29.510000,26.566637,304437100
2014-02-01,29.510000,30.940001,28.780001,30.799999,27.774061,258909600
2014-03-01,30.240000,33.250000,29.930000,31.170000,28.107714,257790800
2014-04-01,31.370001,31.590000,28.309999,30.930000,27.891287,279056100
2014-05-01,30.910000,31.440001,29.020000,30.860001,27.919462,222254200
2014-06-01,30.860001,32.820000,30.400000,32.330002,29.249395,184062300
2014-07-01,32.410000,33.599998,31.200001,32.340000,29.258440,198337400
2014-08-01,32.180000,34.570000,31.120001,34.310001,31.134880,148841700
