Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,6.640000,8.060000,6.590000,7.600000,7.600000,676873200
2012-02-01,7.740000,9.160000,7.600000,8.550000,8.550000,615388000
2012-03-01,8.590000,8.980000,7.780000,8.100000,8.100000,718809100
2012-04-01,8.170000,8.250000,6.400000,6.590000,6.590000,712448200
2012-05-01,6.570000,6.970000,5.590000,5.840000,5.840000,673277100
2012-06-01,5.700000,6.320000,5.300000,6.310000,6.310000,577002400
2012-07-01,6.730000,6.930000,5.560000,6.210000,6.210000,679890700
2012-08-01,6.310000,6.980000,6.070000,6.210000,6.210000,503246400
2012-09-01,6.210000,6.800000,5.870000,5.980000,5.980000,591177700
2012-10-01,6.070000,6.100000,5.160000,5.430000,5.430000,474903000
2012-11-01,5.520000,6.090000,5.330000,5.970000,5.970000,529045700
2012-12-01,6.020000,6.900000,5.900000,6.340000,6.340000,476319100
2013-01-01,6.600000,8.080000,6.450000,7.560000,7.560000,546271700
2013-02-01,7.650000,8.500000,7.630000,8.380000,8.380000,568930700
2013-03-01,8.320000,10.270000,8.200000,9.980000,9.980000,711683500
2013-04-01,9.970000,10.220000,9.040000,9.420000,9.420000,656337500
2013-05-01,9.420000,11.990000,9.070000,11.680000,11.680000,662546000
2013-06-01,11.740000,14.530000,11.410000,14.330000,14.330000,920360200
2013-07-01,14.470000,14.600000,12.310000,13.240000,13.240000,998110800
2013-08-01,13.380000,15.070000,13.050000,13.570000,13.570000,771687100
2013-09-01,13.780000,17.950001,13.700000,17.469999,17.469999,924467300
2013-10-01,17.540001,18.850000,16.170000,17.680000,17.680000,1196947600
2013-11-01,17.750000,21.309999,17.389999,21.100000,21.100000,809010000
2013-12-01,21.100000,23.670000,20.809999,21.750000,21.750000,808447200
2014-01-01,21.680000,24.500000,20.639999,23.040001,23.040001,762444500
2014-02-01,23.000000,25.680000,22.650000,24.190001,24.190001,618266700
2014-03-01,23.860001,25.150000,21.700001,23.660000,23.660000,570749200
2014-04-01,23.840000,26.620001,21.020000,26.120001,26.120001,786192500
2014-05-01,26.209999,29.030001,25.250000,28.590000,28.590000,490841500
2014-06-01,28.610001,33.049999,28.049999,32.950001,32.950001,612433700
2014-07-01,33.240002,34.849998,29.850000,30.549999,30.549999,595653200
2014-08-01,30.879999,33.700001,29.379999,32.599998,32.599998,418369900
2014-09-01,32.430000,34.849998,29.730000,34.259998,34.259998,523512600
2014-10-01,34.250000,34.400002,26.320000,33.090000,33.090000,774234700
2014-11-01,33.189999,36.220001,31.690001,35.950001,35.950001,326389500
2014-12-01,35.980000,36.590000,32.369999,35.009998,35.009998,359420900
2015-01-01,35.240002,35.520000,28.510000,29.270000,29.270000,610045600
2015-02-01,29.250000,32.840000,28.090000,30.670000,30.670000,434426600
2015-03-01,31.080000,31.500000,25.610001,27.129999,27.129999,544654100
2015-04-01,27.129999,29.780001,26.400000,28.129999,28.129999,436295800
2015-05-01,28.309999,29.250000,26.010000,27.930000,27.930000,429768300
2015-06-01,27.959999,28.530001,18.549999,18.840000,18.840000,703875600
2015-07-01,19.049999,20.570000,17.139999,18.510000,18.510000,863792200
2015-08-01,18.610001,19.469999,13.500000,16.410000,16.410000,699056400
2015-09-01,15.800000,17.969999,13.920000,14.980000,14.980000,541386300
2015-10-01,14.990000,19.299999,14.500000,16.559999,16.559999,697155500
2015-11-01,16.959999,18.049999,14.650000,15.930000,15.930000,370952400
2015-12-01,16.180000,16.629999,13.510000,14.160000,14.160000,503509000
2016-01-01,13.830000,15.080000,9.310000,11.030000,11.030000,650993700
2016-02-01,11.000000,11.750000,9.450000,10.630000,10.630000,461446600
2016-03-01,10.770000,12.290000,10.010000,10.470000,10.470000,527818500
2016-04-01,10.280000,12.410000,10.050000,10.750000,10.750000,517951000
2016-05-01,10.800000,12.910000,9.350000,12.720000,12.720000,561747100
2016-06-01,12.610000,14.160000,11.580000,13.760000,13.760000,697480700
2016-07-01,12.580000,14.890000,11.500000,13.740000,13.740000,612699700
2016-08-01,13.810000,17.250000,13.020000,16.490000,16.490000,529876300
2016-09-01,16.610001,18.160000,16.299999,17.780001,17.780001,541893500
2016-10-01,17.990000,18.330000,16.170000,17.160000,17.160000,539021800
2016-11-01,17.200001,20.440001,16.450001,19.530001,19.530001,537889100
2016-12-01,19.700001,23.639999,18.180000,21.920000,21.920000,631585800
2017-01-01,22.070000,24.240000,21.490000,24.110001,24.110001,446792700
2017-02-01,24.430000,25.309999,22.639999,23.440001,23.440001,485701900
2017-03-01,24.160000,29.870001,24.070000,28.900000,28.900000,728136900
2017-04-01,28.950001,29.040001,26.360001,27.670000,27.670000,460534300
2017-05-01,27.850000,31.100000,26.959999,30.770000,30.770000,509074400
2017-06-01,30.750000,32.959999,29.209999,29.860001,29.860001,772196700
2017-07-01,30.090000,32.349998,27.870001,28.120001,28.120001,562390400
2017-08-01,28.219999,32.020000,26.850000,31.969999,31.969999,543420400
2017-09-01,32.130001,39.360001,31.650000,39.330002,39.330002,731278700
2017-10-01,39.599998,44.570000,38.810001,44.310001,44.310001,1305721600
2017-11-01,44.790001,49.889999,41.860001,42.389999,42.389999,694728700
2017-12-01,41.730000,46.799999,39.070000,41.119999,41.119999,1286063000
2018-01-01,41.540001,46.980000,41.189999,43.720001,43.720001,830947100
2018-02-01,43.040001,49.459999,37.520000,48.810001,48.810001,831358900
2018-03-01,48.770000,63.419998,45.950001,52.139999,52.139999,1549894000
2018-04-01,51.540001,54.270000,45.320000,45.980000,45.980000,1075226000
