Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,63.074841,70.739403,62.488728,66.708748,59.326672,79621000
2012-02-01,67.141571,79.098289,66.203789,74.418396,66.183167,93980100
2012-03-01,74.815147,76.366096,69.071236,71.659149,63.729225,86152700
2012-04-01,70.378723,73.588821,67.168617,68.313797,60.853020,74010300
2012-05-01,68.367897,69.522095,56.943192,60.189362,53.615898,128408700
2012-06-01,58.304779,63.688007,53.264202,58.106403,51.760422,109194900
2012-07-01,57.926060,67.051399,57.376015,65.193871,58.189571,85999700
2012-08-01,65.518486,71.253380,64.544632,71.055008,63.420982,72961000
2012-09-01,70.829575,81.109108,69.576195,72.236252,64.475311,71436300
2012-10-01,72.894501,74.364296,65.752930,66.456268,59.411430,67755600
2012-11-01,66.104599,66.789902,61.316502,61.587017,55.058369,86410900
2012-12-01,62.551849,62.849415,58.449055,61.632099,55.098675,100768100
2013-01-01,63.192066,67.628494,62.091976,66.853020,59.891644,69423400
2013-02-01,65.807030,65.807030,59.513073,61.433723,55.036663,113960900
2013-03-01,61.118126,64.301170,59.116322,63.796211,57.153145,88245900
2013-04-01,63.805229,64.102798,56.880074,58.809738,52.798462,95027900
2013-05-01,58.322815,64.833183,57.033363,63.390442,56.910957,100672200
2013-06-01,63.624886,64.923355,59.522091,62.128044,55.777588,72641800
2013-07-01,62.605949,67.060417,61.379620,63.273220,57.043503,79151900
2013-08-01,63.922451,67.511269,63.462578,66.997292,60.400913,67183800
2013-09-01,67.709648,72.380524,67.709648,70.432823,63.498188,62877600
2013-10-01,70.333633,74.905319,69.846710,73.201080,66.236786,73352900
2013-11-01,73.219116,76.384132,71.956718,73.489632,66.497894,56641800
2013-12-01,73.706039,74.535614,69.071236,71.713257,64.890518,63728100
2014-01-01,71.596031,72.425606,65.527504,67.637512,61.416874,95435000
2014-02-01,67.799820,69.792603,65.915237,69.467987,63.079002,99122100
2014-03-01,69.053200,71.343552,65.915237,70.216408,63.758583,91341200
2014-04-01,70.171326,75.581604,69.377815,70.811539,64.537308,95078400
2014-05-01,70.892693,75.040581,70.559059,73.823265,67.282181,69790500
2014-06-01,74.699997,82.750000,73.790001,82.349998,75.053406,70980600
2014-07-01,82.660004,86.410004,80.900002,81.040001,74.295059,68442100
2014-08-01,80.529999,86.459999,80.300003,86.430000,79.236465,53795400
2014-09-01,86.500000,86.550003,75.230003,76.099998,69.766220,74794000
2014-10-01,76.199997,76.730003,67.250000,72.639999,66.971031,114324800
2014-11-01,71.970001,74.650002,65.610001,67.040001,61.808067,88686700
2014-12-01,66.089996,67.919998,60.880001,65.529999,60.415905,110825200
2015-01-01,64.970001,66.019997,52.139999,54.430000,50.531197,127687000
2015-02-01,55.160000,57.660000,49.250000,54.349998,50.456917,154977300
2015-03-01,54.349998,56.169998,46.080002,49.990002,46.409237,154491300
2015-04-01,50.189999,56.639999,49.599998,54.410000,50.975311,126642100
2015-05-01,54.349998,56.130001,49.080002,49.189999,46.084827,93185500
2015-06-01,49.160000,50.700001,47.470001,48.279999,45.232269,94532200
2015-07-01,48.259998,48.470001,40.299999,42.130001,39.853222,122715800
2015-08-01,41.740002,42.549999,34.540001,42.330002,40.042412,155940000
2015-09-01,40.770000,42.480000,36.320000,37.650002,35.615330,120092800
2015-10-01,38.299999,42.619999,34.560001,37.639999,36.013695,132544400
2015-11-01,37.279999,40.240002,36.580002,37.340000,35.726658,73533000
2015-12-01,37.389999,38.040001,32.889999,33.490002,32.043007,129721500
2016-01-01,33.509998,34.610001,28.510000,32.540001,31.518425,134995500
2016-02-01,31.930000,32.349998,25.740000,29.270000,28.351086,156190400
2016-03-01,29.639999,35.200001,28.870001,31.100000,30.123634,158857200
