Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.430000,27.690001,24.209999,27.309999,21.897285,46208200
2012-02-01,27.650000,28.320000,26.090000,27.660000,22.177917,52405200
2012-03-01,27.690001,29.840000,26.260000,29.510000,23.661253,46650200
2012-04-01,29.469999,29.959999,26.010000,27.670000,22.336346,40590800
2012-05-01,27.660000,28.219999,23.290001,24.559999,19.825827,61351000
2012-06-01,23.930000,26.240000,23.090000,26.230000,21.330063,51251900
2012-07-01,26.510000,26.690001,24.260000,25.590000,20.809612,41713300
2012-08-01,25.660000,27.740000,24.709999,27.440001,22.314026,40023700
2012-09-01,27.340000,29.200001,26.530001,26.940001,21.907427,39791600
2012-10-01,27.059999,28.709999,26.830000,27.540001,22.568056,39837500
2012-11-01,27.629999,28.600000,25.830000,27.150000,22.248465,33059500
2012-12-01,27.280001,28.709999,27.160000,28.520000,23.371132,32422700
2013-01-01,29.080000,31.110001,28.750000,31.010000,25.604460,35149000
2013-02-01,31.410000,32.290001,30.129999,31.610001,26.099867,41993100
2013-03-01,31.400000,34.580002,31.049999,34.029999,28.098026,28975100
2013-04-01,33.980000,36.369999,32.590000,36.099998,30.019117,33574800
2013-05-01,36.110001,38.750000,35.509998,37.849998,31.474325,26917400
2013-06-01,37.990002,39.049999,35.650002,37.450001,31.330599,31909700
2013-07-01,37.740002,43.820000,36.750000,43.360001,36.274899,35810300
2013-08-01,43.820000,44.939999,40.290001,40.919998,34.233593,26214600
2013-09-01,41.220001,44.230000,41.049999,42.820000,35.823132,25365000
2013-10-01,42.990002,48.169998,41.450001,47.459999,39.958824,27997600
2013-11-01,47.480000,50.970001,46.939999,50.630001,42.627811,23035400
2013-12-01,50.860001,50.910000,47.279999,49.310001,41.516434,28571500
2014-01-01,48.959999,49.840000,43.209999,43.570000,36.877434,28249700
2014-02-01,43.619999,46.049999,41.200001,45.349998,38.384022,25710300
2014-03-01,44.779999,47.740002,44.400002,45.990002,38.925720,30320000
2014-04-01,46.340000,47.840000,42.900002,46.840000,39.885628,33160400
2014-05-01,46.720001,47.869999,44.660000,46.770000,39.826035,23256900
2014-06-01,46.869999,50.740002,46.570000,50.480000,42.985191,22161000
2014-07-01,50.500000,52.509998,49.680000,49.680000,42.586769,23164200
2014-08-01,49.480000,54.540001,48.820000,54.290001,46.538555,22742300
2014-09-01,54.590000,55.070000,52.459999,52.470001,44.978420,19733600
2014-10-01,52.389999,52.849998,46.490002,52.369999,45.173889,37932400
2014-11-01,52.230000,54.310001,51.689999,53.270000,45.950226,18270400
2014-12-01,52.830002,54.189999,48.950001,51.939999,44.802979,27802100
2015-01-01,52.419998,52.500000,46.009998,46.930000,40.741287,28503200
2015-02-01,47.240002,52.220001,46.599998,51.169998,44.422153,23085700
2015-03-01,51.169998,52.560001,49.290001,51.369999,44.595776,32157200
2015-04-01,51.279999,52.419998,49.810001,51.119999,44.697506,29246400
2015-05-01,51.570000,53.279999,50.930000,51.689999,45.195889,21526500
2015-06-01,51.880001,53.419998,50.660000,51.290001,44.846146,29010200
2015-07-01,51.730000,55.830002,49.889999,55.509998,48.885406,28864300
2015-08-01,55.470001,58.020000,48.250000,51.419998,45.283504,39456000
2015-09-01,49.570000,50.000000,41.669998,47.340000,41.690418,32789300
2015-10-01,47.500000,51.220001,45.910000,50.160000,44.524029,24917300
2015-11-01,50.369999,52.209999,48.419998,51.459999,45.677956,20162900
2015-12-01,51.770000,52.180000,43.639999,44.980000,39.926056,36815300
2016-01-01,43.810001,44.299999,35.220001,38.000000,33.982738,42478100
2016-02-01,37.849998,38.980000,33.090000,37.810001,33.812824,53506300
2016-03-01,38.209999,41.680000,37.689999,39.450001,35.279449,36391800
2016-04-01,39.200001,44.340000,38.380001,42.680000,38.539021,35071800
2016-05-01,43.000000,44.900002,41.049999,44.560001,40.236614,32578300
2016-06-01,43.970001,44.820000,38.029999,41.110001,37.121346,37245200
2016-07-01,40.810001,47.150002,38.840000,46.630001,42.480507,25997300
2016-08-01,46.730000,49.500000,45.110001,49.070000,44.703381,37113000
2016-09-01,49.220001,51.720001,47.560001,51.509998,47.318188,31374700
2016-10-01,51.259998,56.320000,50.959999,54.599998,50.156731,32797600
2016-11-01,54.980000,58.849998,52.669998,57.689999,52.995266,41690200
2016-12-01,57.750000,61.340000,57.389999,57.860001,53.151432,31608900
2017-01-01,58.610001,59.770000,56.340000,57.090000,52.837936,27954000
2017-02-01,57.650002,63.119999,56.119999,62.540001,57.882011,25564000
2017-03-01,63.529999,64.650002,60.180000,63.110001,58.409557,25004900
2017-04-01,63.299999,65.559998,61.380001,65.129997,60.705803,18671400
2017-05-01,65.669998,65.669998,60.349998,62.910000,58.636612,28207200
2017-06-01,62.750000,66.120003,61.950001,64.070000,59.717812,25125200
2017-07-01,64.570000,67.730003,63.930000,66.750000,62.674042,18945400
2017-08-01,67.120003,67.239998,61.880001,62.520000,58.702343,20672800
2017-09-01,62.650002,64.750000,59.619999,64.339996,60.867764,19621700
2017-10-01,64.620003,69.199997,64.459999,65.849998,62.296268,20405400
2017-11-01,66.209999,72.230003,65.980003,70.790001,66.969681,26316300
2017-12-01,70.570000,72.040001,68.279999,70.559998,66.752083,19165000
2018-01-01,71.180000,75.580002,67.339996,67.599998,64.397575,27682800
2018-02-01,67.339996,68.889999,59.250000,62.330002,59.377243,32413400
2018-03-01,62.369999,63.580002,57.619999,60.910000,58.024509,37527900
2018-04-01,60.619999,62.070000,58.500000,59.220001,56.888718,41098100
2018-05-01,59.049999,60.369999,54.889999,55.799999,53.603355,32061900
2018-06-01,55.990002,57.860001,52.310001,52.950001,50.865547,30302400
2018-07-01,52.950001,58.830002,52.389999,58.080002,56.318432,30928800
2018-08-01,58.330002,58.540001,53.439999,55.189999,53.516083,24827600
2018-09-01,55.060001,60.150002,53.930000,58.590000,56.812962,26434700
2018-10-01,59.000000,61.119999,45.200001,47.070000,46.080757,47594500
2018-11-01,47.450001,50.450001,47.139999,49.320000,48.283470,40393600
2018-12-01,49.820000,50.029999,40.419998,44.169998,43.716885,40758200
2019-01-01,43.290001,50.299999,43.250000,50.070000,49.556362,39028400
2019-02-01,50.169998,53.480000,46.560001,52.639999,52.099998,31201300
2019-03-01,52.380001,53.240002,48.840000,50.189999,49.675129,43565700
