Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,19.809999,20.850000,19.010000,20.280001,16.077366,126845700
2012-02-01,20.430000,21.790001,20.389999,21.420000,17.322041,105397200
2012-03-01,21.440001,23.370001,21.170000,23.180000,18.745329,91971400
2012-04-01,23.139999,23.410000,20.799999,21.299999,17.224995,124528000
2012-05-01,21.290001,22.190001,21.010000,21.730000,17.572733,121002200
2012-06-01,21.400000,22.230000,20.219999,20.830000,16.844917,93263900
2012-07-01,20.670000,20.840000,19.379999,19.740000,15.963447,96378300
2012-08-01,19.860001,20.230000,19.170000,19.530001,15.793626,90411000
2012-09-01,19.549999,21.280001,19.340000,20.740000,16.772135,93946200
2012-10-01,20.830000,23.190001,20.709999,22.299999,18.033682,121584100
2012-11-01,22.420000,22.700001,21.100000,21.250000,17.184566,155231400
2012-12-01,21.400000,21.770000,20.690001,21.100000,17.855061,98701100
2013-01-01,21.450001,22.950001,21.360001,22.490000,19.031294,111926100
2013-02-01,22.620001,24.900000,22.530001,24.360001,20.872456,92275300
2013-03-01,24.290001,25.379999,24.100000,25.270000,21.652174,59819200
2013-04-01,25.330000,25.930000,24.430000,25.290001,21.669313,72142200
2013-05-01,25.260000,26.389999,24.920000,25.490000,21.840677,60149400
2013-06-01,25.520000,25.719999,23.990000,25.420000,21.780701,71161600
2013-07-01,25.480000,26.540001,25.260000,26.010000,22.286230,59205200
2013-08-01,26.049999,26.469999,24.860001,25.070000,21.480808,65615500
2013-09-01,25.309999,27.549999,25.090000,27.230000,23.331566,58505700
2013-10-01,27.280001,27.440001,25.969999,25.969999,22.251957,92464700
2013-11-01,25.980000,28.170000,25.809999,27.930000,23.931349,53235900
2013-12-01,28.490000,28.540001,25.920000,27.270000,23.365843,60497600
2014-01-01,27.290001,27.299999,23.080000,23.240000,19.912804,106552000
2014-02-01,23.100000,24.590000,22.530001,24.490000,21.409355,69344800
2014-03-01,24.320000,24.889999,23.160000,24.219999,21.173317,74520400
2014-04-01,24.320000,24.660000,23.400000,24.250000,21.199545,92200000
2014-05-01,24.250000,25.600000,24.120001,25.030001,21.881428,100247700
2014-06-01,25.059999,26.030001,24.490000,25.360001,22.169914,74679800
2014-07-01,25.440001,25.559999,23.440001,23.440001,20.491436,81663700
2014-08-01,23.600000,25.049999,23.200001,25.020000,21.872684,89865200
2014-09-01,25.420000,25.629999,24.799999,25.280001,22.099979,55373200
2014-10-01,25.309999,26.420000,24.160000,26.410000,23.087835,76396600
2014-11-01,26.410000,27.520000,26.240000,27.240000,23.813427,42094500
2014-12-01,27.160000,27.480000,25.440001,26.990000,23.594875,86447700
2015-01-01,27.090000,27.510000,25.940001,25.950001,22.685701,70711300
2015-02-01,25.459999,27.150000,25.230000,26.650000,23.297644,59796600
2015-03-01,26.629999,27.900000,25.920000,27.200001,24.424120,73591100
2015-04-01,27.090000,27.379999,26.440001,26.660000,23.939230,73237000
2015-05-01,26.750000,27.549999,26.620001,27.340000,24.549831,75184700
2015-06-01,27.430000,28.500000,26.879999,27.830000,24.989826,84722100
2015-07-01,28.780001,31.420000,27.920000,30.500000,27.387339,95239100
2015-08-01,30.490000,31.570000,27.230000,30.250000,27.162855,89224600
2015-09-01,29.320000,31.700001,29.120001,30.639999,27.513052,85370000
2015-10-01,30.719999,33.950001,30.090000,33.130001,29.748941,64536000
2015-11-01,33.270000,33.669998,30.129999,30.820000,27.674685,73706700
2015-12-01,30.700001,32.570000,30.150000,31.799999,28.554668,69637300
2016-01-01,31.400000,31.580000,29.320000,31.250000,28.060799,82483200
2016-02-01,29.969999,32.349998,29.969999,31.920000,28.662424,91796900
2016-03-01,32.160000,35.270000,32.049999,35.139999,32.476879,82897600
2016-04-01,35.119999,35.540001,32.259998,32.599998,30.129374,68977600
2016-05-01,32.630001,33.810001,31.990000,33.299999,30.776323,76559500
2016-06-01,33.220001,33.500000,31.139999,33.500000,30.961168,61819800
2016-07-01,33.480000,33.860001,32.470001,32.509998,30.046194,49741100
2016-08-01,32.509998,34.290001,32.060001,32.560001,30.092409,53136100
2016-09-01,32.580002,32.740002,30.540001,31.500000,29.112741,66440100
2016-10-01,31.350000,33.029999,30.629999,31.510000,29.121983,59434600
2016-11-01,31.730000,33.700001,30.990000,33.299999,30.776323,60564200
2016-12-01,33.279999,35.950001,33.279999,35.500000,32.809597,67570500
2017-01-01,35.740002,38.169998,35.230000,37.439999,34.602566,54573200
2017-02-01,36.840000,39.259998,36.740002,39.180000,36.210705,51790200
2017-03-01,39.689999,40.740002,38.930000,39.180000,36.881546,71264800
2017-04-01,39.240002,40.240002,38.610001,39.720001,37.389870,56117000
2017-05-01,39.830002,42.459999,38.750000,42.430000,39.940887,63919500
2017-06-01,42.490002,45.029999,42.320000,44.090000,41.503506,70158800
2017-07-01,44.209999,47.380001,44.160000,47.130001,44.365170,59977000
2017-08-01,47.259998,49.009998,46.380001,46.480000,43.753296,67838900
2017-09-01,46.520000,48.439999,43.590000,48.419998,45.579491,93054100
2017-10-01,48.389999,49.750000,47.889999,48.650002,45.795998,65285200
2017-11-01,48.849998,53.709999,48.689999,53.180000,50.060253,58614100
2017-12-01,53.330002,57.180000,52.549999,56.320000,53.016045,52846400
2018-01-01,56.459999,58.250000,53.090000,54.099998,50.926281,84752200
2018-02-01,53.150002,59.360001,50.790001,57.580002,54.202129,77961300
2018-03-01,57.750000,62.740002,56.980000,60.930000,58.573299,62540800
2018-04-01,60.990002,62.779999,59.169998,60.290001,57.958054,64147000
2018-05-01,60.320000,63.279999,58.110001,62.090000,59.688431,68597900
2018-06-01,62.560001,64.769997,58.680000,59.150002,56.862148,77934000
2018-07-01,58.970001,60.950001,58.299999,60.009998,57.688885,75255600
2018-08-01,60.009998,67.879997,59.779999,67.529999,64.918022,72863700
2018-09-01,67.599998,71.610001,66.800003,71.040001,68.292259,47972100
2018-10-01,71.360001,72.720001,65.800003,69.699997,67.004082,81472800
2018-11-01,69.180000,73.690002,61.480000,66.290001,63.725983,83596200
2018-12-01,67.190002,67.559998,56.709999,60.330002,57.996510,74304500
2019-01-01,59.279999,67.360001,58.099998,67.290001,64.687302,71569300
2019-02-01,65.260002,73.419998,64.699997,72.900002,70.080315,69756800
2019-03-01,73.440002,73.779999,71.489998,72.089996,71.991287,63129100
