Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,6.470000,8.310000,6.370000,7.450000,6.825260,262489600
2012-02-01,7.560000,9.310000,7.460000,8.820000,8.080376,292590100
2012-03-01,8.810000,9.690000,8.090000,8.850000,8.107860,246039800
2012-04-01,8.740000,10.150000,7.650000,9.840000,9.014841,259376900
2012-05-01,9.880000,10.820000,8.210000,9.360000,8.575091,282458800
2012-06-01,8.990000,10.710000,7.630000,10.700000,9.802723,271710300
2012-07-01,10.680000,12.190000,9.960000,11.300000,10.352408,291785500
2012-08-01,11.400000,13.910000,10.820000,13.680000,12.532825,313129800
2012-09-01,13.680000,17.469999,13.420000,15.500000,14.200206,306562700
2012-10-01,15.410000,18.299999,15.200000,17.340000,15.885907,259621900
2012-11-01,17.430000,18.270000,14.550000,16.809999,15.400352,277043300
2012-12-01,16.959999,18.860001,15.810000,18.160000,16.637140,172315400
2013-01-01,18.879999,21.969999,18.320000,20.740000,19.000790,199959300
2013-02-01,20.840000,21.240000,17.980000,19.180000,17.571613,197711600
2013-03-01,19.010000,21.600000,18.600000,20.240000,18.542723,167859500
2013-04-01,20.190001,21.740000,17.459999,20.990000,19.229830,224465800
2013-05-01,20.889999,24.469999,20.440001,21.590000,19.779512,193850700
2013-06-01,21.820000,21.820000,17.750000,18.969999,17.379219,219404500
2013-07-01,19.129999,20.570000,16.110001,16.629999,15.235444,228949200
2013-08-01,16.850000,17.290001,14.230000,15.390000,14.099430,258585200
2013-09-01,15.590000,18.370001,15.140000,16.500000,15.161936,198130600
2013-10-01,16.559999,18.250000,15.280000,17.650000,16.264828,208772100
2013-11-01,17.660000,19.250000,16.480000,18.760000,17.287716,181642700
2013-12-01,18.790001,20.490000,17.650000,20.370001,18.771362,142915800
2014-01-01,20.250000,20.780001,18.209999,20.320000,18.777132,152352500
2014-02-01,20.650000,21.650000,19.200001,20.990000,19.396252,163016000
2014-03-01,20.770000,21.410000,18.389999,19.190001,17.732929,149426300
2014-04-01,19.209999,20.150000,18.090000,18.389999,17.035059,129026200
2014-05-01,18.410000,20.150000,18.010000,19.559999,18.118855,134163000
2014-06-01,19.559999,20.469999,19.170000,20.160000,18.674648,115596800
