Date,Open,High,Low,Close,Adj Close,Volume
2012-04-01,33.250000,37.450001,32.000000,34.049999,28.318165,9336400
2012-05-01,33.740002,34.099998,28.750000,30.030001,24.974876,169359200
2012-06-01,29.500000,34.910000,29.250000,33.240002,27.644522,104966400
2012-07-01,33.590000,38.360001,32.349998,37.599998,31.270578,74697400
2012-08-01,39.080002,43.450001,37.779999,42.000000,35.119225,86546900
2012-09-01,42.070000,48.220001,41.430000,46.369999,38.773293,80252000
2012-10-01,46.599998,48.400002,42.450001,47.160000,39.433865,91334600
2012-11-01,47.000000,52.529999,44.939999,52.369999,44.034138,87560000
2012-12-01,52.650002,54.320000,50.270000,53.099998,44.647942,92107200
2013-01-01,54.250000,62.910000,50.119999,60.570000,50.928925,110036100
2013-02-01,62.000000,65.379997,59.939999,62.959999,52.938511,75687100
2013-03-01,62.709999,70.519997,62.189999,69.970001,59.120625,81113100
2013-04-01,70.000000,70.199997,56.130001,60.950001,51.499245,120457300
2013-05-01,61.110001,67.889999,59.160000,66.570000,56.247814,90887800
2013-06-01,67.040001,67.089996,56.840000,58.910000,50.016201,69119400
2013-07-01,59.240002,61.970001,54.799999,61.500000,52.215183,96658500
2013-08-01,61.869999,61.910000,54.900002,57.099998,48.479465,74236700
2013-09-01,57.759998,59.320000,55.810001,57.820000,49.351765,67619600
2013-10-01,57.650002,65.639999,56.500000,64.430000,54.993671,85028400
2013-11-01,64.470001,71.000000,63.290001,69.610001,59.415020,62316800
2013-12-01,70.000000,77.290001,68.330002,77.129997,66.228043,69932200
2014-01-01,77.169998,79.000000,70.809998,73.089996,62.759079,77458400
2014-02-01,73.120003,78.889999,68.779999,74.860001,64.278877,75132900
2014-03-01,74.650002,80.389999,74.370003,77.059998,66.520241,63649300
2014-04-01,77.220001,84.849998,76.180000,83.220001,71.837692,69485500
2014-05-01,83.269997,85.419998,80.820000,84.790001,73.192970,71181800
2014-06-01,84.989998,87.050003,79.160004,80.430000,69.847252,75347200
2014-07-01,80.599998,83.410004,78.529999,81.110001,70.437782,70017400
2014-08-01,80.620003,87.150002,79.250000,87.019997,75.570160,52632400
2014-09-01,86.910004,87.980003,80.680000,81.309998,71.041702,65163600
2014-10-01,81.309998,82.000000,66.120003,78.500000,68.586555,125333800
2014-11-01,78.459999,80.320000,70.220001,73.019997,63.798611,90574900
2014-12-01,73.000000,75.260002,64.019997,71.699997,63.073547,102659600
2015-01-01,71.610001,72.449997,57.330002,70.320000,61.859585,116776900
2015-02-01,71.309998,80.589996,70.070000,78.459999,69.020248,76203500
2015-03-01,78.459999,80.080002,73.540001,78.599998,69.612556,69624900
2015-04-01,79.070000,81.989998,76.430000,79.309998,70.241364,62116900
2015-05-01,79.410004,82.190002,77.980003,79.120003,70.073097,55076200
2015-06-01,79.550003,81.360001,76.730003,80.559998,71.846573,72876700
2015-07-01,80.639999,84.389999,75.440002,79.500000,70.901222,86227800
2015-08-01,78.669998,84.849998,69.790001,79.070000,70.517715,94880100
2015-09-01,78.129997,82.750000,73.930000,76.839996,68.987083,94563600
2015-10-01,77.629997,90.820000,76.449997,89.050003,79.949265,70082300
2015-11-01,88.389999,94.120003,87.919998,91.529999,82.175804,55833400
2015-12-01,92.330002,93.000000,79.470001,81.800003,73.889931,70449200
2016-01-01,81.209999,81.889999,74.320000,80.150002,72.399483,92656000
2016-02-01,79.680000,81.750000,71.739998,79.389999,71.712959,93322100
2016-03-01,80.010002,90.870003,79.699997,86.589996,78.802841,63960900
2016-04-01,85.599998,89.309998,81.150002,82.110001,74.725739,52681700
2016-05-01,82.440002,82.500000,76.680000,80.360001,73.133110,64800000
2016-06-01,79.900002,82.419998,76.400002,79.339996,72.790207,63453500
2016-07-01,79.070000,79.910004,73.669998,76.059998,69.780983,66457300
2016-08-01,75.300003,79.790001,74.019997,78.449997,71.973686,59699900
2016-09-01,78.930000,81.309998,76.760002,80.550003,74.497528,60266700
2016-10-01,80.419998,81.989998,78.059998,81.150002,75.052429,40668800
2016-11-01,82.349998,85.629997,77.660004,83.080002,76.837418,55807500
2016-12-01,83.919998,88.870003,83.599998,86.410004,80.525787,39870700
2017-01-01,87.309998,88.260002,81.150002,81.620003,76.061966,46156100
2017-02-01,82.110001,82.320000,77.690002,78.190002,72.865547,50951800
2017-03-01,78.910004,80.279999,76.279999,79.220001,74.410789,62028700
2017-04-01,79.089996,80.940002,75.139999,79.559998,74.730148,47890100
2017-05-01,79.519997,80.680000,76.000000,76.110001,71.489594,45994400
2017-06-01,76.379997,83.110001,75.849998,82.690002,78.354721,52384500
2017-07-01,82.970001,84.930000,81.110001,83.750000,79.359146,36290800
2017-08-01,84.040001,87.300003,80.730003,83.809998,79.416008,47740000
2017-09-01,83.870003,92.190002,82.660004,91.610001,87.539352,42141400
2017-10-01,91.360001,95.000000,89.260002,91.080002,87.032890,42553200
2017-11-01,91.029999,97.690002,90.919998,97.559998,93.224953,35832500
2017-12-01,97.980003,102.430000,95.349998,101.150002,97.391907,34570700
2018-01-01,101.660004,107.470001,101.070000,102.400002,98.595467,37725800
2018-02-01,102.330002,102.989998,89.139999,90.370003,87.012428,55438000
2018-03-01,90.540001,97.290001,89.500000,95.919998,93.058388,42212800
2018-04-01,95.830002,113.320000,92.680000,111.309998,107.989258,47371800
2018-05-01,111.669998,122.379997,110.330002,116.489998,113.014725,62161800
2018-06-01,117.389999,120.800003,109.720001,112.309998,109.679405,50411400
2018-07-01,111.750000,123.879997,109.070000,123.339996,120.451050,46353800
2018-08-01,122.550003,123.970001,114.400002,118.510002,115.734192,53687500
2018-09-01,118.610001,120.239998,108.849998,112.720001,110.847977,56047000
2018-10-01,113.250000,119.139999,95.050003,102.820000,101.112396,69415100
2018-11-01,102.639999,103.570000,88.989998,93.519997,91.966843,59640600
2018-12-01,93.830002,95.949997,78.440002,86.150002,85.429459,64970200
2019-01-01,85.320000,96.599998,85.000000,95.410004,94.612007,60074000
2019-02-01,95.570000,98.839996,91.360001,96.360001,95.554062,53604900
2019-03-01,96.820000,100.410004,93.839996,95.169998,95.169998,53218800
