Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,72.209999,78.370003,70.389999,77.190002,76.420631,19142000
2012-02-01,77.750000,85.070000,76.150002,85.010002,84.162674,12804100
2012-03-01,85.480003,92.400002,82.500000,89.330002,88.439590,19382800
2012-04-01,90.250000,92.809998,85.309998,88.800003,87.952667,16835700
2012-05-01,88.769997,93.059998,72.470001,81.000000,80.227097,38637100
2012-06-01,79.610001,82.239998,73.919998,77.790001,77.084076,23607100
2012-07-01,78.110001,82.470001,73.260002,79.430000,78.709213,16853900
2012-08-01,80.000000,94.739998,74.910004,93.900002,93.047890,20797200
2012-09-01,93.730003,95.980003,90.150002,93.720001,92.909508,16228600
2012-10-01,94.089996,112.470001,90.360001,109.989998,109.038780,17439800
2012-11-01,109.690002,117.220001,106.000000,114.589996,113.598991,25108500
2012-12-01,114.900002,115.769997,107.110001,111.010002,110.088081,17988100
2013-01-01,113.300003,121.260002,109.769997,118.870003,117.882820,16187300
2013-02-01,118.959999,124.529999,114.919998,121.849998,120.838074,38774900
2013-03-01,121.489998,125.500000,106.610001,106.809998,105.922958,24323700
2013-04-01,106.540001,116.500000,102.720001,115.410004,114.489632,23823100
2013-05-01,115.459999,120.580002,113.449997,115.190002,114.271385,13245700
2013-06-01,115.309998,126.989998,107.089996,125.050003,124.091438,20272700
2013-07-01,126.650002,133.740005,124.089996,131.789993,130.779785,13201600
2013-08-01,133.509995,134.979996,125.620003,128.750000,127.763077,11951000
2013-09-01,130.410004,132.289993,116.639999,118.690002,117.814079,23201100
2013-10-01,118.360001,127.160004,114.519997,124.570000,123.650673,23855200
2013-11-01,124.839996,135.429993,124.029999,133.919998,132.931625,10836500
2013-12-01,133.669998,136.320007,125.720001,136.020004,135.054245,18980700
2014-01-01,135.759995,138.940002,119.699997,120.870003,120.011803,19840500
2014-02-01,120.639999,127.050003,114.790001,126.430000,125.532318,21874000
2014-03-01,125.220001,127.250000,114.099998,124.769997,123.922440,31438500
2014-04-01,126.169998,127.169998,120.050003,125.570000,124.717003,21311700
2014-05-01,125.470001,133.889999,124.949997,131.630005,130.735840,16482500
2014-06-01,131.750000,132.339996,113.989998,116.599998,115.841217,29002400
