Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.750000,30.799999,24.410000,29.030001,25.534395,23010400
2012-02-01,29.030001,29.959999,28.670000,29.299999,25.771883,15589300
2012-03-01,29.660000,32.130001,28.940001,30.910000,27.188011,18689000
2012-04-01,31.090000,34.500000,29.700001,34.009998,29.914734,19079800
2012-05-01,33.639999,35.130001,30.600000,30.980000,27.249592,27060000
2012-06-01,30.440001,32.880001,29.820000,31.200001,27.443092,21227000
2012-07-01,31.090000,32.480000,30.389999,31.559999,27.759747,13313900
2012-08-01,31.870001,37.849998,30.980000,37.570000,33.046062,21096500
2012-09-01,37.779999,40.680000,37.740002,40.470001,35.596863,17672600
2012-10-01,40.639999,42.299999,38.290001,39.939999,35.283730,27675100
2012-11-01,40.029999,41.840000,38.080002,41.090000,36.299679,33426200
2012-12-01,41.240002,42.939999,40.549999,41.570000,36.884571,13156300
2013-01-01,42.450001,48.470001,42.150002,43.799999,38.863220,23769200
2013-02-01,44.660000,45.169998,41.980000,44.490002,39.475449,19747800
2013-03-01,44.110001,46.400002,42.910000,46.360001,41.295918,21410000
2013-04-01,46.669998,48.029999,43.900002,48.020000,42.774593,24508900
2013-05-01,48.000000,51.400002,47.270000,48.000000,42.756767,18984300
2013-06-01,47.959999,48.630001,44.889999,45.130001,40.337982,23534400
2013-07-01,45.189999,47.889999,43.189999,47.650002,42.590397,23336100
2013-08-01,48.500000,51.000000,47.000000,47.240002,42.223942,23272700
2013-09-01,47.730000,54.389999,47.119999,52.820000,47.454887,17770100
2013-10-01,53.029999,57.340000,48.720001,51.740002,46.484589,36511200
2013-11-01,51.570000,51.689999,48.150002,48.810001,43.852196,18552900
2013-12-01,48.810001,49.410000,45.139999,47.080002,42.504250,25872000
2014-01-01,47.009998,48.330002,43.020000,43.610001,39.371506,26793800
2014-02-01,43.369999,46.750000,41.520000,44.020000,39.741657,27133200
2014-03-01,42.770000,45.450001,42.189999,44.689999,40.567154,17422400
2014-04-01,44.689999,50.509998,44.259998,49.849998,45.251125,26699700
2014-05-01,49.799999,51.540001,48.889999,50.060001,45.441757,15647800
2014-06-01,50.070000,53.919998,49.419998,50.630001,46.189697,13595900
2014-07-01,50.110001,51.830002,48.549999,51.740002,47.202347,18758200
2014-08-01,46.490002,53.500000,46.490002,53.049999,48.397469,19432700
2014-09-01,53.000000,53.660000,49.080002,49.270000,45.193924,14884700
2014-10-01,49.110001,53.500000,45.740002,52.220001,47.899872,33831200
