Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,49.110001,50.700001,47.500000,47.990002,40.101746,44203200
2012-02-01,48.340000,51.200001,48.330002,50.520000,42.215878,45242000
2012-03-01,50.259998,53.000000,50.200001,52.779999,44.104389,53741300
2012-04-01,52.360001,54.689999,51.080002,54.139999,45.240849,51250100
2012-05-01,54.000000,54.580002,49.419998,50.320000,42.450905,51366900
2012-06-01,49.560001,56.700001,49.029999,56.590000,47.740398,44276900
2012-07-01,56.090000,56.919998,54.250000,55.480000,46.803982,34842200
2012-08-01,55.720001,56.830002,53.970001,56.520000,48.106388,34264300
2012-09-01,56.520000,58.680000,56.000000,57.160000,48.651123,30821900
2012-10-01,55.450001,57.090000,53.599998,56.560001,48.140430,41792700
2012-11-01,56.630001,57.959999,53.680000,57.130001,49.054680,41468000
2012-12-01,57.290001,59.340000,56.070000,57.560001,49.423904,28994500
2013-01-01,58.520000,59.080002,52.639999,52.680000,45.628395,43724500
2013-02-01,52.790001,55.360001,52.240002,54.570000,47.265408,41557500
2013-03-01,54.299999,58.849998,53.759998,58.790001,50.920528,46789300
2013-04-01,58.320000,61.680000,55.849998,61.380001,53.163837,37608900
2013-05-01,61.250000,68.620003,61.240002,66.639999,58.264835,34346400
2013-06-01,66.300003,68.489998,65.029999,66.120003,57.810173,35817300
2013-07-01,66.000000,72.339996,64.480003,71.839996,62.811291,41735700
2013-08-01,72.339996,77.930000,72.199997,75.410004,66.485680,49147200
2013-09-01,76.360001,81.260002,74.699997,77.070000,67.949203,29236700
2013-10-01,77.169998,83.099998,73.809998,82.370003,73.132843,44413400
2013-11-01,82.459999,89.559998,82.459999,88.680000,78.735222,29608900
2013-12-01,88.629997,91.389999,85.209999,90.699997,80.528679,33603500
2014-01-01,90.160004,95.500000,87.639999,95.070000,84.922745,45893600
2014-02-01,95.190002,99.480003,89.470001,97.910004,87.459625,44549500
2014-03-01,96.900002,102.150002,96.040001,98.790001,88.245682,40628500
2014-04-01,99.449997,102.330002,94.500000,95.480003,85.815285,40570500
2014-05-01,95.360001,99.690002,94.620003,97.570000,87.693718,33306300
2014-06-01,97.089996,100.309998,92.099998,92.250000,82.912209,28924400
2014-07-01,91.669998,97.010002,90.370003,90.769997,82.108246,34000200
2014-08-01,90.870003,97.239998,89.169998,96.339996,87.146736,28015800
2014-09-01,96.709999,103.510002,95.910004,101.620003,91.922913,38498800
2014-10-01,100.970001,104.970001,92.959999,103.879997,94.530563,44297100
2014-11-01,104.000000,107.809998,102.379997,106.699997,97.096771,33106600
2014-12-01,106.000000,111.470001,101.230003,108.169998,98.434456,33835000
2015-01-01,108.730003,110.269997,98.209999,100.050003,91.045288,39986000
2015-02-01,100.000000,110.459999,99.540001,108.769997,99.534912,31065200
2015-03-01,108.769997,113.360001,104.910004,109.250000,99.974159,36868400
2015-04-01,108.440002,110.480003,103.550003,104.000000,95.753510,32126500
2015-05-01,104.180000,108.190002,103.089996,103.260002,95.072182,29694300
2015-06-01,103.660004,104.400002,95.459999,95.680000,88.093231,40623900
2015-07-01,95.830002,110.739998,95.320000,109.089996,101.132820,49418800
2015-08-01,108.970001,110.760002,96.680000,105.110001,97.443115,37347100
2015-09-01,101.820000,109.309998,99.599998,109.260002,101.290421,33309900
2015-10-01,108.589996,119.889999,106.180000,117.400002,108.836647,41544000
2015-11-01,117.720001,128.199997,116.730003,124.029999,115.702370,30680100
2015-12-01,124.550003,129.990005,122.250000,124.529999,116.168808,37903800
2016-01-01,122.510002,128.240005,115.730003,128.240005,119.629723,42067300
2016-02-01,127.050003,128.289993,119.379997,123.849998,116.159409,48655200
2016-03-01,124.980003,125.919998,120.239998,122.629997,115.015182,37581200
2016-04-01,121.099998,130.889999,121.010002,126.349998,118.504189,40376200
2016-05-01,126.720001,132.429993,124.980003,129.669998,122.345276,38502700
2016-06-01,129.009995,137.339996,129.000000,135.949997,128.270523,43612500
2016-07-01,135.220001,140.440002,134.100006,139.529999,131.648300,39692300
2016-08-01,139.660004,143.389999,139.259995,140.130005,132.930649,32172300
2016-09-01,140.389999,141.690002,134.440002,136.130005,129.136169,29975200
2016-10-01,135.000000,142.399994,134.830002,136.610001,129.591492,33445600
2016-11-01,136.929993,152.580002,132.889999,149.539993,142.624634,48887200
2016-12-01,149.500000,151.179993,137.699997,146.300003,139.534470,41064000
2017-01-01,143.389999,149.500000,141.279999,144.160004,138.199387,39503300
2017-02-01,144.539993,156.199997,143.960007,154.149994,147.776337,29474700
2017-03-01,155.850006,157.589996,148.649994,152.500000,146.194580,36406000
2017-04-01,152.570007,158.869995,149.699997,155.210007,148.792526,31388600
2017-05-01,155.750000,164.059998,154.009995,164.009995,158.052734,32741000
2017-06-01,163.789993,165.330002,158.320007,161.479996,155.614609,29677300
2017-07-01,162.149994,173.949997,161.869995,171.770004,166.357819,23563000
2017-08-01,172.809998,183.210007,170.710007,182.009995,176.275192,34122600
2017-09-01,182.000000,186.699997,179.679993,186.580002,180.701202,24864600
2017-10-01,186.910004,190.250000,179.289993,180.199997,174.522217,30655200
2017-11-01,181.000000,191.350006,180.190002,191.149994,185.917160,27851500
2017-12-01,191.179993,192.410004,183.820007,187.850006,182.707535,22993800
2018-01-01,187.490005,212.690002,185.029999,208.940002,203.220184,34306600
2018-02-01,208.589996,222.820007,191.000000,217.509995,212.457520,36526100
2018-03-01,217.929993,220.000000,205.429993,215.820007,210.806793,39741100
