Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,123.424271,129.153336,118.090309,127.808090,98.653419,33290400
2012-02-01,128.701797,131.354660,126.378166,127.450607,98.377487,24969500
2012-03-01,127.732826,137.666977,127.187210,137.046097,106.571060,43200300
2012-04-01,137.196609,146.679214,133.170273,146.378174,113.827927,28998200
2012-05-01,146.378174,149.200378,135.399811,138.777054,107.917107,31596400
2012-06-01,136.058334,146.491058,133.659454,146.434616,114.660912,29330600
2012-07-01,147.375351,152.831604,145.540924,150.978363,118.218765,24563400
2012-08-01,151.919098,154.045166,146.792099,149.294449,116.900261,26868400
2012-09-01,149.294449,154.440262,141.909683,142.812790,112.622856,31657400
2012-10-01,143.189087,147.093124,140.667923,143.189087,112.919586,24642100
2012-11-01,143.142044,147.158981,136.603943,143.113831,112.860252,27110300
2012-12-01,143.527756,151.175919,142.173096,148.720596,118.192154,25872900
2013-01-01,150.696136,153.988708,148.447784,150.686737,119.754692,21420900
2013-02-01,151.740356,154.581375,147.412979,149.444977,118.767830,23612600
2013-03-01,149.181564,153.734711,146.829727,149.162750,119.436539,25153400
2013-04-01,149.181564,167.544678,148.824081,167.516464,134.132553,31714400
2013-05-01,167.309494,171.636887,156.528687,156.575729,125.372208,30158000
2013-06-01,156.472244,158.946381,143.010345,148.560684,119.771332,37589800
2013-07-01,149.764816,157.102539,147.102539,150.573853,121.394402,28521000
2013-08-01,151.298203,151.834427,134.713074,136.999054,110.450233,27608300
2013-09-01,137.572906,148.062088,134.026337,139.444977,113.314690,30915200
2013-10-01,139.633102,152.389465,138.852295,145.390396,118.146019,30997900
2013-11-01,146.105362,147.845718,138.767639,140.968964,114.553108,25733500
2013-12-01,142.182495,146.622772,138.805267,143.142044,117.317970,32627400
2014-01-01,143.358414,149.557861,140.733765,145.663223,119.384331,34562100
2014-02-01,144.967072,152.568207,141.495773,151.730957,124.357376,28438000
2014-03-01,151.053619,155.155212,147.770462,154.280334,127.511124,29497600
2014-04-01,154.148636,162.953903,153.518341,162.935089,134.664154,30868400
2014-05-01,162.831604,166.801514,161.411102,166.460007,137.577484,26177900
2014-06-01,166.330002,170.339996,162.559998,166.279999,138.525162,29832600
2014-07-01,166.869995,172.720001,164.940002,168.190002,140.116364,24723900
2014-08-01,166.130005,171.490005,165.020004,170.029999,141.649185,25864800
2014-09-01,170.619995,173.309998,162.429993,164.419998,138.049408,28244600
2014-10-01,164.289993,179.610001,163.410004,179.210007,150.467300,34268800
2014-11-01,179.800003,184.029999,175.360001,180.800003,151.802277,28331600
2014-12-01,180.380005,188.179993,178.289993,182.110001,154.010742,28067900
2015-01-01,183.149994,206.309998,182.970001,198.660004,168.007095,30810500
2015-02-01,199.039993,203.500000,186.789993,190.360001,160.987778,26100700
2015-03-01,190.490005,199.089996,178.839996,195.639999,166.651077,39728900
2015-04-01,195.820007,202.279999,180.550003,181.490005,154.597778,27821400
2015-05-01,181.759995,189.259995,180.100006,181.399994,154.521057,28088700
2015-06-01,181.639999,184.080002,170.990005,173.020004,148.591339,31456900
2015-07-01,171.869995,200.229996,171.869995,187.220001,160.786392,25201000
2015-08-01,187.149994,195.169998,176.880005,179.320007,154.001816,30778900
2015-09-01,176.639999,188.300003,173.089996,183.720001,159.064545,26272900
2015-10-01,184.679993,208.139999,183.619995,201.460007,174.423843,26337800
2015-11-01,201.589996,206.350006,184.589996,186.240005,161.246399,25573900
2015-12-01,187.039993,196.330002,180.550003,194.440002,169.749100,28312400
2016-01-01,192.309998,196.759995,177.550003,186.279999,162.625305,28849000
2016-02-01,185.580002,192.910004,176.110001,189.729996,165.637207,27332000
2016-03-01,190.770004,208.119995,190.699997,207.690002,182.952530,26326800
2016-04-01,207.500000,210.410004,199.110001,201.169998,177.209091,24616500
2016-05-01,202.779999,214.800003,190.820007,197.639999,174.099564,35542500
2016-06-01,196.589996,217.169998,196.110001,216.899994,192.575623,27712700
2016-07-01,217.529999,229.100006,213.869995,227.039993,201.578445,21656600
2016-08-01,226.860001,228.470001,210.270004,215.470001,191.306000,27016000
2016-09-01,214.889999,219.410004,206.020004,207.009995,185.214706,26910400
2016-10-01,206.289993,206.289993,181.850006,185.960007,166.380997,30908500
2016-11-01,184.990005,189.250000,174.910004,179.649994,160.735352,31664400
2016-12-01,178.919998,187.690002,173.110001,177.669998,160.413269,29958500
2017-01-01,179.089996,188.100006,176.619995,183.770004,165.920776,42488800
2017-02-01,185.380005,187.350006,176.839996,184.399994,166.489578,28868100
2017-03-01,184.270004,184.880005,163.550003,172.029999,156.829102,47860700
2017-04-01,172.279999,176.169998,164.830002,165.259995,150.657318,34012800
2017-05-01,166.220001,170.240005,152.089996,154.250000,140.620163,52127400
2017-06-01,154.000000,165.380005,150.149994,161.759995,149.123718,43606000
2017-07-01,162.360001,166.960007,153.139999,158.500000,146.118393,30914300
2017-08-01,165.250000,167.119995,152.509995,156.850006,144.597290,38521400
2017-09-01,157.520004,165.190002,156.000000,161.009995,150.117538,28657200
2017-10-01,161.179993,167.820007,153.710007,155.330002,144.821808,31728900
2017-11-01,155.990005,165.830002,153.740005,161.750000,150.807495,42105500
2017-12-01,162.199997,172.350006,160.740005,171.740005,161.988708,35186800
2018-01-01,172.339996,173.020004,158.559998,163.369995,154.093933,38683100
2018-02-01,163.610001,164.830002,151.270004,153.509995,144.793793,41009300
2018-03-01,153.300003,159.320007,147.279999,154.350006,147.419434,37209900
2018-04-01,154.570007,157.500000,145.779999,156.339996,149.320068,34775800
2018-05-01,158.250000,162.440002,152.500000,160.220001,153.025864,36885600
2018-06-01,160.559998,173.259995,159.000000,170.190002,164.623962,34399800
2018-07-01,170.149994,177.179993,166.949997,176.210007,170.447083,28048500
2018-08-01,175.500000,183.080002,173.789993,183.029999,177.044022,29940100
2018-09-01,183.000000,186.029999,174.889999,176.750000,172.921783,26558800
2018-10-01,176.789993,188.210007,168.410004,183.520004,179.545151,41775500
2018-11-01,184.270004,191.160004,177.770004,185.690002,181.668152,27224800
2018-12-01,186.500000,191.490005,159.770004,167.990005,166.124451,33063100
2019-01-01,166.350006,182.619995,163.630005,182.119995,180.097534,30900600
2019-02-01,184.580002,186.440002,176.600006,181.160004,179.148193,28032600
2019-03-01,181.160004,183.919998,172.020004,182.210007,182.210007,31270500
