Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,29.750000,30.639999,28.700001,30.110001,24.046295,58913300
2012-02-01,30.400000,31.180000,28.959999,29.420000,23.712643,70820100
2012-03-01,29.400000,30.290001,29.190001,29.860001,24.067293,71748500
2012-04-01,29.799999,30.200001,28.420000,28.900000,23.293531,77332200
2012-05-01,28.910000,29.150000,27.049999,27.910000,22.699606,105336200
2012-06-01,27.790001,29.860001,27.459999,29.809999,24.244907,102829400
2012-07-01,29.139999,29.879999,28.230000,29.389999,23.903315,65673300
2012-08-01,29.400000,30.780001,28.440001,30.299999,24.868143,84328100
2012-09-01,30.340000,31.410000,29.969999,31.270000,25.664248,57570700
2012-10-01,31.139999,31.900000,30.260000,31.070000,25.500105,55730400
2012-11-01,31.090000,31.780001,29.750000,31.650000,26.198919,68514100
2012-12-01,31.670000,32.400002,31.160000,31.660000,26.207197,54846100
2013-01-01,31.980000,32.000000,30.549999,31.770000,26.298258,62456800
2013-02-01,31.870001,32.860001,30.629999,32.160000,26.858618,77982500
2013-03-01,32.150002,35.619999,31.950001,35.169998,29.372442,82234000
2013-04-01,34.950001,35.400002,33.549999,34.860001,29.113546,72876900
2013-05-01,34.889999,35.380001,33.759998,33.799999,28.455530,72689300
2013-06-01,33.790001,34.840000,33.070000,34.160000,28.758610,63925700
2013-07-01,34.230000,36.049999,33.590000,34.509998,29.053261,58054800
2013-08-01,34.700001,35.500000,31.370001,32.020000,27.178724,85276700
2013-09-01,32.259998,33.439999,31.770000,31.830000,27.017450,94323700
2013-10-01,31.780001,33.529999,31.129999,32.340000,27.450344,80099000
2013-11-01,32.340000,34.740002,32.110001,33.630001,28.798149,62353200
2013-12-01,33.570000,43.400002,33.299999,36.099998,30.913269,167117500
2014-01-01,36.900002,37.080002,34.750000,35.080002,30.279350,87158600
2014-02-01,35.000000,36.369999,34.070000,36.020000,31.090714,72530500
2014-03-01,35.849998,36.560001,35.360001,36.130001,31.185652,58048600
2014-04-01,36.070000,36.750000,35.310001,36.430000,31.444599,60804200
2014-05-01,36.470001,37.599998,35.619999,37.529999,32.656322,48542200
2014-06-01,37.500000,37.990002,36.560001,37.450001,32.586716,60775400
2014-07-01,36.970001,37.410000,35.689999,35.689999,31.055265,47039800
2014-08-01,35.580002,37.990002,35.500000,37.830002,33.174259,54539800
2014-09-01,37.810001,38.849998,36.740002,37.950001,33.279491,74249300
2014-10-01,37.299999,39.020000,35.820000,38.540001,33.796879,74414200
2014-11-01,38.230000,40.599998,37.209999,40.259998,35.577065,49969100
2014-12-01,40.000000,41.160000,39.160000,39.689999,35.073368,67689900
2015-01-01,39.869999,41.450001,39.070000,39.169998,34.871014,84011500
2015-02-01,39.340000,40.480000,38.020000,38.990002,34.710773,109666300
2015-03-01,38.990002,39.279999,37.709999,37.730000,33.589054,78646300
2015-04-01,37.509998,38.310001,36.849998,37.029999,33.226414,61829100
2015-05-01,37.119999,38.480000,35.840000,37.160000,33.343063,72173500
2015-06-01,37.209999,38.990002,35.970001,36.099998,32.391945,128412200
