Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,44.090000,45.060001,42.380001,42.889999,36.322269,20079300
2012-02-01,43.240002,45.990002,43.169998,43.939999,37.211483,21232400
2012-03-01,43.580002,45.410000,41.959999,45.250000,38.320889,26659800
2012-04-01,45.200001,45.919998,40.599998,41.580002,35.471203,39727600
2012-05-01,41.599998,43.049999,38.419998,38.450001,32.801052,29633800
2012-06-01,38.070000,41.680000,37.959999,41.610001,35.785965,21601700
2012-07-01,41.840000,42.689999,39.880001,42.320000,36.396599,18710700
2012-08-01,42.459999,44.799999,40.849998,44.540001,38.305862,28936500
2012-09-01,44.630001,46.349998,44.299999,45.049999,39.026917,18976600
2012-10-01,44.689999,45.189999,42.650002,43.139999,37.372265,28951900
2012-11-01,43.259998,43.709999,39.459999,41.459999,35.916874,34112100
2012-12-01,41.660000,44.000000,41.320000,42.790001,37.366283,21052600
2013-01-01,43.419998,45.750000,41.259998,45.180000,39.453339,25676400
2013-02-01,45.490002,47.090000,43.380001,44.209999,38.606300,30040800
2013-03-01,44.090000,49.290001,44.090000,48.930000,43.035492,23564200
2013-04-01,49.849998,53.099998,49.599998,51.599998,45.383835,31925300
2013-05-01,51.570000,53.349998,48.849998,49.410000,43.457668,29198300
2013-06-01,49.680000,51.189999,46.939999,47.860001,42.355644,27594500
2013-07-01,48.180000,51.939999,47.160000,50.060001,44.302620,33414800
2013-08-01,50.570000,53.750000,48.180000,48.790001,43.178680,35802900
2013-09-01,49.500000,52.150002,48.250000,50.130001,44.653351,18368900
2013-10-01,50.150002,55.540001,49.430000,54.000000,48.100559,21209600
2013-11-01,54.090000,56.259998,52.520000,52.669998,46.915859,16313200
2013-12-01,52.720001,56.490002,52.110001,56.150002,50.316925,17393300
2014-01-01,55.950001,57.180000,52.549999,52.639999,47.171558,23565200
2014-02-01,52.599998,57.540001,50.900002,56.830002,50.926285,19965700
2014-03-01,56.500000,59.150002,56.060001,58.860001,53.088497,16757800
2014-04-01,58.930000,60.900002,56.599998,59.970001,54.089661,22771600
2014-05-01,60.060001,65.800003,59.610001,65.730003,59.284866,30355600
2014-06-01,65.599998,75.550003,65.349998,74.160004,67.272430,42368300
2014-07-01,74.169998,74.690002,67.470001,67.529999,61.258209,26063400
2014-08-01,67.169998,75.610001,66.949997,73.949997,67.081947,25361300
