Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,19.830000,22.420000,19.350000,21.440001,19.854048,29476200
2012-02-01,21.600000,22.040001,21.299999,21.879999,20.261496,21640400
2012-03-01,21.969999,23.240000,21.559999,23.070000,21.363476,23224800
2012-04-01,23.040001,23.879999,22.389999,23.520000,21.876383,25826300
2012-05-01,23.430000,23.809999,21.809999,23.270000,21.643860,31321700
2012-06-01,22.959999,23.969999,22.350000,23.930000,22.257736,30968200
2012-07-01,23.850000,25.059999,22.320000,23.650000,22.089691,33696300
2012-08-01,23.730000,24.120001,22.940001,23.180000,21.650698,27535700
2012-09-01,23.200001,24.430000,23.000000,23.700001,22.136395,24231900
2012-10-01,23.709999,24.400000,21.910000,22.490000,21.094559,24050300
2012-11-01,22.469999,22.809999,21.389999,21.950001,20.588062,27944200
2012-12-01,22.080000,22.490000,21.100000,21.420000,20.090948,29355900
2013-01-01,21.719999,24.000000,21.570000,23.250000,21.906073,40052400
2013-02-01,23.459999,23.870001,21.530001,23.760000,22.386595,37128800
2013-03-01,23.650000,24.830000,23.500000,24.780001,23.347639,28004900
2013-04-01,24.750000,25.049999,22.660000,23.620001,22.347767,32274600
2013-05-01,23.500000,24.360001,23.290001,23.510000,22.243692,25313900
2013-06-01,23.510000,24.590000,22.580000,24.480000,23.161446,35053700
2013-07-01,24.520000,27.700001,24.500000,27.410000,26.045170,31935500
2013-08-01,27.510000,28.620001,27.370001,27.670000,26.292225,24810100
2013-09-01,27.940001,30.000000,27.520000,29.420000,27.955088,21942900
2013-10-01,29.410000,30.790001,28.299999,29.830000,28.441906,29109900
2013-11-01,29.830000,31.520000,29.440001,31.049999,29.605137,18246900
2013-12-01,31.090000,33.439999,30.170000,33.279999,31.731365,30983400
2014-01-01,33.230000,33.230000,27.000000,29.879999,28.580343,30013000
2014-02-01,29.809999,30.730000,28.270000,30.459999,29.135115,28112500
2014-03-01,30.100000,31.120001,29.330000,30.410000,29.087286,26533400
2014-04-01,30.459999,31.830000,28.170000,31.770000,30.488190,38579800
2014-05-01,31.790001,32.959999,30.250000,30.260000,29.039112,42212700
2014-06-01,30.309999,31.549999,29.820000,31.410000,30.142715,23384500
2014-07-01,31.480000,32.680000,30.910000,32.000000,30.811340,21301200
2014-08-01,31.889999,32.139999,30.889999,31.459999,30.291401,17825400
2014-09-01,31.450001,31.950001,30.360001,30.959999,29.809973,17282200
2014-10-01,30.959999,33.869999,28.540001,33.790001,32.637424,22741500
2014-11-01,33.860001,34.070000,32.060001,32.990002,31.864708,17080100
2014-12-01,32.959999,34.549999,32.060001,33.959999,32.801628,16600900
2015-01-01,34.240002,36.990002,33.060001,35.369999,34.269485,17765900
2015-02-01,35.540001,38.610001,34.930000,38.200001,37.011440,13291700
2015-03-01,38.180000,39.250000,37.139999,38.150002,36.963001,16753400
2015-04-01,38.060001,40.770000,37.599998,39.560001,38.429253,22172700
2015-05-01,39.720001,42.160000,39.520000,41.200001,40.022377,16225100
2015-06-01,41.320000,43.000000,40.700001,41.770000,40.576080,18201800
2015-07-01,42.080002,47.770000,41.419998,46.220001,45.008236,25912200
2015-08-01,46.290001,48.669998,42.540001,45.830002,44.628452,24447900
2015-09-01,44.700001,48.080002,44.070000,45.430000,44.238941,28735800
2015-10-01,45.590000,55.000000,43.910000,52.450001,51.184509,35594500
2015-11-01,52.650002,56.380001,51.810001,55.959999,54.609829,30106500
2015-12-01,56.330002,56.689999,49.529999,49.799999,48.598454,39581400
2016-01-01,48.959999,49.160000,37.570000,40.160000,39.262569,50241800
2016-02-01,39.840000,44.959999,37.470001,43.580002,42.606140,40515300
2016-03-01,44.009998,47.720001,43.599998,47.580002,46.516754,25089000
2016-04-01,47.200001,55.560001,47.070000,51.139999,50.106724,31377700
2016-05-01,51.369999,54.950001,50.599998,53.700001,52.614994,26772200
2016-06-01,53.419998,54.000000,49.040001,53.110001,52.036922,28440200
2016-07-01,53.160000,56.540001,50.730000,50.919998,49.985466,22870200
2016-08-01,50.849998,50.889999,47.279999,49.250000,48.346115,31778000
2016-09-01,49.320000,51.099998,46.369999,47.150002,46.284660,28587200
2016-10-01,46.930000,51.869999,46.220001,49.880001,49.069736,33247400
2016-11-01,50.049999,51.930000,48.290001,49.220001,48.420456,25386500
2016-12-01,49.220001,50.869999,47.009998,49.029999,48.233543,21774300
2017-01-01,49.750000,54.360001,49.689999,50.680000,49.957649,33058800
2017-02-01,51.110001,55.450001,49.980000,54.480000,53.703480,23582300
2017-03-01,54.820000,55.480000,50.959999,53.459999,52.698025,27601200
2017-04-01,53.480000,58.840000,51.880001,57.310001,56.599464,28702800
2017-05-01,57.450001,60.209999,56.310001,59.549999,58.811687,25241700
2017-06-01,59.650002,60.639999,57.540001,58.250000,57.527805,23502300
2017-07-01,58.610001,64.940002,57.529999,63.459999,62.779415,21678600
2017-08-01,63.779999,69.250000,62.810001,69.120003,68.378716,21900100
2017-09-01,69.419998,70.620003,64.559998,65.500000,64.797539,35033300
2017-10-01,65.709999,72.290001,65.440002,72.050003,71.417816,25951100
2017-11-01,72.459999,74.720001,70.930000,74.360001,73.707550,24991500
2017-12-01,74.129997,80.510002,72.550003,79.089996,78.396034,24490000
2018-01-01,79.260002,89.919998,78.059998,88.860001,88.224274,29370100
2018-02-01,88.279999,89.620003,80.330002,87.949997,87.320793,27191600
2018-03-01,87.769997,90.739998,84.279999,86.260002,85.642876,23673100
2018-04-01,86.129997,88.779999,82.930000,84.059998,83.579437,25165200
2018-05-01,83.690002,89.389999,82.379997,85.190002,84.702980,29948800
2018-06-01,85.709999,89.400002,82.260002,84.519997,84.036804,25397900
2018-07-01,84.010002,97.820000,84.010002,91.540001,91.151878,26587200
2018-08-01,91.790001,97.449997,90.830002,97.139999,96.728127,26022100
2018-09-01,97.220001,100.389999,96.019997,98.739998,98.321335,22933500
2018-10-01,99.279999,99.599998,87.129997,91.150002,90.884216,37450100
2018-11-01,91.510002,93.209999,81.269997,87.370003,87.115242,29981300
2018-12-01,88.849998,90.750000,75.580002,81.290001,81.052963,26883900
2019-01-01,79.699997,91.209999,77.660004,89.610001,89.486168,35429200
2019-02-01,89.610001,94.779999,89.599998,94.400002,94.269547,24443500
2019-03-01,95.000000,95.800003,91.970001,95.010002,94.878708,30875000
