Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,25.650000,26.090000,23.570000,26.020000,19.755360,42157700
2012-02-01,26.090000,26.500000,24.840000,25.020000,19.163120,39472300
2012-03-01,25.040001,26.799999,25.000000,26.709999,20.457518,45229000
2012-04-01,26.629999,27.030001,25.570000,26.330000,20.166470,41102800
2012-05-01,25.170000,27.200001,25.170000,25.900000,20.000822,89693300
2012-06-01,25.719999,26.370001,24.620001,25.840000,19.954489,64557100
2012-07-01,25.860001,27.750000,25.420000,26.610001,20.549112,44081700
2012-08-01,26.650000,26.920000,24.770000,25.250000,19.664120,40959300
2012-09-01,25.270000,26.549999,24.760000,24.820000,19.329241,49990700
2012-10-01,24.850000,24.930000,23.770000,24.270000,18.900917,42795900
2012-11-01,24.240000,25.090000,22.309999,23.010000,18.250591,43922300
2012-12-01,22.990000,23.920000,22.520000,23.780001,18.861324,38550900
2013-01-01,24.129999,25.000000,22.680000,23.889999,18.948570,44513000
2013-02-01,23.959999,25.180000,22.180000,23.860001,19.098766,52319400
2013-03-01,23.830000,24.750000,23.610001,24.190001,19.362906,36734700
2013-04-01,24.150000,25.040001,23.969999,24.580000,19.675087,29422000
2013-05-01,24.549999,27.040001,24.270000,24.370001,19.694212,48041800
2013-06-01,24.490000,25.750000,23.020000,25.490000,20.599323,45139400
2013-07-01,25.570000,26.350000,24.830000,25.040001,20.235666,36029200
2013-08-01,25.180000,25.330000,22.219999,22.590000,18.423744,35940000
2013-09-01,22.780001,25.080000,21.959999,23.700001,19.329025,32510800
2013-10-01,23.700001,25.420000,23.250000,24.809999,20.234308,34926500
2013-11-01,24.879999,25.110001,23.129999,23.270000,19.167675,22396800
2013-12-01,23.209999,24.980000,22.850000,23.350000,19.233572,35811900
2014-01-01,23.309999,24.650000,23.100000,24.340000,20.049038,34095600
2014-02-01,24.270000,26.520000,23.750000,25.809999,21.472530,41202900
2014-03-01,25.650000,26.770000,25.040001,25.830000,21.489168,31230800
2014-04-01,25.830000,26.049999,25.180000,25.860001,21.514133,29229400
2014-05-01,25.969999,27.879999,25.510000,27.520000,23.127783,35190400
2014-06-01,27.549999,28.750000,27.070000,28.629999,24.060621,26340700
2014-07-01,28.700001,29.379999,28.120001,29.080000,24.438803,24493700
2014-08-01,28.990000,30.250000,28.709999,29.920000,25.376324,23026200
2014-09-01,29.950001,30.379999,26.969999,27.250000,23.111792,29098600
2014-10-01,27.260000,30.230000,27.150000,30.230000,25.639248,38543200
2014-11-01,30.309999,31.190001,29.469999,30.780001,26.355267,24394700
2014-12-01,30.780001,31.930000,29.959999,30.820000,26.389515,30125100
2015-01-01,31.000000,34.880001,30.820000,33.259998,28.478750,40855000
2015-02-01,33.250000,33.480000,31.410000,31.940001,27.571833,33200800
2015-03-01,31.920000,35.490002,31.400000,34.029999,29.376003,46239400
2015-04-01,34.029999,34.360001,32.180000,32.770000,28.288324,30928200
2015-05-01,32.820000,33.959999,32.119999,32.560001,28.347239,29630300
2015-06-01,32.630001,33.740002,31.049999,32.029999,27.885807,42217500
2015-07-01,32.130001,34.060001,31.980000,33.810001,29.435511,35931200
2015-08-01,33.889999,35.680000,30.030001,32.299999,28.356613,42919100
2015-09-01,31.629999,34.639999,30.920000,34.480000,30.270462,32981100
2015-10-01,34.599998,37.200001,34.230000,34.459999,30.252907,37043700
2015-11-01,34.700001,37.959999,33.180000,36.910000,32.923210,33838600
2015-12-01,37.070000,38.070000,35.160000,37.570000,33.511913,33335900
2016-01-01,37.520000,37.630001,34.189999,35.590000,31.745785,34955900
2016-02-01,35.340000,37.189999,32.900002,34.330002,30.852213,37541100
2016-03-01,34.480000,38.599998,34.330002,38.529999,34.626728,95762800
2016-04-01,38.439999,38.610001,34.230000,34.919998,31.382441,37976700
2016-05-01,34.950001,37.660000,34.790001,36.029999,32.632000,30530200
2016-06-01,35.740002,36.930000,32.970001,36.919998,33.438061,51529000
2016-07-01,36.919998,37.650002,35.430000,37.230000,33.718822,31573900
2016-08-01,37.380001,37.810001,35.480000,36.180000,33.029282,33038500
2016-09-01,36.209999,37.070000,34.110001,35.990002,32.855831,35178900
2016-10-01,35.840000,35.840000,32.790001,34.970001,31.924656,33991800
2016-11-01,34.889999,35.240002,32.849998,34.040001,31.347872,40414800
2016-12-01,33.930000,36.509998,33.320000,36.480000,33.594902,32643500
2017-01-01,36.669998,36.779999,34.580002,34.950001,32.185905,32659100
2017-02-01,34.830002,36.590000,34.410000,36.500000,33.887737,27850000
2017-03-01,36.209999,36.720001,34.730000,36.259998,33.664909,31109100
2017-04-01,36.259998,37.540001,35.430000,37.340000,34.667610,24305900
2017-05-01,37.320000,38.669998,36.860001,38.610001,36.156868,29587700
2017-06-01,38.570000,40.709999,38.290001,38.970001,36.493999,29688200
2017-07-01,39.110001,39.709999,37.369999,39.090000,36.606373,23480400
2017-08-01,39.180000,39.560001,38.400002,38.820000,36.642193,28179400
2017-09-01,38.880001,39.869999,37.650002,38.029999,35.896511,26035600
2017-10-01,38.070000,39.169998,37.549999,38.790001,36.613880,26975900
2017-11-01,38.860001,40.330002,37.849998,39.330002,37.424534,36051300
2017-12-01,39.459999,39.770000,37.680000,38.520000,36.653774,28121500
2018-01-01,38.570000,38.639999,35.529999,36.529999,34.760189,49437600
2018-02-01,36.500000,36.669998,32.880001,33.619999,32.257050,37241900
2018-03-01,33.500000,36.009998,33.040001,35.619999,34.175968,33146500
2018-04-01,35.529999,36.500000,34.939999,36.150002,34.684483,35223100
2018-05-01,36.150002,36.770000,34.480000,36.470001,35.307545,28839800
2018-06-01,36.720001,37.810001,36.000000,37.540001,36.343441,35081200
2018-07-01,37.540001,38.799999,36.400002,38.480000,37.253479,29311800
2018-08-01,38.169998,40.259998,37.919998,39.970001,39.029415,27635500
2018-09-01,39.849998,41.040001,39.439999,40.430000,39.478588,29940600
2018-10-01,40.439999,41.130001,37.869999,39.189999,38.267769,39796400
2018-11-01,39.320000,42.639999,38.459999,42.619999,41.954487,32906700
2018-12-01,42.730000,42.980000,38.139999,39.619999,39.001331,51304800
2019-01-01,39.240002,43.880001,38.180000,43.750000,43.066841,33274000
2019-02-01,43.900002,45.060001,42.660000,44.419998,44.086506,28613400
2019-03-01,44.380001,45.779999,43.790001,45.459999,45.118698,31808600
