Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,19.515539,22.723949,17.477148,21.928701,17.591190,262441200
2012-02-01,22.413162,23.638025,21.846436,22.385740,17.957834,203617900
2012-03-01,22.513712,26.215723,22.513712,23.555759,19.022238,268544800
2012-04-01,23.455210,24.259598,21.069469,22.577696,18.232407,195135700
2012-05-01,22.806215,23.308958,19.186472,19.287020,15.575056,187097500
2012-06-01,18.857405,22.495430,18.281536,22.074955,17.963915,210773300
2012-07-01,22.376600,25.676416,21.453382,25.137112,20.455811,200759100
2012-08-01,25.292505,28.775137,24.360146,28.574039,23.252676,240758800
2012-09-01,28.610603,31.407679,27.851919,28.957952,23.721159,182032200
2012-10-01,29.213894,30.566727,25.493601,26.599634,21.789316,206189400
2012-11-01,26.243145,29.643511,25.658134,29.488117,24.155445,178446700
2012-12-01,29.552103,31.526508,28.299818,31.188299,25.715849,158672800
2013-01-01,31.974405,40.585011,31.124315,39.972576,32.958794,247702600
2013-02-01,40.393051,43.738575,39.771481,41.672760,34.360661,190492900
2013-03-01,41.416821,44.762341,38.857403,41.581352,34.448681,246818600
2013-04-01,41.407677,41.617916,34.433273,36.855576,30.533535,265293700
2013-05-01,36.535648,42.700001,35.319927,40.630001,33.660522,175859500
2013-06-01,40.680000,40.860001,33.270000,34.770000,28.946236,152322900
2013-07-01,34.580002,36.330002,33.000000,35.770000,29.778736,178194200
2013-08-01,36.150002,37.500000,34.110001,35.529999,29.578939,132167600
2013-09-01,36.119999,37.279999,33.700001,34.150002,28.603409,124422500
2013-10-01,34.150002,42.150002,33.200001,41.169998,34.483223,199130700
2013-11-01,41.340000,46.369999,39.009998,45.720001,38.294228,157701200
2013-12-01,45.919998,50.540001,44.529999,50.400002,42.430542,187447500
2014-01-01,50.139999,53.639999,48.599998,51.099998,43.019859,179628300
2014-02-01,51.090000,52.639999,45.900002,47.980000,40.393200,173210500
2014-03-01,48.029999,55.959999,47.840000,53.099998,44.933712,164906500
2014-04-01,53.590000,58.970001,50.610001,57.169998,48.377777,147128400
2014-05-01,57.139999,59.689999,53.680000,56.049999,47.430027,127776000
2014-06-01,56.369999,58.130001,50.029999,50.099998,42.588306,182568800
2014-07-01,50.299999,51.500000,47.770000,50.799999,43.183353,178038200
2014-08-01,50.720001,54.610001,49.369999,54.139999,46.022579,107143600
2014-09-01,54.139999,54.439999,45.730000,46.270000,39.539707,175041300
2014-10-01,46.389999,50.169998,42.529999,50.090000,42.804070,182844000
2014-11-01,50.169998,52.070000,48.279999,48.610001,41.539345,137411100
2014-12-01,48.200001,52.099998,45.349998,49.500000,42.536144,169584100
2015-01-01,49.549999,53.900002,43.450001,52.880001,45.440643,186556900
2015-02-01,53.400002,62.910000,52.919998,61.689999,53.011211,152118800
2015-03-01,61.130001,64.489998,56.299999,63.619999,55.071228,162061700
2015-04-01,63.970001,64.279999,56.090000,56.900002,49.254219,149278700
2015-05-01,57.049999,61.250000,56.959999,59.240002,51.279778,104549900
2015-06-01,59.209999,63.169998,56.759998,62.599998,54.557602,124736000
2015-07-01,63.090000,68.269997,62.790001,65.599998,57.172192,150347200
2015-08-01,65.550003,71.500000,51.680000,59.340000,52.040520,158959500
2015-09-01,58.029999,63.590000,56.650002,60.099998,52.707027,145915300
2015-10-01,60.259998,66.510002,58.980000,65.919998,57.811108,125534900
2015-11-01,65.779999,73.879997,65.459999,71.860001,63.020435,96636400
2015-12-01,72.480003,73.699997,65.040001,70.709999,62.453827,125211900
2016-01-01,70.379997,72.489998,62.160000,67.870003,59.945423,155404400
2016-02-01,68.199997,69.129997,52.549999,60.080002,53.064987,144424000
2016-03-01,60.169998,66.889999,59.160000,64.139999,57.206432,115249500
2016-04-01,63.590000,64.059998,58.099998,58.869999,52.506115,112136000
2016-05-01,58.959999,60.099998,53.509998,54.700001,48.786896,117382100
2016-06-01,54.700001,56.730000,49.910000,51.000000,45.978359,141794400
2016-07-01,50.790001,53.669998,46.880001,52.279999,47.132324,144436900
2016-08-01,52.130001,56.000000,51.389999,55.349998,49.900036,137247600
2016-09-01,55.369999,58.080002,51.169998,53.000000,48.316395,126489200
2016-10-01,53.040001,60.360001,52.509998,59.240002,54.004971,116025700
2016-11-01,60.369999,66.169998,57.400002,61.560001,56.119949,116967700
2016-12-01,61.500000,69.849998,60.410000,68.320000,62.865826,98692000
2017-01-01,69.550003,71.400002,64.449997,65.760002,60.510208,100930400
2017-02-01,66.529999,69.410004,64.620003,67.949997,62.525360,82317000
2017-03-01,68.510002,69.839996,65.419998,66.290001,61.637375,106371700
2017-04-01,66.589996,67.690002,63.259998,64.610001,60.075291,81176500
2017-05-01,64.820000,67.160004,60.689999,61.470001,57.155670,86099400
2017-06-01,61.369999,68.389999,61.070000,67.459999,63.393356,96758400
2017-07-01,67.809998,69.440002,65.949997,68.970001,64.812347,72156800
2017-08-01,69.349998,69.790001,64.220001,68.099998,63.994789,82216300
2017-09-01,68.110001,77.769997,67.239998,76.930000,73.038551,80911100
2017-10-01,76.730003,79.139999,75.839996,78.889999,74.899399,76912800
2017-11-01,79.320000,85.860001,79.070000,85.620003,81.288963,68946300
2017-12-01,85.370003,93.180000,82.519997,91.910004,88.004066,62449000
2018-01-01,92.190002,99.949997,91.709999,95.970001,91.891518,62581300
2018-02-01,96.419998,96.870003,82.900002,90.419998,86.577385,74434800
2018-03-01,90.529999,96.410004,89.570000,92.769997,89.640396,72316400
2018-04-01,92.250000,113.320000,89.750000,110.930000,107.187767,75079900
2018-05-01,110.260002,124.769997,108.769997,121.199997,117.111305,85119300
2018-06-01,122.080002,126.980003,107.680000,110.830002,107.835472,76264800
2018-07-01,109.900002,118.739998,103.750000,118.349998,115.152290,64045200
2018-08-01,116.610001,122.419998,110.610001,117.879997,114.694984,55544800
2018-09-01,118.360001,121.220001,108.099998,113.750000,111.449326,55913400
2018-10-01,114.589996,120.720001,82.639999,91.089996,89.247643,100049000
2018-11-01,92.070000,94.720001,76.250000,79.900002,78.283974,87882900
2018-12-01,82.260002,83.779999,68.809998,74.970001,74.160393,97629000
2019-01-01,73.820000,88.360001,72.949997,87.820000,86.871620,96289700
2019-02-01,88.000000,88.209999,81.529999,81.559998,80.679222,62670100
2019-03-01,82.120003,87.949997,78.550003,84.830002,84.830002,75140400
