Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,76.059998,88.540001,72.980003,86.570000,86.570000,25611800
2012-02-01,87.099998,91.089996,86.730003,89.599998,89.599998,13799700
2012-03-01,89.580002,94.419998,87.029999,92.660004,92.660004,13759700
2012-04-01,92.690002,94.470001,78.000000,84.110001,84.110001,17591400
2012-05-01,83.940002,85.279999,79.440002,79.779999,79.779999,20391600
2012-06-01,78.330002,83.110001,75.230003,79.470001,79.470001,19409400
2012-07-01,79.470001,80.339996,74.120003,77.480003,77.480003,16660600
2012-08-01,77.809998,80.650002,74.360001,80.190002,80.190002,16601300
2012-09-01,80.059998,85.919998,78.800003,83.330002,83.330002,11106500
2012-10-01,83.650002,85.180000,78.330002,81.809998,81.809998,9963800
2012-11-01,82.000000,86.000000,80.040001,84.550003,84.550003,9419600
2012-12-01,84.730003,89.510002,83.589996,87.120003,87.120003,9552300
2013-01-01,88.959999,93.750000,85.010002,91.570000,91.570000,11638500
2013-02-01,92.500000,93.669998,89.739998,92.720001,92.720001,7675400
2013-03-01,92.320000,95.410004,91.559998,93.910004,93.910004,6635400
2013-04-01,93.849998,96.250000,87.849998,92.400002,92.400002,11832100
2013-05-01,92.290001,99.660004,92.040001,96.709999,96.709999,11251500
2013-06-01,97.089996,102.690002,95.449997,100.050003,100.050003,9505600
2013-07-01,100.550003,106.000000,97.849998,100.940002,100.940002,11584900
2013-08-01,101.930000,103.949997,97.529999,98.849998,98.849998,8051600
2013-09-01,100.209999,108.889999,99.410004,106.209999,106.209999,7597200
2013-10-01,106.580002,107.129997,98.540001,100.919998,100.919998,12846700
2013-11-01,100.849998,102.349998,98.339996,99.529999,99.529999,6627500
2013-12-01,99.570000,100.849998,94.500000,100.000000,100.000000,10052200
2014-01-01,100.000000,111.000000,97.900002,108.269997,108.269997,15139500
2014-02-01,108.449997,115.059998,104.410004,111.400002,111.400002,10303100
2014-03-01,110.699997,114.589996,106.769997,108.410004,108.410004,9454400
2014-04-01,108.860001,114.360001,97.900002,98.540001,98.540001,13761900
2014-05-01,98.180000,105.669998,97.860001,100.160004,100.160004,16323200
2014-06-01,100.230003,107.400002,100.110001,104.440002,104.440002,10180100
2014-07-01,104.930000,108.889999,99.160004,103.440002,103.440002,10705000
2014-08-01,103.209999,105.129997,102.080002,103.430000,103.430000,7564800
2014-09-01,103.480003,104.599998,99.080002,99.120003,99.120003,9711000
2014-10-01,99.300003,112.400002,93.559998,110.800003,110.800003,17185600
2014-11-01,111.000000,117.709999,110.699997,115.900002,115.900002,8390700
2014-12-01,115.449997,117.570000,110.849998,112.720001,112.720001,8961100
2015-01-01,113.570000,122.800003,111.769997,119.050003,119.050003,9724500
2015-02-01,119.000000,122.250000,117.160004,120.379997,120.379997,6333600
2015-03-01,120.169998,125.860001,116.830002,124.320000,124.320000,8699800
2015-04-01,124.019997,129.410004,120.790001,125.190002,125.190002,8704300
2015-05-01,125.989998,135.899994,125.339996,133.619995,133.619995,10314700
2015-06-01,134.039993,137.389999,127.720001,128.380005,128.380005,10319400
2015-07-01,129.279999,134.389999,125.029999,133.490005,133.490005,10107000
2015-08-01,133.419998,136.169998,115.320000,121.379997,121.379997,10745400
2015-09-01,119.110001,125.959999,113.980003,118.209999,118.209999,10247900
2015-10-01,118.129997,129.929993,115.209999,127.800003,127.800003,10382100
2015-11-01,128.210007,134.830002,127.540001,132.820007,132.820007,10014400
2015-12-01,133.330002,136.949997,126.879997,134.580002,134.580002,9479900
2016-01-01,132.559998,133.020004,115.709999,121.209999,121.209999,13374500
2016-02-01,121.680000,123.269997,112.000000,120.309998,120.309998,9317900
2016-03-01,121.089996,132.869995,120.519997,131.919998,131.919998,10995200
2016-04-01,130.910004,138.919998,128.899994,130.160004,130.160004,13471900
2016-05-01,130.880005,138.320007,129.690002,137.550003,137.550003,9831200
2016-06-01,137.080002,140.750000,131.350006,140.649994,140.649994,9304300
2016-07-01,140.580002,159.460007,140.500000,158.929993,158.929993,9092000
2016-08-01,158.899994,162.529999,155.949997,157.309998,157.309998,10022400
2016-09-01,157.419998,160.259995,150.080002,158.490005,158.490005,10069300
2016-10-01,157.350006,160.000000,136.610001,139.139999,139.139999,14405000
2016-11-01,139.149994,145.270004,133.899994,134.570007,134.570007,13296700
2016-12-01,134.440002,141.929993,133.350006,134.389999,134.389999,10838700
2017-01-01,135.050003,149.750000,134.679993,141.649994,141.649994,18411200
2017-02-01,142.039993,157.720001,141.460007,154.990005,154.990005,9769200
2017-03-01,156.119995,158.809998,152.050003,156.309998,156.309998,9820100
2017-04-01,156.389999,174.679993,154.149994,169.889999,169.889999,10527000
2017-05-01,171.479996,181.029999,169.339996,179.619995,179.619995,10732600
2017-06-01,180.550003,187.649994,179.179993,183.839996,183.839996,9857800
2017-07-01,184.979996,185.979996,171.320007,173.440002,173.440002,11092100
2017-08-01,173.910004,183.899994,173.910004,183.479996,183.479996,9519200
2017-09-01,183.660004,190.389999,177.580002,179.520004,179.520004,9254500
2017-10-01,179.710007,199.779999,179.270004,196.050003,196.050003,12186800
2017-11-01,197.300003,200.710007,191.839996,197.169998,197.169998,7584100
2017-12-01,197.449997,201.949997,192.479996,193.190002,193.190002,8169200
2018-01-01,194.119995,220.199997,193.600006,215.610001,215.610001,11246800
2018-02-01,214.160004,218.660004,187.660004,204.639999,204.639999,9652300
2018-03-01,204.809998,215.339996,196.199997,198.649994,198.649994,9883100
2018-04-01,198.809998,211.779999,188.360001,188.410004,188.410004,12836200
2018-05-01,188.360001,197.729996,187.279999,192.619995,192.619995,12512900
2018-06-01,194.110001,210.020004,190.350006,193.589996,193.589996,14605300
2018-07-01,192.250000,202.789993,190.729996,197.270004,197.270004,12210200
2018-08-01,196.399994,197.639999,184.809998,189.479996,189.479996,9455000
2018-09-01,188.429993,199.660004,186.759995,194.679993,194.679993,9226700
2018-10-01,195.759995,195.979996,167.940002,189.690002,189.690002,18639000
2018-11-01,190.100006,204.639999,189.309998,198.580002,198.580002,11229100
2018-12-01,199.610001,202.649994,173.410004,188.649994,188.649994,10839600
2019-01-01,186.080002,232.330002,174.949997,231.220001,231.220001,16203100
2019-02-01,231.619995,242.529999,228.059998,242.220001,242.220001,10617900
2019-03-01,244.419998,252.240005,236.529999,251.710007,251.710007,11062600
