Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,55.209999,57.480000,53.599998,57.209999,39.768726,35007900
2012-02-01,57.430000,57.660000,53.259998,54.439999,37.843208,56026600
2012-03-01,54.580002,55.330002,53.509998,54.959999,38.705132,44853800
2012-04-01,54.840000,56.910000,52.400002,56.700001,39.930519,29963200
2012-05-01,56.740002,57.950001,53.720001,55.470001,39.064304,31992400
2012-06-01,54.520000,58.340000,53.509998,58.299999,41.597530,34456000
2012-07-01,58.520000,62.549999,58.040001,62.230000,44.401619,32397900
2012-08-01,62.400002,62.799999,57.130001,58.439999,41.697418,51224100
2012-09-01,58.419998,59.939999,56.480000,57.740002,41.694080,67441800
2012-10-01,57.919998,60.910000,56.880001,59.430000,42.914436,35165700
2012-11-01,59.509998,60.730000,58.000000,58.889999,42.524494,42063000
2012-12-01,59.000000,61.330002,0.140000,0.140000,0.102370,35896700
2013-01-01,0.140000,63.419998,0.130000,62.840000,45.949520,35642100
2013-02-01,62.180000,64.870003,0.145000,64.139999,46.900101,38285600
2013-03-01,63.700001,67.919998,0.110000,0.110000,0.081425,33514300
2013-04-01,67.599998,74.980003,67.599998,74.970001,55.494736,35457600
2013-05-01,74.820000,80.070000,0.220000,68.029999,50.357563,70215300
2013-06-01,67.379997,68.940002,61.619999,67.029999,50.124683,48566200
2013-07-01,67.559998,68.790001,0.220000,64.489998,48.225288,36262800
2013-08-01,64.669998,64.849998,58.160000,61.439999,45.944519,46723500
2013-09-01,0.220000,66.080002,0.220000,62.380001,47.215542,32310900
2013-10-01,62.380001,66.760002,61.279999,64.849998,49.085087,37227200
2013-11-01,64.900002,65.400002,0.220000,55.990002,42.378941,35392600
2013-12-01,56.160000,56.240002,0.220000,53.570000,41.043491,43549000
2014-01-01,0.220000,58.110001,0.220000,57.919998,44.376316,50725700
2014-02-01,57.820000,59.080002,0.050000,58.740002,45.004574,33990100
2014-03-01,58.470001,59.930000,56.450001,59.599998,46.310398,35599300
