Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,48.340000,56.290001,47.720001,54.320000,45.693333,41947100
2012-02-01,59.130001,78.040001,58.500000,75.570000,63.568569,63028500
2012-03-01,76.519997,79.389999,71.269997,76.860001,65.081001,31582500
2012-04-01,76.690002,77.040001,62.880001,64.019997,54.208786,41927400
2012-05-01,64.330002,66.080002,57.020000,61.880001,52.396748,39941500
2012-06-01,60.599998,62.770000,54.080002,61.160000,52.215366,31364100
2012-07-01,61.430000,69.750000,59.849998,67.559998,57.679359,32884300
2012-08-01,67.970001,76.480003,65.930000,75.459999,64.423981,21448300
2012-09-01,74.230003,86.470001,74.230003,82.910004,71.266090,20865700
2012-10-01,83.190002,98.279999,82.349998,97.680000,83.961761,29460100
2012-11-01,98.389999,103.500000,93.500000,101.839996,87.537537,25464300
2012-12-01,102.260002,104.209999,96.550003,101.750000,87.913597,20739700
2013-01-01,103.739998,115.669998,101.739998,115.379997,99.690102,25912400
2013-02-01,114.650002,115.500000,104.059998,112.949997,97.590561,22296900
2013-03-01,112.019997,120.000000,110.900002,118.459999,102.818230,25939400
2013-04-01,118.400002,122.389999,108.959999,114.279999,99.190155,24608300
2013-05-01,114.080002,134.089996,112.580002,127.760002,110.890213,18641300
2013-06-01,127.790001,131.589996,107.879997,114.360001,99.742844,20885600
2013-07-01,115.550003,136.440002,111.699997,133.940002,116.820168,27200100
2013-08-01,135.690002,138.330002,127.589996,128.649994,112.206337,19001900
2013-09-01,131.029999,151.839996,128.000000,146.440002,128.345566,18187800
2013-10-01,146.050003,149.470001,129.220001,146.009995,127.968681,32453600
2013-11-01,146.020004,154.429993,141.119995,152.759995,133.884628,17368100
2013-12-01,153.009995,159.220001,146.220001,156.860001,138.082520,14967100
2014-01-01,156.520004,160.009995,130.050003,133.300003,117.342857,26134500
2014-02-01,133.300003,146.500000,124.389999,144.630005,127.316551,29371800
2014-03-01,142.440002,149.570007,140.490005,149.460007,132.155289,18918800
2014-04-01,149.729996,156.710007,145.500000,153.380005,135.621414,20694400
2014-05-01,152.960007,156.279999,140.740005,143.550003,126.929565,20018400
2014-06-01,144.179993,144.570007,136.639999,139.220001,123.713089,18882200
2014-07-01,139.699997,149.240005,135.369995,142.639999,126.752205,35696600
2014-08-01,142.160004,154.100006,141.550003,153.020004,135.975983,20802400
2014-09-01,153.500000,156.130005,145.000000,145.649994,130.070053,16506400
2014-10-01,145.320007,173.699997,139.850006,172.050003,153.646118,26813600
2014-11-01,171.559998,186.639999,170.619995,186.169998,166.255753,14746600
2014-12-01,186.270004,196.710007,172.850006,193.740005,173.751343,20741600
2015-01-01,194.169998,207.149994,186.139999,199.080002,178.540421,15926900
2015-02-01,199.460007,217.110001,197.000000,211.949997,190.082565,17212400
2015-03-01,211.949997,217.000000,191.050003,202.059998,181.849335,18995900
2015-04-01,201.889999,202.500000,174.750000,175.600006,158.035980,26031400
2015-05-01,175.869995,193.020004,175.389999,184.250000,165.820770,19333600
2015-06-01,184.639999,189.580002,172.850006,173.050003,156.496490,16782600
2015-07-01,174.869995,180.750000,159.210007,177.729996,160.728760,28307400
2015-08-01,177.669998,186.820007,162.929993,170.649994,154.326004,23959700
2015-09-01,164.610001,171.289993,143.750000,147.259995,133.897385,18775600
2015-10-01,147.210007,167.660004,140.500000,160.139999,145.608627,29492600
2015-11-01,160.940002,167.720001,150.410004,162.520004,147.772705,15662200
2015-12-01,163.649994,164.610001,142.179993,146.869995,134.311401,19604500
2016-01-01,144.399994,149.660004,123.599998,134.389999,122.898537,24911700
2016-02-01,134.520004,157.789993,128.240005,155.320007,142.038849,23475800
2016-03-01,156.490005,180.589996,155.320007,180.339996,165.913956,21678600
2016-04-01,180.119995,193.589996,171.199997,174.139999,160.209946,21095700
2016-05-01,175.000000,178.320007,164.589996,174.619995,160.651535,18022600
2016-06-01,173.360001,181.190002,152.190002,166.639999,154.218399,20132500
2016-07-01,167.000000,193.589996,161.970001,192.360001,178.021194,17531200
2016-08-01,192.360001,194.100006,177.500000,178.639999,165.323914,15834400
2016-09-01,178.589996,182.440002,159.550003,162.160004,150.882477,18068300
2016-10-01,161.839996,172.050003,145.910004,149.820007,139.400696,24626900
2016-11-01,150.240005,166.449997,149.529999,162.440002,151.143005,17642300
2016-12-01,161.899994,185.240005,161.300003,181.770004,170.158279,17981400
2017-01-01,183.460007,192.000000,168.179993,174.889999,163.717773,20486500
2017-02-01,175.649994,182.490005,170.169998,178.589996,167.181427,12643600
2017-03-01,178.139999,180.110001,168.139999,171.330002,160.385208,15736200
2017-04-01,171.830002,186.619995,164.809998,185.679993,174.797256,20179600
2017-05-01,185.669998,189.229996,172.970001,185.539993,174.665466,15798200
2017-06-01,185.570007,202.990005,185.179993,191.619995,181.456863,16579700
2017-07-01,191.919998,200.610001,174.179993,177.880005,168.445618,17216100
2017-08-01,178.089996,179.380005,167.029999,171.619995,162.517624,15883300
2017-09-01,171.649994,185.740005,168.029999,184.440002,175.799835,14563200
2017-10-01,185.399994,190.729996,159.710007,163.929993,156.250626,29892900
2017-11-01,165.000000,171.580002,158.800003,168.570007,160.673279,17806000
2017-12-01,168.429993,173.199997,162.919998,168.639999,161.841858,14064100
2018-01-01,169.169998,187.470001,163.770004,181.419998,174.106659,23491000
2018-02-01,180.619995,184.500000,161.910004,162.429993,155.882172,18388200
2018-03-01,160.699997,165.139999,150.220001,153.110001,146.937897,17270100
2018-04-01,152.550003,159.759995,145.589996,154.949997,149.717636,20841000
2018-05-01,154.199997,167.539993,143.449997,144.750000,139.862076,54989100
2018-06-01,144.979996,156.750000,142.309998,146.229996,142.317810,22756500
2018-07-01,144.750000,156.509995,122.809998,131.100006,127.592606,36842900
2018-08-01,131.210007,135.979996,122.199997,124.980003,121.636337,19655700
2018-09-01,124.430000,129.210007,118.349998,118.750000,116.605713,16371200
2018-10-01,119.279999,119.959999,102.129997,109.760002,107.778053,31761900
2018-11-01,110.919998,127.360001,109.760002,126.129997,123.852448,19941700
2018-12-01,128.139999,128.300003,99.400002,106.870003,106.010201,16950100
2019-01-01,104.209999,137.309998,103.809998,133.009995,131.939880,25071900
2019-02-01,133.580002,146.800003,131.149994,141.509995,140.371506,13836700
2019-03-01,142.160004,144.169998,128.440002,132.889999,132.889999,17469300
